"Price list and trading summary for Monday, September 01, 2014",157.94,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, September 02, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, September 03, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, September 04, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, September 08, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, September 05, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, September 09, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, September 10, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, September 12, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, September 15, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, September 17, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, September 16, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, September 18, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, September 19, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, September 22, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, September 11, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, September 23, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, September 24, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, September 29, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, September 25, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, September 26, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, September 30, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, October 02, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, October 03, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, October 06, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, October 07, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, October 08, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, October 10, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, October 14, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, October 15, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, October 16, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, October 17, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, October 21, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, October 23, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, October 24, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, October 27, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, October 28, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, October 22, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, October 30, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, October 31, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, November 04, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, November 03, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Thursday, November 06, 2014",-,14.00,13.00,13.85,"497,500",0
"Price list and trading summary for Wednesday, October 29, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, November 07, 2014",13.85,13.50,12.50,13.10,"200,700",0
"Price list and trading summary for Monday, November 10, 2014",13.10,12.75,11.80,11.90,"184,600",0
"Price list and trading summary for Tuesday, November 11, 2014",11.90,10.75,10.75,10.75,"66,500",0
"Price list and trading summary for Thursday, November 13, 2014",9.70,9.30,8.75,8.75,"216,500",0
"Price list and trading summary for Wednesday, November 12, 2014",10.75,9.70,9.70,9.70,"23,500",0
"Price list and trading summary for Monday, November 17, 2014",8.85,9.30,9.00,9.00,"44,400",0
"Price list and trading summary for Friday, November 14, 2014",8.75,8.95,8.00,8.85,2.67,0
"Price list and trading summary for Tuesday, November 18, 2014",9.00,9.00,8.95,8.95,"189,700",0
"Price list and trading summary for Wednesday, November 19, 2014",8.95,9.00,9.00,9.00,"39,800",0
"Price list and trading summary for Thursday, November 20, 2014",9.00,8.95,8.50,8.65,"34,300",0
"Price list and trading summary for Tuesday, November 25, 2014",8.60,8.90,8.10,8.45,"5,800",0
"Price list and trading summary for Friday, November 21, 2014",8.65,8.80,8.80,8.80,"1,700",0
"Price list and trading summary for Wednesday, November 26, 2014",8.45,8.80,8.75,8.75,"9,900",0
"Price list and trading summary for Monday, November 24, 2014",8.80,8.80,8.50,8.60,"9,900",0
"Price list and trading summary for Friday, November 28, 2014",8.70,8.90,8.10,8.45,"9,600",0
"Price list and trading summary for Tuesday, December 02, 2014",8.30,8.80,8.00,8.20,"67,100",0
"Price list and trading summary for Wednesday, December 03, 2014",8.20,8.70,8.50,8.60,300,0
"Price list and trading summary for Monday, December 01, 2014",8.45,8.90,8.15,8.30,"17,100",0
"Price list and trading summary for Thursday, December 04, 2014",8.60,8.70,8.40,8.45,"2,100",0
"Price list and trading summary for Friday, December 05, 2014",8.45,8.50,8.30,8.45,"7,400",0
"Price list and trading summary for Tuesday, December 09, 2014",8.15,8.40,8.30,8.30,"8,600",0
"Price list and trading summary for Monday, December 08, 2014",8.45,8.30,8.00,8.15,"22,300",0
"Price list and trading summary for Wednesday, December 10, 2014",8.30,8.40,8.00,8.10,"9,000",0
"Price list and trading summary for Thursday, December 11, 2014",8.10,8.20,8.10,8.15,"34,700",0
"Price list and trading summary for Thursday, December 11, 2014",8.10,8.20,8.10,8.15,"34,700",0
"Price list and trading summary for Monday, December 15, 2014",8.15,8.10,8.00,8.05,"45,700",0
"Price list and trading summary for Monday, October 13, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, December 16, 2014",8.05,8.10,8.00,8.00,"26,500",0
"Price list and trading summary for Thursday, October 09, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Wednesday, December 17, 2014",8.00,8.10,8.00,8.00,"136,600",0
"Price list and trading summary for Thursday, December 18, 2014",8.00,8.20,8.00,8.00,"7,500",0
"Price list and trading summary for Tuesday, December 23, 2014",8.00,8.00,8.00,8.00,"69,300",0
"Price list and trading summary for Wednesday, October 01, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Friday, December 19, 2014",8.00,8.00,8.00,8.00,500,0
"Price list and trading summary for Monday, December 22, 2014",8.00,8.10,8.00,8.00,3.03,0
"Price list and trading summary for Wednesday, December 24, 2014",8.00,8.40,8.00,8.00,"432,600",0
"Price list and trading summary for Friday, October 17, 2014",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Monday, December 29, 2014",8.00,8.80,8.05,8.10,"41,200",0
"Price list and trading summary for Tuesday, December 30, 2014",8.10,8.80,8.20,8.25,"10,300",0
"Price list and trading summary for Wednesday, December 31, 2014",8.25,8.45,8.20,8.20,"3,700",0
"Price list and trading summary for Monday, January 05, 2015",8.25,8.90,8.40,8.60,"73,100",0
"Price list and trading summary for Friday, January 02, 2015",8.20,8.25,8.25,8.25,300,0
"Price list and trading summary for Tuesday, January 06, 2015",8.60,8.95,8.20,8.35,"87,100",0
"Price list and trading summary for Wednesday, December 31, 2014",8.25,8.45,8.20,8.20,"3,700",0
"Price list and trading summary for Thursday, November 27, 2014",8.75,8.80,8.70,8.70,"14,100",0
"Price list and trading summary for Wednesday, December 24, 2014",8.00,8.40,8.00,8.00,"432,600",0
"Price list and trading summary for Monday, January 12, 2015",8.50,8.60,8.40,8.50,"66,500",0
"Price list and trading summary for Thursday, January 08, 2015",8.60,8.60,8.40,8.45,"5,700",0
"Price list and trading summary for Wednesday, January 07, 2015",8.35,8.60,8.60,8.60,100,0
"Price list and trading summary for Tuesday, January 13, 2015",8.50,8.50,8.50,8.50,600,0
"Price list and trading summary for Wednesday, December 24, 2014",8.00,8.40,8.00,8.00,"432,600",0
"Price list and trading summary for Friday, January 09, 2015",8.45,8.50,8.50,8.50,800,0
"Price list and trading summary for Wednesday, January 14, 2015",8.50,8.50,8.50,8.50,"15,300",0
"Price list and trading summary for Thursday, January 15, 2015",8.50,8.50,8.00,8.35,"8,000",0
"Price list and trading summary for Friday, January 16, 2015",8.35,8.35,8.00,8.10,"2,100",0
"Price list and trading summary for Monday, January 19, 2015",8.10,8.35,8.35,8.35,"7,700",0
"Price list and trading summary for Tuesday, January 20, 2015",8.35,8.35,8.30,8.30,"7,700",0
"Price list and trading summary for Wednesday, January 21, 2015",8.30,8.35,8.00,8.25,"4,100",0
"Price list and trading summary for Thursday, January 22, 2015",8.25,8.25,8.25,8.25,0,0
"Price list and trading summary for Monday, January 26, 2015",8.35,8.30,8.10,8.10,"135,900",0
"Price list and trading summary for Friday, January 23, 2015",8.25,8.35,8.35,8.35,"1,400",0
"Price list and trading summary for Wednesday, January 28, 2015",8.20,9.00,8.20,8.50,"3,700",0
"Price list and trading summary for Tuesday, January 27, 2015",8.10,8.25,8.20,8.20,"7,200",0
"Price list and trading summary for Thursday, January 29, 2015",8.50,8.20,8.20,8.20,"6,400",0
"Price list and trading summary for Friday, January 30, 2015",8.20,8.25,8.20,8.20,"3,100",0
"Price list and trading summary for Monday, February 02, 2015",8.20,8.20,8.10,8.10,"4,800",0
"Price list and trading summary for Tuesday, February 03, 2015",8.10,8.20,8.00,8.00,"22,600",0
"Price list and trading summary for Wednesday, February 04, 2015",8.00,8.20,8.00,8.05,"8,700",0
"Price list and trading summary for Friday, February 06, 2015",8.15,8.45,8.20,8.20,"46,200",0
"Price list and trading summary for Thursday, February 05, 2015",8.05,8.20,8.10,8.15,"11,600",0
"Price list and trading summary for Tuesday, February 10, 2015",8.30,9.00,9.00,9.00,200,0
"Price list and trading summary for Monday, February 09, 2015",8.20,8.50,8.20,8.30,300,0
"Price list and trading summary for Wednesday, February 11, 2015",9.00,8.80,8.50,8.75,"9,000",0
"Price list and trading summary for Thursday, February 12, 2015",8.75,8.80,8.70,8.70,"24,500",0
"Price list and trading summary for Monday, February 16, 2015",8.70,8.70,8.50,8.65,"63,000",0
"Price list and trading summary for Friday, February 13, 2015",8.70,8.70,8.70,8.70,0,0
"Price list and trading summary for Tuesday, February 17, 2015",8.65,9.00,8.70,8.95,"13,000",0
"Price list and trading summary for Thursday, February 19, 2015",8.85,9.00,8.55,8.60,"23,600",0
"Price list and trading summary for Wednesday, February 18, 2015",8.95,9.00,8.70,8.85,"1,400",0
"Price list and trading summary for Friday, February 20, 2015",8.60,9.00,8.50,8.85,"243,300",0
"Price list and trading summary for Monday, February 23, 2015",8.85,9.00,8.50,8.50,"323,500",0
"Price list and trading summary for Tuesday, February 24, 2015",8.50,9.00,8.50,8.90,"3,100",0
"Price list and trading summary for Thursday, February 26, 2015",8.60,9.00,8.50,8.50,"21,600",0
"Price list and trading summary for Wednesday, February 25, 2015",8.90,9.00,8.50,8.60,"19,800",0
"Price list and trading summary for Friday, February 27, 2015",8.50,9.00,9.00,9.00,"87,500",0
"Price list and trading summary for Monday, March 02, 2015",9.00,9.90,8.75,9.30,"23,100",0
"Price list and trading summary for Tuesday, March 03, 2015",9.30,9.00,8.75,8.75,"115,500",0
"Price list and trading summary for Wednesday, March 04, 2015",8.75,8.75,8.70,8.70,"152,500",0
"Price list and trading summary for Thursday, March 05, 2015",8.70,8.75,8.70,8.70,"55,900",0
"Price list and trading summary for Friday, March 06, 2015",8.70,8.75,8.75,8.75,"27,700",0
"Price list and trading summary for Monday, March 09, 2015",8.75,8.75,8.65,8.70,"17,700",0
"Price list and trading summary for Tuesday, March 10, 2015",8.70,8.75,8.70,8.70,"30,400",0
"Price list and trading summary for Wednesday, March 11, 2015",8.70,9.30,8.75,9.10,"26,600",0
"Price list and trading summary for Thursday, March 12, 2015",9.10,9.50,8.90,9.20,"22,100",0
"Price list and trading summary for Friday, March 13, 2015",9.20,9.50,9.20,9.30,"24,900",0
"Price list and trading summary for Monday, March 16, 2015",9.30,9.45,8.90,9.00,"41,800",0
"Price list and trading summary for Tuesday, March 17, 2015",9.00,9.30,9.00,9.00,"33,600",0
"Price list and trading summary for Wednesday, March 18, 2015",9.00,9.50,9.30,9.40,"8,300",0
"Price list and trading summary for Thursday, March 19, 2015",9.40,9.50,9.50,9.50,"41,900",0
"Price list and trading summary for Friday, March 20, 2015",9.50,9.90,9.80,9.85,"18,000",0
"Price list and trading summary for Monday, March 23, 2015",9.85,10.00,9.10,9.70,"16,800",0
"Price list and trading summary for Tuesday, March 24, 2015",9.70,9.80,9.70,9.75,"23,900",0
"Price list and trading summary for Wednesday, March 25, 2015",9.75,9.70,9.50,9.60,"1,700",0
"Price list and trading summary for Thursday, March 26, 2015",9.60,9.60,9.60,9.60,0,0
"Price list and trading summary for Friday, March 27, 2015",9.60,9.60,9.50,9.55,"6,400",0
"Price list and trading summary for Monday, March 30, 2015",9.55,9.45,9.35,9.40,600,0
"Price list and trading summary for Tuesday, March 31, 2015",9.40,9.40,9.30,9.35,"13,300",0
"Price list and trading summary for Wednesday, April 01, 2015",9.35,9.50,9.20,9.20,"52,600",0
"Price list and trading summary for Thursday, April 02, 2015",9.20,9.40,9.00,9.25,"128,300",0
"Price list and trading summary for Tuesday, April 07, 2015",9.25,9.50,9.35,9.45,"33,100",0
"Price list and trading summary for Wednesday, April 08, 2015",9.45,9.50,9.25,9.30,"89,300",0
"Price list and trading summary for Tuesday, April 14, 2015",9.40,9.40,9.40,9.40,"6,600",0
"Price list and trading summary for Friday, April 17, 2015",9.50,10.20,9.20,10.05,"125,400",0
"Price list and trading summary for Thursday, April 09, 2015",9.30,9.40,9.35,9.35,"5,200",0
"Price list and trading summary for Friday, April 10, 2015",9.35,9.40,8.70,8.70,"19,700",0
"Price list and trading summary for Thursday, April 16, 2015",9.10,9.80,8.80,9.50,"5,500",0
"Price list and trading summary for Monday, April 20, 2015",10.05,9.90,9.80,9.80,"8,200",0
"Price list and trading summary for Tuesday, April 21, 2015",9.80,10.00,9.80,9.80,"2,300",0
"Price list and trading summary for Thursday, April 23, 2015",9.70,9.80,9.80,9.80,300,0
"Price list and trading summary for Friday, April 24, 2015",9.80,9.80,9.50,9.75,"19,700",0
"Price list and trading summary for Tuesday, April 28, 2015",9.75,9.75,9.00,9.35,"23,000",0
"Price list and trading summary for Wednesday, April 29, 2015",9.35,9.50,8.50,8.50,"121,000",0
"Price list and trading summary for Thursday, April 30, 2015",8.50,9.40,9.40,9.40,"2,300",0
"Price list and trading summary for Monday, May 04, 2015",9.40,9.40,9.40,9.40,"6,100",0
"Price list and trading summary for Monday, April 13, 2015",8.70,9.40,9.40,9.40,"8,100",0
"Price list and trading summary for Tuesday, May 05, 2015",9.40,9.40,9.00,9.00,"51,000",0
"Price list and trading summary for Thursday, May 07, 2015",9.70,9.70,8.75,8.85,"25,500",0
"Price list and trading summary for Wednesday, May 06, 2015",9.00,9.70,9.70,9.70,200,0
"Price list and trading summary for Friday, May 08, 2015",8.85,9.00,8.10,8.40,"17,000",0
"Price list and trading summary for Monday, May 11, 2015",8.40,9.00,8.90,8.90,"32,700",0
"Price list and trading summary for Tuesday, May 12, 2015",8.90,9.00,8.30,8.90,"1,100",0
"Price list and trading summary for Wednesday, May 13, 2015",8.90,9.00,9.00,9.00,"1,000",0
"Price list and trading summary for Thursday, May 14, 2015",9.00,9.00,9.00,9.00,100,0
"Price list and trading summary for Monday, May 18, 2015",8.40,8.40,8.40,8.40,0,0
"Price list and trading summary for Tuesday, May 19, 2015",8.40,9.10,7.80,7.90,"30,500",0
"Price list and trading summary for Wednesday, May 20, 2015",7.90,7.80,7.15,7.25,"359,100",0
"Price list and trading summary for Thursday, May 21, 2015",7.25,7.30,7.20,7.25,"43,500",0
"Price list and trading summary for Friday, May 22, 2015",7.25,7.95,7.95,7.95,700,0
"Price list and trading summary for Monday, May 25, 2015",7.95,8.70,8.10,8.25,"29,700",0
"Price list and trading summary for Wednesday, April 15, 2015",9.40,9.80,9.00,9.10,"9,300",0
"Price list and trading summary for Tuesday, May 26, 2015",8.25,8.70,8.00,8.45,"20,400",0
"Price list and trading summary for Wednesday, May 27, 2015",8.45,8.70,7.90,8.10,"20,400",0
"Price list and trading summary for Thursday, May 28, 2015",8.10,8.20,7.85,8.15,"2,500",0
"Price list and trading summary for Thursday, April 02, 2015",9.20,9.40,9.00,9.25,"128,300",0
"Price list and trading summary for Thursday, April 02, 2015",9.20,9.40,9.00,9.25,"128,300",0
"Price list and trading summary for Friday, May 29, 2015",8.15,8.90,7.85,8.70,900,0
"Price list and trading summary for Wednesday, April 22, 2015",9.80,9.80,9.50,9.70,"1,600",0
"Price list and trading summary for Friday, June 05, 2015",8.90,8.80,8.05,8.10,"41,800",0
"Price list and trading summary for Thursday, June 04, 2015",8.90,9.00,8.20,8.90,"171,500",0
"Price list and trading summary for Monday, June 08, 2015",8.10,8.20,7.90,7.90,"26,700",0
"Price list and trading summary for Tuesday, June 09, 2015",7.90,8.00,8.00,8.00,300,0
"Price list and trading summary for Wednesday, June 10, 2015",8.00,8.00,7.95,7.95,"10,600",0
"Price list and trading summary for Thursday, June 11, 2015",7.95,8.00,8.00,8.00,"1,200",0
"Price list and trading summary for Friday, June 12, 2015",8.00,7.95,7.95,7.95,"3,300",0
"Price list and trading summary for Monday, June 15, 2015",7.95,7.95,7.95,7.95,"6,900",0
"Price list and trading summary for Tuesday, June 16, 2015",7.95,8.00,7.25,7.60,"19,000",0
"Price list and trading summary for Wednesday, June 17, 2015",7.60,7.55,7.55,7.55,"32,100",0
"Price list and trading summary for Thursday, June 18, 2015",7.55,7.95,7.60,7.90,"124,100",0
"Price list and trading summary for Monday, June 22, 2015",7.90,8.00,7.80,7.90,"10,100",0
"Price list and trading summary for Tuesday, June 23, 2015",7.90,8.00,7.95,7.95,"24,400",0
"Price list and trading summary for Wednesday, June 24, 2015",7.95,8.25,8.00,8.05,"43,700",0
"Price list and trading summary for Thursday, June 25, 2015",8.05,8.80,8.80,8.80,300,0
"Price list and trading summary for Friday, June 26, 2015",8.80,9.00,8.50,8.90,"36,300",0
"Price list and trading summary for Thursday, April 30, 2015",8.50,9.40,9.40,9.40,"2,300",0
"Price list and trading summary for Tuesday, June 30, 2015",8.55,8.50,8.50,8.50,500,0
"Price list and trading summary for Monday, June 29, 2015",8.90,8.65,8.10,8.55,"29,800",0
"Price list and trading summary for Thursday, July 02, 2015",8.50,8.50,8.45,8.45,"67,900",0
"Price list and trading summary for Wednesday, July 01, 2015",8.50,8.50,8.50,8.50,"1,000",0
"Price list and trading summary for Friday, July 03, 2015",8.45,8.45,8.45,8.45,200,0
"Price list and trading summary for Friday, May 29, 2015",8.15,8.90,7.85,8.70,900,0
"Price list and trading summary for Monday, July 06, 2015",8.45,8.50,8.40,8.45,300,0
"Price list and trading summary for Wednesday, July 08, 2015",8.00,8.45,8.45,8.45,100,0
"Price list and trading summary for Thursday, July 09, 2015",8.45,8.45,8.40,8.40,"1,100",0
"Price list and trading summary for Thursday, July 09, 2015",8.45,8.45,8.40,8.40,"1,100",0
"Price list and trading summary for Tuesday, July 07, 2015",8.45,8.00,8.00,8.00,"12,700",0
"Price list and trading summary for Monday, July 13, 2015",8.40,8.40,8.40,8.40,100,0
"Price list and trading summary for Thursday, July 16, 2015",8.40,8.40,8.40,8.40,0,0
"Price list and trading summary for Wednesday, July 15, 2015",8.00,8.40,8.40,8.40,"2,000",0
"Price list and trading summary for Wednesday, June 03, 2015",8.70,9.00,8.90,8.90,"5,200",0
"Price list and trading summary for Friday, July 17, 2015",8.40,8.40,8.20,8.35,600,0
"Price list and trading summary for Monday, July 20, 2015",8.35,8.45,8.40,8.40,"49,600",0
"Price list and trading summary for Tuesday, July 21, 2015",8.40,8.00,8.00,8.00,"1,600",0
"Price list and trading summary for Friday, May 15, 2015",9.00,9.00,8.30,8.40,"1,200",0
"Price list and trading summary for Wednesday, July 22, 2015",8.00,8.40,8.00,8.00,"12,700",0
