"Price list and trading summary for Wednesday, April 02, 2014",5.30,5.35,4.85,5.25,"699,500",0
"Price list and trading summary for Monday, June 03, 2013",126.80,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, June 04, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Thursday, June 06, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Monday, June 10, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, June 11, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Wednesday, June 12, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Thursday, June 13, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Friday, June 14, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Monday, June 17, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, June 18, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Wednesday, June 19, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Thursday, June 20, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Monday, June 24, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Thursday, June 27, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Friday, June 28, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Thursday, July 04, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, June 25, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Monday, July 08, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, July 09, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Wednesday, July 10, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Thursday, July 11, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Monday, July 15, 2013",-,25.00,25.00,25.00,"21,400",0
"Price list and trading summary for Tuesday, July 16, 2013",25.00,25.00,25.00,25.00,700,0
"Price list and trading summary for Friday, June 07, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, July 02, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Friday, July 19, 2013",22.75,23.00,22.50,22.50,"24,700",0
"Price list and trading summary for Wednesday, June 26, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Monday, July 22, 2013",22.50,22.50,20.50,22.25,"12,200",0
"Price list and trading summary for Friday, June 21, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, July 23, 2013",22.25,22.00,20.50,20.75,"29,500",0
"Price list and trading summary for Wednesday, July 24, 2013",20.75,20.50,18.70,19.00,"15,200",0
"Price list and trading summary for Thursday, July 25, 2013",19.00,20.00,18.75,18.75,"40,800",0
"Price list and trading summary for Friday, July 26, 2013",18.75,20.00,19.75,19.95,"14,600",0
"Price list and trading summary for Monday, July 29, 2013",19.95,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Tuesday, July 30, 2013",20.00,20.00,19.75,19.90,"21,800",0
"Price list and trading summary for Wednesday, July 31, 2013",19.90,19.95,18.00,19.00,"26,800",0
"Price list and trading summary for Thursday, August 01, 2013",19.00,19.95,18.00,19.60,"2,400",0
"Price list and trading summary for Wednesday, July 03, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Friday, August 02, 2013",19.60,19.95,19.60,19.65,"1,700",0
"Price list and trading summary for Monday, August 05, 2013",19.65,19.85,19.00,19.20,"3,200",0
"Price list and trading summary for Monday, July 01, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Wednesday, August 07, 2013",19.00,19.80,17.10,17.55,"39,100",0
"Price list and trading summary for Thursday, August 08, 2013",17.55,17.50,15.80,16.05,"36,500",0
"Price list and trading summary for Thursday, August 08, 2013",17.55,17.50,15.80,16.05,"36,500",0
"Price list and trading summary for Thursday, August 15, 2013",17.00,17.50,15.30,16.40,"65,900",0
"Price list and trading summary for Wednesday, August 14, 2013",17.00,17.00,17.00,17.00,"20,700",0
"Price list and trading summary for Friday, August 16, 2013",16.40,16.90,14.95,15.15,"18,900",0
"Price list and trading summary for Monday, August 19, 2013",15.15,15.10,14.80,14.80,"2,400",0
"Price list and trading summary for Tuesday, August 20, 2013",14.80,16.25,14.80,15.50,"23,700",0
"Price list and trading summary for Thursday, August 22, 2013",14.75,14.75,13.30,13.35,"110,600",0
"Price list and trading summary for Friday, July 05, 2013",20.00,20.50,20.00,20.00,"29,800",0
"Price list and trading summary for Friday, August 23, 2013",13.35,13.50,13.00,13.25,"41,000",0
"Price list and trading summary for Monday, August 26, 2013",13.25,13.50,13.00,13.25,"3,400",0
"Price list and trading summary for Tuesday, August 27, 2013",13.25,13.25,12.00,12.40,"14,800",0
"Price list and trading summary for Wednesday, August 28, 2013",12.40,12.95,12.00,12.15,"25,500",0
"Price list and trading summary for Friday, August 30, 2013",12.00,12.50,12.00,12.30,"73,500",0
"Price list and trading summary for Monday, September 02, 2013",12.30,12.60,11.20,11.20,2.54,0
"Price list and trading summary for Tuesday, September 03, 2013",11.20,11.50,11.00,11.10,"22,100",0
"Price list and trading summary for Wednesday, September 04, 2013",11.10,11.50,11.00,11.00,"24,500",0
"Price list and trading summary for Wednesday, July 17, 2013",25.00,25.00,22.50,22.50,"29,400",0
"Price list and trading summary for Friday, September 06, 2013",10.05,11.00,9.95,10.25,"33,900",0
"Price list and trading summary for Monday, September 09, 2013",10.25,11.00,9.95,10.00,"101,600",0
"Price list and trading summary for Tuesday, August 13, 2013",17.25,17.00,17.00,17.00,"12,600",0
