"Price list and trading summary for Wednesday, April 02, 2014",35.00,34.75,34.25,34.50,"41,400",0
"Price list and trading summary for Monday, September 11, 2006",-,43.00,38.00,41.25,"154,300",0
"Price list and trading summary for Tuesday, September 12, 2006",41.25,43.00,40.00,41.25,"241,200",0
"Price list and trading summary for Wednesday, September 13, 2006",41.25,46.00,39.00,42.75,"205,300",0
"Price list and trading summary for Friday, September 22, 2006",61.00,58.00,55.00,56.50,"231,700",0
"Price list and trading summary for Tuesday, September 26, 2006",51.00,55.00,47.00,49.00,"227,300",0
"Price list and trading summary for Wednesday, September 27, 2006",49.00,55.50,50.50,53.00,"322,200",0
"Price list and trading summary for Wednesday, September 20, 2006",60.00,67.00,57.00,63.00,"287,500",0
"Price list and trading summary for Tuesday, September 19, 2006",54.50,61.50,57.00,60.00,"353,100",0
"Price list and trading summary for Thursday, September 28, 2006",53.00,59.50,50.00,58.00,"341,900",0
"Price list and trading summary for Friday, September 15, 2006",44.50,52.00,48.00,50.50,"170,200",0
"Price list and trading summary for Thursday, September 14, 2006",42.75,47.50,40.00,44.50,"88,200",0
"Price list and trading summary for Monday, September 18, 2006",50.50,56.50,52.00,54.50,"441,300",0
"Price list and trading summary for Thursday, September 21, 2006",63.00,70.00,58.50,61.00,"287,100",0
"Price list and trading summary for Tuesday, October 03, 2006",57.00,60.00,50.00,52.50,"460,400",0
"Price list and trading summary for Friday, September 29, 2006",58.00,63.50,55.00,59.00,"317,900",0
"Price list and trading summary for Monday, October 02, 2006",59.00,60.00,55.00,57.00,"177,000",0
"Price list and trading summary for Thursday, October 05, 2006",52.00,56.00,48.00,51.50,"331,100",0
"Price list and trading summary for Monday, October 09, 2006",49.00,50.00,45.00,48.50,"164,700",0
"Price list and trading summary for Thursday, October 12, 2006",48.25,49.50,43.00,47.25,"274,500",0
"Price list and trading summary for Friday, October 13, 2006",47.25,49.00,45.00,47.25,"167,100",0
"Price list and trading summary for Wednesday, October 04, 2006",52.50,59.50,50.00,52.00,"298,900",0
"Price list and trading summary for Tuesday, October 17, 2006",47.50,51.50,45.00,47.25,"168,900",0
"Price list and trading summary for Wednesday, October 18, 2006",47.25,50.00,45.00,47.25,"135,300",0
"Price list and trading summary for Thursday, October 19, 2006",47.25,48.00,45.00,47.75,1.87,0
"Price list and trading summary for Monday, October 23, 2006",47.75,52.00,45.00,47.25,"148,000",0
"Price list and trading summary for Monday, September 25, 2006",56.50,53.50,50.00,51.00,"157,000",0
"Price list and trading summary for Wednesday, October 25, 2006",47.25,48.00,45.00,47.00,"79,900",0
"Price list and trading summary for Monday, October 16, 2006",47.25,49.00,45.00,47.50,"158,400",0
"Price list and trading summary for Thursday, October 26, 2006",47.00,47.00,43.00,46.00,"212,500",0
"Price list and trading summary for Friday, October 27, 2006",46.00,46.75,43.00,45.25,"179,300",0
"Price list and trading summary for Tuesday, October 31, 2006",46.50,47.00,43.00,45.50,"133,800",0
"Price list and trading summary for Wednesday, November 01, 2006",45.50,46.75,43.00,44.50,"162,600",0
"Price list and trading summary for Thursday, November 02, 2006",44.50,47.75,42.50,44.25,"245,200",0
"Price list and trading summary for Friday, November 03, 2006",44.25,59.00,42.50,47.25,"535,000",0
"Price list and trading summary for Monday, November 06, 2006",47.25,54.00,47.75,50.50,"304,900",0
"Price list and trading summary for Tuesday, November 07, 2006",50.50,54.00,47.00,50.00,"442,500",0
"Price list and trading summary for Wednesday, November 08, 2006",50.00,50.00,45.00,48.25,"201,800",0
"Price list and trading summary for Thursday, November 09, 2006",48.25,47.00,42.00,45.00,"163,800",0
"Price list and trading summary for Monday, November 13, 2006",43.25,44.00,40.00,42.00,"43,700",0
"Price list and trading summary for Tuesday, November 14, 2006",42.00,43.00,40.00,42.25,"82,600",0
"Price list and trading summary for Wednesday, November 15, 2006",42.25,46.00,42.00,43.00,"224,300",0
"Price list and trading summary for Friday, October 06, 2006",51.50,53.50,47.00,49.00,"298,100",0
"Price list and trading summary for Thursday, November 16, 2006",43.00,47.00,42.25,44.75,"41,300",0
"Price list and trading summary for Friday, November 17, 2006",44.75,47.75,45.00,46.25,"94,200",0
"Price list and trading summary for Monday, November 20, 2006",46.25,49.00,46.00,47.75,"70,500",0
"Price list and trading summary for Monday, October 09, 2006",49.00,50.00,45.00,48.50,"164,700",0
"Price list and trading summary for Tuesday, November 21, 2006",47.75,47.00,43.00,46.50,"127,600",0
"Price list and trading summary for Wednesday, November 22, 2006",46.50,47.00,43.00,45.50,"75,200",0
"Price list and trading summary for Thursday, November 23, 2006",45.50,45.00,43.25,44.25,"49,700",0
"Price list and trading summary for Friday, November 24, 2006",44.25,45.00,41.50,43.50,"37,600",0
"Price list and trading summary for Monday, November 27, 2006",43.50,45.00,41.50,44.00,"58,000",0
"Price list and trading summary for Tuesday, November 28, 2006",44.00,45.00,41.50,42.25,"96,600",0
"Price list and trading summary for Wednesday, November 29, 2006",42.25,43.00,40.00,41.00,"185,000",0
"Price list and trading summary for Friday, December 01, 2006",41.75,41.50,38.50,40.50,"52,900",0
"Price list and trading summary for Thursday, November 30, 2006",41.00,42.50,40.00,41.75,"79,200",0
"Price list and trading summary for Monday, December 04, 2006",40.50,41.50,39.00,40.00,"58,400",0
"Price list and trading summary for Tuesday, December 05, 2006",40.00,40.50,38.00,38.25,"98,000",0
"Price list and trading summary for Wednesday, December 06, 2006",38.25,40.00,38.00,38.50,"179,500",0
"Price list and trading summary for Thursday, December 07, 2006",38.50,40.00,38.00,38.50,"151,400",0
"Price list and trading summary for Friday, December 08, 2006",38.50,40.00,38.00,38.75,"53,700",0
"Price list and trading summary for Monday, December 11, 2006",38.75,40.00,38.00,38.25,"78,600",0
"Price list and trading summary for Wednesday, December 13, 2006",38.25,39.50,38.00,38.50,"153,700",0
"Price list and trading summary for Thursday, December 14, 2006",38.50,39.50,34.50,38.50,"90,200",0
"Price list and trading summary for Monday, December 18, 2006",38.50,39.75,38.00,38.50,"41,400",0
"Price list and trading summary for Tuesday, December 19, 2006",38.50,39.50,38.00,39.25,"42,200",0
"Price list and trading summary for Wednesday, December 20, 2006",39.25,42.00,38.50,40.25,"59,200",0
"Price list and trading summary for Thursday, December 21, 2006",40.25,43.00,40.00,41.50,"59,700",0
"Price list and trading summary for Friday, December 22, 2006",41.50,45.00,38.25,43.00,"43,200",0
"Price list and trading summary for Wednesday, October 11, 2006",48.50,50.00,45.00,48.25,"305,100",0
"Price list and trading summary for Monday, October 30, 2006",45.25,49.00,42.50,46.50,"523,400",0
"Price list and trading summary for Wednesday, December 27, 2006",43.00,45.00,40.50,44.25,"18,500",0
"Price list and trading summary for Monday, October 23, 2006",47.75,52.00,45.00,47.25,"148,000",0
"Price list and trading summary for Thursday, December 28, 2006",44.25,48.00,45.00,46.00,"55,100",0
"Price list and trading summary for Friday, December 29, 2006",46.00,51.00,42.25,48.00,"127,100",0
"Price list and trading summary for Tuesday, January 02, 2007",48.00,50.00,47.00,48.75,"86,500",0
"Price list and trading summary for Wednesday, January 03, 2007",48.75,48.00,43.00,45.50,"106,600",0
"Price list and trading summary for Thursday, January 04, 2007",45.50,50.00,43.00,46.00,"101,000",0
"Price list and trading summary for Friday, January 05, 2007",46.00,47.00,43.00,44.00,"174,400",0
"Price list and trading summary for Monday, January 08, 2007",44.00,46.00,43.00,44.00,"270,000",0
"Price list and trading summary for Tuesday, January 09, 2007",44.00,46.00,42.75,44.00,"144,700",0
"Price list and trading summary for Wednesday, January 10, 2007",44.00,46.00,44.00,44.75,"151,400",0
"Price list and trading summary for Thursday, January 11, 2007",44.75,45.00,43.75,44.75,"154,000",0
"Price list and trading summary for Friday, January 12, 2007",44.75,45.00,40.25,43.50,"152,300",0
"Price list and trading summary for Monday, January 15, 2007",43.50,45.00,43.50,44.50,"136,300",0
"Price list and trading summary for Tuesday, January 16, 2007",44.50,45.00,40.50,43.25,"271,900",0
"Price list and trading summary for Wednesday, January 17, 2007",43.25,44.00,38.75,41.75,"181,200",0
"Price list and trading summary for Thursday, January 18, 2007",41.75,45.25,40.00,42.50,"89,900",0
"Price list and trading summary for Thursday, October 19, 2006",47.25,48.00,45.00,47.75,1.87,0
"Price list and trading summary for Monday, January 22, 2007",41.50,44.00,39.00,41.50,"89,100",0
"Price list and trading summary for Tuesday, January 23, 2007",41.50,44.00,41.25,42.25,"69,200",0
"Price list and trading summary for Wednesday, January 24, 2007",42.25,43.00,40.00,40.50,"264,500",0
"Price list and trading summary for Thursday, January 25, 2007",40.50,44.00,39.00,40.75,"117,600",0
"Price list and trading summary for Friday, January 26, 2007",40.75,40.25,38.00,39.50,"166,700",0
