"Price list and trading summary for Wednesday, April 02, 2014",36.25,36.25,35.50,35.50,"92,700",0
"Price list and trading summary for Monday, September 11, 2006",-,190.00,180.00,184.00,"17,900",16.73
"Price list and trading summary for Tuesday, September 12, 2006",184.00,202.00,190.00,195.00,"11,500",17.73
"Price list and trading summary for Wednesday, September 13, 2006",195.00,220.00,202.00,216.00,"45,000",19.64
"Price list and trading summary for Friday, September 22, 2006",243.00,244.00,220.00,239.00,"155,500",21.73
"Price list and trading summary for Tuesday, September 26, 2006",237.00,250.00,239.00,240.00,"118,200",21.82
"Price list and trading summary for Wednesday, September 27, 2006",240.00,266.00,255.00,262.00,"63,700",23.82
"Price list and trading summary for Wednesday, September 20, 2006",279.00,263.00,239.00,254.00,"92,900",23.09
"Price list and trading summary for Tuesday, September 19, 2006",289.00,300.00,261.00,279.00,"92,100",25.36
"Price list and trading summary for Thursday, September 28, 2006",262.00,287.00,240.00,270.00,"92,400",24.55
"Price list and trading summary for Friday, September 15, 2006",237.00,264.00,250.00,260.00,"189,000",23.64
"Price list and trading summary for Thursday, September 14, 2006",216.00,240.00,200.00,237.00,"56,200",21.55
"Price list and trading summary for Monday, September 18, 2006",260.00,290.00,280.00,289.00,"249,500",26.27
"Price list and trading summary for Thursday, September 21, 2006",254.00,250.00,230.00,243.00,"103,600",22.09
"Price list and trading summary for Tuesday, October 03, 2006",304.00,320.00,300.00,313.00,"179,800",28.45
"Price list and trading summary for Friday, September 29, 2006",270.00,295.00,270.00,284.00,"194,500",25.82
"Price list and trading summary for Monday, October 02, 2006",284.00,320.00,280.00,304.00,"70,700",27.64
"Price list and trading summary for Thursday, October 05, 2006",317.00,340.00,290.00,327.00,"57,100",29.73
"Price list and trading summary for Monday, October 09, 2006",339.00,360.00,310.00,345.00,"91,600",31.36
"Price list and trading summary for Thursday, October 12, 2006",343.00,346.00,325.00,340.00,"121,700",30.91
"Price list and trading summary for Friday, October 13, 2006",340.00,350.00,315.00,334.00,"109,000",30.36
"Price list and trading summary for Wednesday, October 04, 2006",313.00,330.00,306.00,317.00,"74,000",28.82
"Price list and trading summary for Tuesday, October 17, 2006",327.00,357.00,320.00,349.00,"485,800",31.73
"Price list and trading summary for Wednesday, October 18, 2006",349.00,391.00,391.00,391.00,"163,600",35.55
"Price list and trading summary for Thursday, October 19, 2006",391.00,800.00,420.00,577.00,"245,200",52.45
"Price list and trading summary for Monday, October 23, 2006",577.00,560.00,498.00,517.00,"67,700",47.00
"Price list and trading summary for Monday, September 25, 2006",239.00,245.00,229.00,237.00,"55,900",21.55
"Price list and trading summary for Wednesday, October 25, 2006",517.00,548.00,450.00,480.00,"30,600",43.64
"Price list and trading summary for Monday, October 16, 2006",334.00,340.00,320.00,327.00,"56,000",29.73
"Price list and trading summary for Thursday, October 26, 2006",480.00,498.00,408.00,420.00,"99,000",38.18
"Price list and trading summary for Friday, October 27, 2006",420.00,430.00,370.00,403.00,"244,100",36.64
"Price list and trading summary for Tuesday, October 31, 2006",402.00,441.00,400.00,410.00,"308,700",37.27
"Price list and trading summary for Wednesday, November 01, 2006",410.00,445.00,410.00,419.00,"144,200",38.09
"Price list and trading summary for Thursday, November 02, 2006",419.00,441.00,420.00,430.00,"122,600",39.09
"Price list and trading summary for Friday, November 03, 2006",430.00,469.00,402.00,422.00,"106,700",38.36
"Price list and trading summary for Monday, November 06, 2006",422.00,420.00,401.00,410.00,"90,700",37.27
"Price list and trading summary for Tuesday, November 07, 2006",410.00,405.00,390.00,404.00,"46,700",36.73
"Price list and trading summary for Wednesday, November 08, 2006",404.00,410.00,390.00,402.00,"52,000",36.55
"Price list and trading summary for Thursday, November 09, 2006",402.00,400.00,380.00,396.00,"50,100",36.00
"Price list and trading summary for Monday, November 13, 2006",393.00,395.00,365.00,390.00,"31,700",35.45
"Price list and trading summary for Tuesday, November 14, 2006",390.00,380.00,351.00,369.00,"26,900",33.55
"Price list and trading summary for Wednesday, November 15, 2006",369.00,379.00,350.00,360.00,"66,700",32.73
"Price list and trading summary for Friday, October 06, 2006",327.00,365.00,320.00,339.00,"160,000",30.82
"Price list and trading summary for Thursday, November 16, 2006",360.00,379.00,351.00,361.00,"64,700",32.82
"Price list and trading summary for Friday, November 17, 2006",361.00,390.00,360.00,372.00,"23,500",33.82
"Price list and trading summary for Monday, November 20, 2006",372.00,411.00,366.00,407.00,"113,800",37.00
"Price list and trading summary for Monday, October 09, 2006",339.00,360.00,310.00,345.00,"91,600",31.36
"Price list and trading summary for Tuesday, November 21, 2006",407.00,410.00,370.00,391.00,"111,700",35.55
"Price list and trading summary for Wednesday, November 22, 2006",391.00,390.00,375.00,385.00,"45,600",35.00
"Price list and trading summary for Thursday, November 23, 2006",385.00,390.00,380.00,389.00,"30,700",35.36
"Price list and trading summary for Friday, November 24, 2006",389.00,421.00,380.00,392.00,"47,000",35.64
"Price list and trading summary for Monday, November 27, 2006",392.00,400.00,380.00,389.00,"70,900",35.36
"Price list and trading summary for Tuesday, November 28, 2006",389.00,390.00,365.00,380.00,"55,600",34.55
"Price list and trading summary for Wednesday, November 29, 2006",380.00,390.00,360.00,372.00,"53,700",33.82
"Price list and trading summary for Friday, December 01, 2006",359.00,376.00,347.00,363.00,"32,100",33.00
"Price list and trading summary for Thursday, November 30, 2006",372.00,380.00,350.00,359.00,"252,700",32.64
"Price list and trading summary for Monday, December 04, 2006",363.00,390.00,350.00,361.00,"62,000",32.82
"Price list and trading summary for Tuesday, December 05, 2006",361.00,370.00,341.00,356.00,"51,200",32.36
"Price list and trading summary for Wednesday, December 06, 2006",356.00,365.00,342.00,355.00,"24,400",32.27
"Price list and trading summary for Thursday, December 07, 2006",355.00,360.00,340.00,352.00,"57,600",32.00
"Price list and trading summary for Friday, December 08, 2006",352.00,355.00,345.00,351.00,"23,200",31.91
"Price list and trading summary for Monday, December 11, 2006",351.00,352.00,340.00,349.00,"15,700",31.73
"Price list and trading summary for Wednesday, December 13, 2006",349.00,352.00,341.00,347.00,"27,300",31.55
"Price list and trading summary for Thursday, December 14, 2006",347.00,352.00,340.00,348.00,"72,500",31.64
"Price list and trading summary for Monday, December 18, 2006",348.00,350.00,340.00,349.00,"31,200",31.73
"Price list and trading summary for Tuesday, December 19, 2006",349.00,350.00,340.00,346.00,"72,600",31.45
"Price list and trading summary for Wednesday, December 20, 2006",346.00,350.00,340.00,346.00,"20,500",31.45
"Price list and trading summary for Thursday, December 21, 2006",346.00,347.00,330.00,343.00,"50,800",31.18
"Price list and trading summary for Friday, December 22, 2006",343.00,340.00,325.00,335.00,"28,800",30.45
