"Price list and trading summary for Wednesday, April 02, 2014",305.00,325.00,305.00,305.00,"5,200",0
"Price list and trading summary for Monday, September 11, 2006",-,166.00,160.00,160.00,"3,100",105.79
"Price list and trading summary for Tuesday, September 12, 2006",160.00,165.00,162.00,163.00,"8,500",107.77
"Price list and trading summary for Wednesday, September 13, 2006",163.00,161.00,161.00,161.00,900,106.45
"Price list and trading summary for Friday, September 22, 2006",186.00,200.00,186.00,188.00,"9,900",124.30
"Price list and trading summary for Tuesday, September 26, 2006",176.00,188.00,177.00,180.00,"10,800",119.01
"Price list and trading summary for Wednesday, September 27, 2006",180.00,181.00,180.00,180.00,"8,400",119.01
"Price list and trading summary for Wednesday, September 20, 2006",177.00,194.00,180.00,187.00,"10,300",123.64
"Price list and trading summary for Tuesday, September 19, 2006",161.00,177.00,177.00,177.00,"3,900",117.02
"Price list and trading summary for Thursday, September 28, 2006",180.00,181.00,166.00,175.00,"2,400",115.70
"Price list and trading summary for Friday, September 15, 2006",168.00,170.00,165.00,168.00,"6,800",111.07
"Price list and trading summary for Thursday, September 14, 2006",161.00,170.00,161.00,168.00,"29,500",111.07
"Price list and trading summary for Monday, September 18, 2006",168.00,175.00,160.00,161.00,"1,100",106.45
"Price list and trading summary for Thursday, September 21, 2006",187.00,200.00,180.00,186.00,"29,000",122.98
"Price list and trading summary for Tuesday, October 03, 2006",190.00,192.00,180.00,182.00,500,120.33
"Price list and trading summary for Friday, September 29, 2006",175.00,185.00,180.00,180.00,"17,300",119.01
"Price list and trading summary for Monday, October 02, 2006",180.00,190.00,190.00,190.00,"50,000",125.62
"Price list and trading summary for Thursday, October 05, 2006",182.00,182.00,177.00,181.00,700,119.67
"Price list and trading summary for Monday, October 09, 2006",185.00,190.00,182.00,184.00,600,121.65
"Price list and trading summary for Thursday, October 12, 2006",184.00,184.00,184.00,184.00,200,121.65
"Price list and trading summary for Friday, October 13, 2006",184.00,184.00,183.00,183.00,800,120.99
"Price list and trading summary for Wednesday, October 04, 2006",182.00,185.00,182.00,182.00,"1,400",120.33
"Price list and trading summary for Tuesday, October 17, 2006",184.00,184.00,183.00,183.00,"1,800",120.99
"Price list and trading summary for Wednesday, October 18, 2006",183.00,186.00,186.00,186.00,200,122.98
"Price list and trading summary for Thursday, October 19, 2006",186.00,190.00,187.00,188.00,"4,300",124.30
"Price list and trading summary for Monday, October 23, 2006",188.00,190.00,188.00,189.00,"1,600",124.96
"Price list and trading summary for Monday, September 25, 2006",188.00,186.00,170.00,176.00,"10,300",116.36
"Price list and trading summary for Wednesday, October 25, 2006",189.00,195.00,187.00,190.00,"6,900",125.62
"Price list and trading summary for Monday, October 16, 2006",183.00,185.00,184.00,184.00,"1,300",121.65
"Price list and trading summary for Thursday, October 26, 2006",190.00,190.00,189.00,189.00,"7,900",124.96
"Price list and trading summary for Friday, October 27, 2006",189.00,195.00,190.00,192.00,"15,200",126.94
"Price list and trading summary for Tuesday, October 31, 2006",199.00,200.00,200.00,200.00,"13,700",132.23
"Price list and trading summary for Wednesday, November 01, 2006",200.00,201.00,200.00,200.00,"5,600",132.23
"Price list and trading summary for Thursday, November 02, 2006",200.00,220.00,215.00,215.00,"12,000",142.15
"Price list and trading summary for Friday, November 03, 2006",215.00,236.00,220.00,227.00,"35,500",150.08
"Price list and trading summary for Monday, November 06, 2006",227.00,251.00,240.00,246.00,"10,600",162.64
"Price list and trading summary for Tuesday, November 07, 2006",246.00,270.00,230.00,254.00,"16,100",167.93
"Price list and trading summary for Wednesday, November 08, 2006",254.00,265.00,220.00,251.00,"15,800",165.95
"Price list and trading summary for Thursday, November 09, 2006",251.00,270.00,246.00,263.00,"17,600",173.88
"Price list and trading summary for Monday, November 13, 2006",274.00,295.00,273.00,280.00,"16,400",185.12
"Price list and trading summary for Tuesday, November 14, 2006",280.00,285.00,270.00,277.00,"30,500",183.14
"Price list and trading summary for Wednesday, November 15, 2006",277.00,280.00,267.00,272.00,"7,200",179.83
"Price list and trading summary for Friday, October 06, 2006",181.00,190.00,182.00,185.00,"1,300",122.31
"Price list and trading summary for Thursday, November 16, 2006",272.00,280.00,275.00,277.00,"6,400",183.14
"Price list and trading summary for Friday, November 17, 2006",277.00,281.00,280.00,280.00,"12,000",185.12
"Price list and trading summary for Monday, November 20, 2006",280.00,285.00,275.00,281.00,"13,400",185.79
"Price list and trading summary for Monday, October 09, 2006",185.00,190.00,182.00,184.00,600,121.65
"Price list and trading summary for Tuesday, November 21, 2006",281.00,287.00,281.00,285.00,"7,300",188.43
"Price list and trading summary for Wednesday, November 22, 2006",285.00,296.00,286.00,292.00,"3,200",193.06
"Price list and trading summary for Thursday, November 23, 2006",292.00,305.00,290.00,298.00,"17,200",197.02
"Price list and trading summary for Friday, November 24, 2006",298.00,333.00,300.00,324.00,"14,600",214.21
"Price list and trading summary for Monday, November 27, 2006",324.00,360.00,333.00,353.00,"14,000",233.39
"Price list and trading summary for Tuesday, November 28, 2006",353.00,396.00,396.00,396.00,"50,900",261.82
"Price list and trading summary for Wednesday, November 29, 2006",396.00,435.00,370.00,394.00,"39,700",260.50
"Price list and trading summary for Friday, December 01, 2006",356.00,360.00,320.00,336.00,"12,700",222.15
"Price list and trading summary for Thursday, November 30, 2006",394.00,370.00,342.00,356.00,"14,900",235.37
"Price list and trading summary for Monday, December 04, 2006",336.00,330.00,300.00,312.00,"11,000",206.28
"Price list and trading summary for Tuesday, December 05, 2006",312.00,300.00,272.00,284.00,"6,800",187.77
"Price list and trading summary for Wednesday, December 06, 2006",284.00,290.00,270.00,281.00,"83,800",185.79
"Price list and trading summary for Thursday, December 07, 2006",281.00,285.00,270.00,282.00,"14,700",186.45
"Price list and trading summary for Friday, December 08, 2006",282.00,285.00,280.00,283.00,"9,700",187.11
"Price list and trading summary for Monday, December 11, 2006",283.00,305.00,285.00,300.00,"27,600",198.35
"Price list and trading summary for Wednesday, December 13, 2006",300.00,310.00,300.00,308.00,"35,500",203.64
"Price list and trading summary for Thursday, December 14, 2006",308.00,339.00,320.00,330.00,"2,400",218.18
"Price list and trading summary for Monday, December 18, 2006",346.00,350.00,315.00,327.00,"11,600",216.20
"Price list and trading summary for Tuesday, December 19, 2006",327.00,345.00,305.00,319.00,"23,100",210.91
"Price list and trading summary for Wednesday, December 20, 2006",319.00,320.00,280.00,297.00,"4,200",196.36
"Price list and trading summary for Thursday, December 21, 2006",297.00,320.00,290.00,299.00,"3,300",197.69
"Price list and trading summary for Friday, December 22, 2006",299.00,320.00,280.00,296.00,"1,300",195.70
"Price list and trading summary for Wednesday, October 11, 2006",184.00,184.00,184.00,184.00,"1,200",121.65
"Price list and trading summary for Monday, October 30, 2006",192.00,200.00,173.00,199.00,"5,800",131.57
