"Price list and trading summary for Wednesday, April 02, 2014",46.00,46.50,45.75,46.00,1.06,0
"Price list and trading summary for Monday, September 11, 2006",-,181.00,178.00,179.00,"176,900",17.90
"Price list and trading summary for Tuesday, September 12, 2006",179.00,185.00,172.00,180.00,"271,900",18.00
"Price list and trading summary for Wednesday, September 13, 2006",180.00,190.00,180.00,181.00,"133,900",18.10
"Price list and trading summary for Friday, September 22, 2006",194.00,210.00,175.00,193.00,"188,900",19.30
"Price list and trading summary for Tuesday, September 26, 2006",193.00,210.00,190.00,195.00,"179,600",19.50
"Price list and trading summary for Wednesday, September 27, 2006",195.00,195.00,175.00,193.00,"161,600",19.30
"Price list and trading summary for Tuesday, September 19, 2006",197.00,220.00,196.00,205.00,"419,400",20.50
"Price list and trading summary for Wednesday, September 20, 2006",205.00,220.00,198.00,208.00,"208,500",20.80
"Price list and trading summary for Thursday, September 28, 2006",193.00,196.00,182.00,192.00,"91,700",19.20
"Price list and trading summary for Monday, September 18, 2006",185.00,200.00,194.00,197.00,"111,600",19.70
"Price list and trading summary for Friday, September 15, 2006",184.00,193.00,181.00,185.00,"89,700",18.50
"Price list and trading summary for Thursday, September 14, 2006",181.00,190.00,177.00,184.00,"141,900",18.40
"Price list and trading summary for Thursday, September 21, 2006",208.00,207.00,190.00,194.00,"261,700",19.40
"Price list and trading summary for Tuesday, October 03, 2006",195.00,198.00,192.00,193.00,"114,100",19.30
"Price list and trading summary for Friday, September 29, 2006",192.00,196.00,186.00,193.00,"384,100",19.30
"Price list and trading summary for Monday, October 02, 2006",193.00,200.00,190.00,195.00,"173,200",19.50
"Price list and trading summary for Thursday, October 05, 2006",193.00,197.00,190.00,194.00,"329,700",19.40
"Price list and trading summary for Monday, October 09, 2006",195.00,200.00,190.00,195.00,"232,200",19.50
"Price list and trading summary for Thursday, October 12, 2006",196.00,200.00,192.00,198.00,"365,800",19.80
"Price list and trading summary for Friday, October 13, 2006",198.00,200.00,194.00,197.00,"101,700",19.70
"Price list and trading summary for Wednesday, October 04, 2006",193.00,196.00,190.00,193.00,"207,500",19.30
"Price list and trading summary for Tuesday, October 17, 2006",195.00,199.00,195.00,197.00,"36,000",19.70
"Price list and trading summary for Wednesday, October 18, 2006",197.00,200.00,195.00,198.00,"60,900",19.80
"Price list and trading summary for Thursday, October 19, 2006",198.00,200.00,195.00,197.00,"162,500",19.70
"Price list and trading summary for Monday, October 23, 2006",197.00,198.00,192.00,195.00,"150,600",19.50
"Price list and trading summary for Monday, September 25, 2006",193.00,200.00,190.00,193.00,"64,700",19.30
"Price list and trading summary for Wednesday, October 25, 2006",195.00,197.00,190.00,195.00,"155,100",19.50
"Price list and trading summary for Monday, October 16, 2006",197.00,197.00,195.00,195.00,"27,700",19.50
