"Price list and trading summary for Wednesday, April 02, 2014",12.15,12.30,11.85,12.05,"142,700",0
"Price list and trading summary for Monday, September 11, 2006",11.90,35.00,31.00,34.25,1.16,0
"Price list and trading summary for Tuesday, September 12, 2006",34.25,35.00,31.00,33.75,1.09,0
"Price list and trading summary for Wednesday, September 13, 2006",33.75,34.00,32.00,33.50,"970,100",0
"Price list and trading summary for Friday, September 22, 2006",32.50,35.00,32.00,32.75,1.34,0
"Price list and trading summary for Tuesday, September 26, 2006",32.25,33.00,31.25,32.00,1.37,0
"Price list and trading summary for Wednesday, September 27, 2006",32.00,35.00,32.00,33.75,2.51,0
"Price list and trading summary for Tuesday, September 19, 2006",31.75,32.50,31.00,31.75,1.75,0
"Price list and trading summary for Wednesday, September 20, 2006",31.75,33.00,31.00,32.00,1.17,0
"Price list and trading summary for Thursday, September 28, 2006",33.75,37.75,32.00,36.00,3.99,0
"Price list and trading summary for Monday, September 18, 2006",31.50,33.00,31.00,31.75,1.64,0
"Price list and trading summary for Friday, September 15, 2006",33.00,33.00,30.50,31.50,1.96,0
"Price list and trading summary for Thursday, September 14, 2006",33.50,34.25,30.00,33.00,1.47,0
"Price list and trading summary for Thursday, September 21, 2006",32.00,33.50,31.25,32.50,1.58,0
"Price list and trading summary for Tuesday, October 03, 2006",34.75,35.50,31.50,34.25,3.61,0
"Price list and trading summary for Friday, September 29, 2006",36.00,40.25,34.00,36.00,2.14,0
"Price list and trading summary for Monday, October 02, 2006",36.00,37.00,31.50,34.75,1.28,0
"Price list and trading summary for Thursday, October 05, 2006",33.25,34.00,31.75,33.00,2.24,0
"Price list and trading summary for Monday, October 09, 2006",33.25,34.00,31.25,32.75,1.02,0
"Price list and trading summary for Thursday, October 12, 2006",32.50,33.00,30.00,32.00,1.01,0
"Price list and trading summary for Friday, October 13, 2006",32.00,32.75,30.00,31.50,1.71,0
"Price list and trading summary for Tuesday, October 17, 2006",32.00,33.00,31.00,32.50,2.37,0
"Price list and trading summary for Wednesday, October 04, 2006",34.25,34.00,32.00,33.25,1.02,0
"Price list and trading summary for Wednesday, October 18, 2006",32.50,34.50,32.00,32.50,1.85,0
"Price list and trading summary for Thursday, October 19, 2006",32.50,33.75,31.00,32.50,1.92,0
"Price list and trading summary for Monday, October 23, 2006",32.50,35.00,31.50,33.25,2.60,0
"Price list and trading summary for Monday, September 25, 2006",32.75,33.50,31.25,32.25,2.05,0
"Price list and trading summary for Wednesday, October 25, 2006",33.25,35.00,32.75,34.00,5.47,0
"Price list and trading summary for Monday, October 16, 2006",31.50,33.00,31.25,32.00,"769,200",0
"Price list and trading summary for Thursday, October 26, 2006",34.00,34.50,33.00,33.75,2.31,0
"Price list and trading summary for Friday, October 27, 2006",33.75,37.00,34.00,34.25,1.54,0
"Price list and trading summary for Tuesday, October 31, 2006",34.25,35.00,33.00,34.50,3.67,0
"Price list and trading summary for Wednesday, November 01, 2006",34.50,35.25,34.00,34.50,2.29,0
"Price list and trading summary for Thursday, November 02, 2006",34.50,34.75,33.00,34.25,1.27,0
"Price list and trading summary for Friday, November 03, 2006",34.25,37.00,31.50,34.25,3.10,0
"Price list and trading summary for Monday, November 06, 2006",34.25,34.00,31.00,33.00,1.39,0
"Price list and trading summary for Tuesday, November 07, 2006",33.00,33.00,31.00,32.25,1.45,0
"Price list and trading summary for Wednesday, November 08, 2006",32.25,33.00,31.00,32.00,1.77,0
"Price list and trading summary for Thursday, November 09, 2006",32.00,34.00,31.75,33.00,3.25,0
"Price list and trading summary for Monday, November 13, 2006",33.00,33.50,31.00,32.50,1.43,0
"Price list and trading summary for Tuesday, November 14, 2006",32.50,34.75,29.00,31.75,1.97,0
"Price list and trading summary for Wednesday, November 15, 2006",31.75,31.75,28.50,30.25,1.19,0
"Price list and trading summary for Friday, October 06, 2006",33.00,34.25,31.00,33.25,2.50,0
"Price list and trading summary for Thursday, November 16, 2006",30.25,33.75,28.00,31.50,1.86,0
"Price list and trading summary for Friday, November 17, 2006",31.50,34.00,30.00,31.75,2.56,0
"Price list and trading summary for Monday, November 20, 2006",31.75,33.00,28.50,30.75,1.15,0
"Price list and trading summary for Monday, October 09, 2006",33.25,34.00,31.25,32.75,1.02,0
"Price list and trading summary for Tuesday, November 21, 2006",30.75,33.50,30.00,31.50,1.34,0
"Price list and trading summary for Wednesday, November 22, 2006",31.50,34.50,31.50,32.00,1.69,0
"Price list and trading summary for Thursday, November 23, 2006",32.00,33.00,29.00,32.25,1.67,0
"Price list and trading summary for Friday, November 24, 2006",32.25,35.50,31.75,32.25,1.26,0
"Price list and trading summary for Monday, November 27, 2006",32.25,32.50,32.00,32.00,"599,000",0
"Price list and trading summary for Tuesday, November 28, 2006",32.00,32.75,31.00,32.25,3.36,0
"Price list and trading summary for Wednesday, November 29, 2006",32.25,32.50,31.50,32.00,1.28,0
"Price list and trading summary for Friday, December 01, 2006",32.00,33.00,30.00,31.50,1.51,0
"Price list and trading summary for Thursday, November 30, 2006",32.00,32.75,30.00,32.00,2.94,0
"Price list and trading summary for Monday, December 04, 2006",31.50,32.25,29.25,31.25,1.37,0
