"Price list and trading summary for Wednesday, April 02, 2014",10.35,10.40,10.15,10.25,"497,200",0
"Price list and trading summary for Monday, September 11, 2006",11.90,120.00,115.00,116.00,"9,600",11.60
"Price list and trading summary for Tuesday, September 12, 2006",116.00,120.00,115.00,115.00,"18,800",11.50
"Price list and trading summary for Wednesday, September 13, 2006",115.00,116.00,115.00,115.00,"16,200",11.50
"Price list and trading summary for Friday, September 22, 2006",116.00,120.00,115.00,116.00,"16,100",11.60
"Price list and trading summary for Tuesday, September 26, 2006",115.00,120.00,115.00,115.00,"6,800",11.50
"Price list and trading summary for Wednesday, September 27, 2006",115.00,115.00,104.00,107.00,"43,000",10.70
"Price list and trading summary for Wednesday, September 20, 2006",116.00,120.00,117.00,118.00,"11,000",11.80
"Price list and trading summary for Tuesday, September 19, 2006",115.00,120.00,115.00,116.00,"18,400",11.60
"Price list and trading summary for Thursday, September 28, 2006",107.00,106.00,100.00,100.00,"312,500",10.00
"Price list and trading summary for Thursday, September 14, 2006",115.00,116.00,115.00,115.00,"10,600",11.50
"Price list and trading summary for Monday, September 18, 2006",115.00,121.00,105.00,115.00,"20,600",11.50
"Price list and trading summary for Friday, September 15, 2006",115.00,120.00,115.00,115.00,"5,700",11.50
"Price list and trading summary for Thursday, September 21, 2006",118.00,119.00,115.00,116.00,"20,900",11.60
"Price list and trading summary for Friday, September 29, 2006",100.00,106.00,100.00,100.00,"466,300",10.00
"Price list and trading summary for Tuesday, October 03, 2006",100.00,106.00,100.00,101.00,"520,500",10.10
"Price list and trading summary for Monday, October 02, 2006",100.00,110.00,100.00,100.00,1.26,10.00
"Price list and trading summary for Thursday, October 05, 2006",100.00,110.00,102.00,104.00,"235,600",10.40
"Price list and trading summary for Monday, October 09, 2006",116.00,128.00,115.00,121.00,"248,100",12.10
"Price list and trading summary for Thursday, October 12, 2006",117.00,114.00,109.00,110.00,"205,700",11.00
"Price list and trading summary for Friday, October 13, 2006",110.00,110.00,105.00,108.00,"143,200",10.80
"Price list and trading summary for Wednesday, October 04, 2006",101.00,110.00,100.00,100.00,3.11,10.00
"Price list and trading summary for Tuesday, October 17, 2006",107.00,110.00,102.00,105.00,"430,700",10.50
"Price list and trading summary for Wednesday, October 18, 2006",105.00,110.00,102.00,105.00,"212,200",10.50
"Price list and trading summary for Thursday, October 19, 2006",105.00,107.00,100.00,104.00,"62,600",10.40
"Price list and trading summary for Monday, October 23, 2006",104.00,110.00,105.00,106.00,"35,200",10.60
"Price list and trading summary for Monday, September 25, 2006",116.00,115.00,115.00,115.00,"9,600",11.50
"Price list and trading summary for Wednesday, October 25, 2006",106.00,112.00,107.00,109.00,"31,400",10.90
"Price list and trading summary for Monday, October 16, 2006",108.00,110.00,105.00,107.00,"56,800",10.70
"Price list and trading summary for Thursday, October 26, 2006",109.00,115.00,110.00,111.00,"40,300",11.10
"Price list and trading summary for Friday, October 27, 2006",111.00,115.00,103.00,110.00,"54,500",11.00
"Price list and trading summary for Tuesday, October 31, 2006",108.00,110.00,107.00,109.00,"160,200",10.90
"Price list and trading summary for Wednesday, November 01, 2006",109.00,110.00,107.00,108.00,"22,300",10.80
"Price list and trading summary for Thursday, November 02, 2006",108.00,110.00,108.00,108.00,"28,600",10.80
"Price list and trading summary for Friday, November 03, 2006",108.00,110.00,107.00,108.00,"66,500",10.80
"Price list and trading summary for Monday, November 06, 2006",108.00,107.00,106.00,106.00,"25,100",10.60
"Price list and trading summary for Tuesday, November 07, 2006",106.00,107.00,100.00,105.00,"75,600",10.50
"Price list and trading summary for Wednesday, November 08, 2006",105.00,109.00,107.00,107.00,"53,900",10.70
"Price list and trading summary for Thursday, November 09, 2006",107.00,109.00,107.00,108.00,"25,000",10.80
"Price list and trading summary for Monday, November 13, 2006",107.00,110.00,103.00,105.00,"58,800",10.50
"Price list and trading summary for Tuesday, November 14, 2006",105.00,108.00,103.00,104.00,"15,400",10.40
"Price list and trading summary for Wednesday, November 15, 2006",104.00,108.00,104.00,106.00,"52,600",10.60
"Price list and trading summary for Friday, October 06, 2006",104.00,121.00,112.00,116.00,"834,100",11.60
"Price list and trading summary for Thursday, November 16, 2006",106.00,108.00,105.00,107.00,"11,600",10.70
"Price list and trading summary for Friday, November 17, 2006",107.00,108.00,106.00,106.00,"41,600",10.60
"Price list and trading summary for Monday, November 20, 2006",106.00,113.00,106.00,109.00,"193,400",10.90
"Price list and trading summary for Monday, October 09, 2006",116.00,128.00,115.00,121.00,"248,100",12.10
"Price list and trading summary for Tuesday, November 21, 2006",109.00,110.00,107.00,109.00,"126,800",10.90
"Price list and trading summary for Wednesday, November 22, 2006",109.00,110.00,108.00,108.00,"158,700",10.80
"Price list and trading summary for Thursday, November 23, 2006",108.00,110.00,109.00,109.00,"19,700",10.90
"Price list and trading summary for Friday, November 24, 2006",109.00,110.00,106.00,108.00,"6,300",10.80
"Price list and trading summary for Monday, November 27, 2006",108.00,113.00,109.00,110.00,"10,700",11.00
"Price list and trading summary for Tuesday, November 28, 2006",110.00,111.00,107.00,108.00,"58,900",10.80
"Price list and trading summary for Wednesday, November 29, 2006",108.00,110.00,108.00,109.00,"98,100",10.90
"Price list and trading summary for Friday, December 01, 2006",108.00,108.00,107.00,107.00,900,10.70
"Price list and trading summary for Thursday, November 30, 2006",109.00,109.00,107.00,108.00,"54,200",10.80
"Price list and trading summary for Monday, December 04, 2006",107.00,107.00,105.00,105.00,"30,400",10.50
"Price list and trading summary for Tuesday, December 05, 2006",105.00,106.00,101.00,102.00,"5,900",10.20
"Price list and trading summary for Wednesday, December 06, 2006",102.00,108.00,101.00,101.00,"25,600",10.10
"Price list and trading summary for Thursday, December 07, 2006",101.00,109.00,105.00,107.00,"33,700",10.70
"Price list and trading summary for Friday, December 08, 2006",107.00,112.00,108.00,109.00,"27,200",10.90
"Price list and trading summary for Monday, December 11, 2006",109.00,112.00,110.00,111.00,"3,500",11.10
"Price list and trading summary for Wednesday, December 13, 2006",111.00,110.00,110.00,110.00,"18,300",11.00
"Price list and trading summary for Thursday, December 14, 2006",110.00,111.00,107.00,108.00,"126,900",10.80
"Price list and trading summary for Monday, December 18, 2006",110.00,112.00,110.00,110.00,"10,300",11.00
"Price list and trading summary for Tuesday, December 19, 2006",110.00,115.00,109.00,110.00,"160,400",11.00
"Price list and trading summary for Wednesday, December 20, 2006",110.00,111.00,110.00,110.00,"75,300",11.00
"Price list and trading summary for Thursday, December 21, 2006",110.00,110.00,110.00,110.00,"248,100",11.00
"Price list and trading summary for Friday, December 22, 2006",110.00,110.00,108.00,109.00,"6,500",10.90
"Price list and trading summary for Wednesday, October 11, 2006",121.00,120.00,112.00,117.00,"61,900",11.70
"Price list and trading summary for Monday, October 30, 2006",110.00,110.00,107.00,108.00,"280,400",10.80
"Price list and trading summary for Wednesday, December 27, 2006",109.00,110.00,108.00,108.00,"14,600",10.80
"Price list and trading summary for Monday, October 23, 2006",104.00,110.00,105.00,106.00,"35,200",10.60
"Price list and trading summary for Thursday, December 28, 2006",108.00,110.00,108.00,109.00,"1,200",10.90
"Price list and trading summary for Friday, December 29, 2006",109.00,110.00,108.00,108.00,"13,800",10.80
"Price list and trading summary for Tuesday, January 02, 2007",108.00,111.00,110.00,110.00,"2,900",11.00
"Price list and trading summary for Wednesday, January 03, 2007",110.00,110.00,105.00,108.00,"7,900",10.80
"Price list and trading summary for Thursday, January 04, 2007",108.00,110.00,108.00,109.00,"14,700",10.90
"Price list and trading summary for Friday, January 05, 2007",109.00,111.00,110.00,110.00,"52,300",11.00
"Price list and trading summary for Monday, January 08, 2007",110.00,116.00,110.00,111.00,"40,400",11.10
"Price list and trading summary for Tuesday, January 09, 2007",111.00,120.00,115.00,118.00,"60,500",11.80
"Price list and trading summary for Wednesday, January 10, 2007",118.00,125.00,119.00,120.00,"107,200",12.00
"Price list and trading summary for Thursday, January 11, 2007",120.00,130.00,120.00,124.00,"50,800",12.40
"Price list and trading summary for Friday, January 12, 2007",124.00,125.00,119.00,123.00,"59,200",12.30
"Price list and trading summary for Monday, January 15, 2007",123.00,125.00,118.00,121.00,"9,200",12.10
"Price list and trading summary for Tuesday, January 16, 2007",121.00,125.00,115.00,117.00,"11,200",11.70
"Price list and trading summary for Wednesday, January 17, 2007",117.00,118.00,115.00,115.00,"24,100",11.50
"Price list and trading summary for Thursday, January 18, 2007",115.00,115.00,110.00,112.00,"16,600",11.20
"Price list and trading summary for Thursday, October 19, 2006",105.00,107.00,100.00,104.00,"62,600",10.40
"Price list and trading summary for Monday, January 22, 2007",111.00,115.00,111.00,112.00,"4,800",11.20
"Price list and trading summary for Tuesday, January 23, 2007",112.00,120.00,110.00,115.00,"50,500",11.50
"Price list and trading summary for Wednesday, January 24, 2007",115.00,117.00,110.00,114.00,"32,800",11.40
"Price list and trading summary for Thursday, January 25, 2007",114.00,114.00,110.00,112.00,"55,500",11.20
"Price list and trading summary for Friday, January 26, 2007",112.00,115.00,112.00,113.00,"15,100",11.30
"Price list and trading summary for Friday, December 15, 2006",108.00,112.00,110.00,110.00,"64,100",11.00
"Price list and trading summary for Monday, January 29, 2007",113.00,115.00,113.00,113.00,"21,300",11.30
"Price list and trading summary for Friday, November 10, 2006",108.00,108.00,107.00,107.00,"143,200",10.70
"Price list and trading summary for Tuesday, January 30, 2007",113.00,110.00,100.00,104.00,"16,800",10.40
"Price list and trading summary for Monday, December 11, 2006",109.00,112.00,110.00,111.00,"3,500",11.10
"Price list and trading summary for Thursday, February 01, 2007",99.50,98.00,97.00,97.00,"9,800",9.70
"Price list and trading summary for Wednesday, January 31, 2007",104.00,101.00,97.00,99.50,"34,100",9.95
"Price list and trading summary for Friday, February 02, 2007",97.00,97.00,95.00,96.00,"9,300",9.60
"Price list and trading summary for Monday, February 05, 2007",96.00,100.00,97.50,99.50,"18,000",9.95
"Price list and trading summary for Friday, December 29, 2006",109.00,110.00,108.00,108.00,"13,800",10.80
"Price list and trading summary for Wednesday, February 07, 2007",102.00,111.00,102.00,108.00,"23,000",10.80
"Price list and trading summary for Tuesday, February 06, 2007",99.50,105.00,100.00,102.00,"23,800",10.20
"Price list and trading summary for Friday, December 22, 2006",110.00,110.00,108.00,109.00,"6,500",10.90
"Price list and trading summary for Friday, December 22, 2006",110.00,110.00,108.00,109.00,"6,500",10.90
"Price list and trading summary for Friday, February 09, 2007",110.00,115.00,110.00,112.00,"29,100",11.20
"Price list and trading summary for Tuesday, February 13, 2007",114.00,115.00,110.00,112.00,"30,000",11.20
"Price list and trading summary for Wednesday, February 14, 2007",112.00,115.00,112.00,112.00,"19,900",11.20
"Price list and trading summary for Monday, February 19, 2007",112.00,113.00,112.00,112.00,"9,400",11.20
"Price list and trading summary for Friday, February 16, 2007",112.00,115.00,112.00,112.00,"26,900",11.20
"Price list and trading summary for Thursday, February 22, 2007",112.00,112.00,100.00,100.00,"341,800",10.00
"Price list and trading summary for Wednesday, February 21, 2007",111.00,115.00,110.00,112.00,"50,100",11.20
"Price list and trading summary for Thursday, February 08, 2007",108.00,115.00,110.00,110.00,"22,500",11.00
"Price list and trading summary for Monday, February 26, 2007",100.00,105.00,100.00,100.00,"172,000",10.00
"Price list and trading summary for Friday, February 23, 2007",100.00,110.00,100.00,100.00,"361,000",10.00
"Price list and trading summary for Tuesday, February 27, 2007",100.00,102.00,100.00,100.00,"91,100",10.00
"Price list and trading summary for Thursday, March 01, 2007",100.00,103.00,100.00,100.00,"10,100",10.00
"Price list and trading summary for Wednesday, February 28, 2007",100.00,105.00,100.00,100.00,"87,000",10.00
"Price list and trading summary for Monday, March 05, 2007",99.50,102.00,98.00,99.50,"28,800",9.95
"Price list and trading summary for Friday, March 02, 2007",100.00,100.00,98.00,99.50,"131,600",9.95
"Price list and trading summary for Wednesday, March 07, 2007",100.00,100.00,100.00,100.00,"37,900",10.00
"Price list and trading summary for Tuesday, March 06, 2007",99.50,100.00,100.00,100.00,"36,200",10.00
"Price list and trading summary for Friday, March 09, 2007",100.00,100.00,98.00,99.50,"27,200",9.95
"Price list and trading summary for Monday, March 12, 2007",99.50,100.00,99.00,99.00,"6,600",9.90
"Price list and trading summary for Wednesday, March 14, 2007",99.50,100.00,95.00,98.50,"9,300",9.85
"Price list and trading summary for Tuesday, March 13, 2007",99.00,100.00,95.00,99.50,"26,600",9.95
"Price list and trading summary for Thursday, March 08, 2007",100.00,100.00,100.00,100.00,"20,800",10.00
"Price list and trading summary for Thursday, March 15, 2007",98.50,95.00,95.00,95.00,"11,700",9.50
"Price list and trading summary for Monday, March 19, 2007",95.00,98.00,92.00,94.00,"2,300",9.40
"Price list and trading summary for Wednesday, March 21, 2007",88.00,90.00,86.00,88.50,"2,300",8.85
"Price list and trading summary for Tuesday, March 20, 2007",94.00,92.00,85.50,88.00,"8,300",8.80
"Price list and trading summary for Thursday, March 22, 2007",88.50,85.00,80.00,82.00,"8,700",8.20
"Price list and trading summary for Friday, March 16, 2007",95.00,95.00,95.00,95.00,"9,000",9.50
"Price list and trading summary for Friday, March 23, 2007",82.00,86.00,80.00,83.00,"7,800",8.30
"Price list and trading summary for Tuesday, March 27, 2007",84.00,93.50,85.00,89.00,"10,300",8.90
"Price list and trading summary for Wednesday, March 28, 2007",89.00,99.00,95.00,98.50,"6,000",9.85
"Price list and trading summary for Friday, March 30, 2007",100.00,100.00,100.00,100.00,"26,600",10.00
"Price list and trading summary for Monday, April 02, 2007",100.00,100.00,100.00,100.00,"6,800",10.00
"Price list and trading summary for Wednesday, April 04, 2007",98.50,102.00,95.00,99.50,"34,500",9.95
"Price list and trading summary for Thursday, April 05, 2007",99.50,99.50,99.50,99.50,800,9.95
"Price list and trading summary for Tuesday, February 20, 2007",112.00,112.00,110.00,111.00,"12,300",11.10
"Price list and trading summary for Monday, February 12, 2007",112.00,115.00,112.00,114.00,"27,900",11.40
"Price list and trading summary for Thursday, February 15, 2007",112.00,114.00,112.00,112.00,"3,700",11.20
"Price list and trading summary for Friday, January 19, 2007",112.00,115.00,110.00,111.00,"16,700",11.10
"Price list and trading summary for Thursday, April 12, 2007",100.00,100.00,90.00,99.50,"20,800",9.95
