"Price list and trading summary for Wednesday, April 02, 2014",18.60,19.00,18.55,18.60,"40,500",0
"Price list and trading summary for Tuesday, July 17, 2007","5,121.08",9.50,9.50,9.50,0,0
"Price list and trading summary for Wednesday, August 29, 2007",14.60,15.00,14.00,14.25,14.13,0
"Price list and trading summary for Monday, August 27, 2007",9.50,18.50,14.65,16.00,13.86,0
"Price list and trading summary for Thursday, August 30, 2007",14.25,15.65,14.20,14.75,15.23,0
"Price list and trading summary for Tuesday, September 04, 2007",16.30,17.80,16.55,17.25,4.25,0
"Price list and trading summary for Tuesday, August 28, 2007",16.00,15.60,14.40,14.60,13.20,0
"Price list and trading summary for Monday, September 03, 2007",16.25,17.50,15.50,16.30,4.84,0
"Price list and trading summary for Wednesday, September 05, 2007",17.25,18.40,16.50,17.75,6.14,0
"Price list and trading summary for Friday, August 31, 2007",14.75,17.50,15.65,16.25,9.84,0
"Price list and trading summary for Monday, September 10, 2007",18.25,19.00,17.95,18.20,5.08,0
"Price list and trading summary for Tuesday, September 18, 2007",16.65,17.50,16.50,16.90,1.88,0
"Price list and trading summary for Thursday, September 06, 2007",17.75,17.95,16.80,17.50,8.81,0
"Price list and trading summary for Tuesday, September 11, 2007",18.20,19.00,17.70,18.10,5.72,0
"Price list and trading summary for Friday, September 21, 2007",17.60,19.35,17.50,17.65,1.20,0
"Price list and trading summary for Monday, September 24, 2007",17.65,17.50,16.60,17.20,2.49,0
"Price list and trading summary for Tuesday, September 25, 2007",17.20,17.00,16.40,16.70,1.73,0
"Price list and trading summary for Friday, September 07, 2007",17.50,19.25,17.65,18.25,9.71,0
"Price list and trading summary for Thursday, September 27, 2007",16.40,17.00,15.00,16.10,1.45,0
"Price list and trading summary for Friday, September 14, 2007",17.05,17.90,16.45,16.80,2.29,0
"Price list and trading summary for Monday, September 17, 2007",16.80,18.45,16.50,16.65,2.09,0
"Price list and trading summary for Monday, October 01, 2007",16.20,16.50,16.00,16.25,"586,900",0
"Price list and trading summary for Thursday, September 13, 2007",17.95,19.00,16.50,17.05,3.25,0
"Price list and trading summary for Thursday, October 04, 2007",16.30,16.00,14.75,15.20,1.07,0
"Price list and trading summary for Wednesday, September 12, 2007",18.10,18.25,16.30,17.95,9.40,0
"Price list and trading summary for Monday, October 08, 2007",14.95,15.00,13.50,14.30,"769,300",0
"Price list and trading summary for Wednesday, September 19, 2007",16.90,17.80,16.00,17.00,5.94,0
"Price list and trading summary for Wednesday, September 26, 2007",16.70,16.70,15.50,16.40,2.72,0
"Price list and trading summary for Thursday, September 20, 2007",17.00,18.00,17.30,17.60,3.69,0
"Price list and trading summary for Friday, September 28, 2007",16.10,16.85,15.60,16.20,1.48,0
"Price list and trading summary for Monday, October 15, 2007",14.90,16.25,15.25,15.70,"939,700",0
"Price list and trading summary for Wednesday, October 03, 2007",16.25,16.50,14.70,16.30,2.52,0
"Price list and trading summary for Wednesday, October 17, 2007",16.05,16.50,15.55,16.00,1.93,0
"Price list and trading summary for Thursday, October 18, 2007",16.00,16.50,15.55,16.00,3.40,0
"Price list and trading summary for Tuesday, October 09, 2007",14.30,14.30,13.00,13.85,"630,900",0
"Price list and trading summary for Friday, October 05, 2007",15.20,15.30,14.50,14.95,"872,200",0
"Price list and trading summary for Tuesday, October 09, 2007",14.30,14.30,13.00,13.85,"630,900",0
"Price list and trading summary for Tuesday, October 23, 2007",15.50,15.50,14.30,15.20,"496,500",0
"Price list and trading summary for Wednesday, October 24, 2007",15.20,15.50,14.05,14.80,"717,500",0
"Price list and trading summary for Friday, October 12, 2007",14.10,15.50,14.10,14.90,1.32,0
"Price list and trading summary for Friday, October 26, 2007",15.05,15.50,14.60,15.05,"509,200",0
"Price list and trading summary for Tuesday, October 30, 2007",15.15,16.00,14.10,15.10,1.09,0
"Price list and trading summary for Wednesday, October 31, 2007",15.10,15.00,14.70,14.95,1.04,0
"Price list and trading summary for Tuesday, October 02, 2007",16.25,16.50,16.00,16.25,1.30,0
"Price list and trading summary for Thursday, October 11, 2007",13.85,15.00,13.85,14.10,"918,000",0
"Price list and trading summary for Monday, November 05, 2007",14.95,15.20,14.60,15.00,"622,700",0
"Price list and trading summary for Tuesday, October 16, 2007",15.70,16.50,15.50,16.05,1.35,0
