"Price list and trading summary for Wednesday, April 02, 2014",14.35,14.55,14.30,14.45,"357,700",0
"Price list and trading summary for Monday, September 11, 2006",11.90,210.00,200.00,204.00,"88,400",25.50
"Price list and trading summary for Tuesday, September 12, 2006",204.00,211.00,200.00,207.00,"369,600",25.88
"Price list and trading summary for Wednesday, September 13, 2006",207.00,231.00,207.00,212.00,"548,600",26.50
"Price list and trading summary for Friday, September 22, 2006",250.00,250.00,225.00,249.00,"87,400",31.13
"Price list and trading summary for Tuesday, September 26, 2006",247.00,272.00,235.00,262.00,"132,500",32.75
"Price list and trading summary for Wednesday, September 27, 2006",262.00,288.00,270.00,280.00,"757,200",35.00
"Price list and trading summary for Tuesday, September 19, 2006",283.00,310.00,259.00,285.00,"724,500",35.63
"Price list and trading summary for Wednesday, September 20, 2006",285.00,300.00,256.00,276.00,"375,500",34.50
"Price list and trading summary for Thursday, September 28, 2006",280.00,278.00,270.00,276.00,"163,500",34.50
"Price list and trading summary for Monday, September 18, 2006",256.00,284.00,272.00,283.00,"784,800",35.38
"Price list and trading summary for Friday, September 15, 2006",216.00,259.00,237.00,256.00,"495,200",32.00
"Price list and trading summary for Thursday, September 14, 2006",212.00,236.00,210.00,216.00,"268,200",27.00
"Price list and trading summary for Thursday, September 21, 2006",276.00,271.00,245.00,250.00,"684,000",31.25
"Price list and trading summary for Tuesday, October 03, 2006",234.00,250.00,223.00,239.00,"346,200",29.88
"Price list and trading summary for Friday, September 29, 2006",276.00,270.00,215.00,254.00,"134,000",31.75
"Price list and trading summary for Monday, October 02, 2006",254.00,244.00,220.00,234.00,"181,300",29.25
"Price list and trading summary for Thursday, October 05, 2006",266.00,293.00,260.00,288.00,"991,100",36.00
"Price list and trading summary for Monday, October 09, 2006",272.00,285.00,260.00,275.00,"200,600",34.38
"Price list and trading summary for Thursday, October 12, 2006",271.00,264.00,250.00,262.00,"141,000",32.75
"Price list and trading summary for Friday, October 13, 2006",262.00,264.00,255.00,258.00,"165,500",32.25
"Price list and trading summary for Tuesday, October 17, 2006",258.00,259.00,250.00,255.00,"81,700",31.88
"Price list and trading summary for Wednesday, October 04, 2006",239.00,267.00,240.00,266.00,1.16,33.25
"Price list and trading summary for Wednesday, October 18, 2006",255.00,257.00,250.00,252.00,"57,900",31.50
"Price list and trading summary for Thursday, October 19, 2006",252.00,255.00,250.00,253.00,"102,900",31.63
"Price list and trading summary for Monday, October 23, 2006",253.00,254.00,245.00,251.00,"387,400",31.38
"Price list and trading summary for Monday, September 25, 2006",249.00,250.00,240.00,247.00,"165,200",30.88
"Price list and trading summary for Wednesday, October 25, 2006",251.00,250.00,238.00,245.00,"214,200",30.63
"Price list and trading summary for Monday, October 16, 2006",258.00,265.00,252.00,258.00,"145,300",32.25
"Price list and trading summary for Thursday, October 26, 2006",245.00,242.00,235.00,238.00,"247,400",29.75
"Price list and trading summary for Friday, October 27, 2006",238.00,241.00,239.00,239.00,"540,100",29.88
"Price list and trading summary for Tuesday, October 31, 2006",256.00,286.00,250.00,274.00,"341,700",34.25
"Price list and trading summary for Wednesday, November 01, 2006",274.00,288.00,272.00,280.00,"375,800",35.00
"Price list and trading summary for Thursday, November 02, 2006",280.00,280.00,265.00,276.00,"224,900",34.50
"Price list and trading summary for Friday, November 03, 2006",276.00,272.00,250.00,255.00,"434,000",31.88
"Price list and trading summary for Monday, November 06, 2006",255.00,270.00,250.00,256.00,"266,000",32.00
"Price list and trading summary for Tuesday, November 07, 2006",256.00,270.00,250.00,256.00,"60,200",32.00
"Price list and trading summary for Wednesday, November 08, 2006",256.00,270.00,260.00,262.00,"225,500",32.75
"Price list and trading summary for Thursday, November 09, 2006",262.00,285.00,265.00,275.00,"168,200",34.38
"Price list and trading summary for Monday, November 13, 2006",290.00,300.00,280.00,292.00,"224,600",36.50
"Price list and trading summary for Tuesday, November 14, 2006",292.00,290.00,278.00,285.00,"65,400",35.63
"Price list and trading summary for Wednesday, November 15, 2006",285.00,290.00,270.00,286.00,"55,000",35.75
"Price list and trading summary for Friday, October 06, 2006",288.00,280.00,265.00,272.00,"375,100",34.00
"Price list and trading summary for Thursday, November 16, 2006",286.00,300.00,270.00,277.00,"99,800",34.63
"Price list and trading summary for Friday, November 17, 2006",277.00,305.00,275.00,283.00,"100,500",35.38
"Price list and trading summary for Monday, November 20, 2006",283.00,290.00,280.00,286.00,"118,600",35.75
"Price list and trading summary for Monday, October 09, 2006",272.00,285.00,260.00,275.00,"200,600",34.38
"Price list and trading summary for Tuesday, November 21, 2006",286.00,293.00,285.00,288.00,"291,300",36.00
"Price list and trading summary for Wednesday, November 22, 2006",288.00,288.00,270.00,282.00,"134,700",35.25
"Price list and trading summary for Thursday, November 23, 2006",282.00,285.00,260.00,283.00,"120,500",35.38
"Price list and trading summary for Friday, November 24, 2006",283.00,288.00,275.00,284.00,"87,100",35.50
"Price list and trading summary for Monday, November 27, 2006",284.00,290.00,280.00,281.00,"41,700",35.13
"Price list and trading summary for Tuesday, November 28, 2006",281.00,285.00,275.00,280.00,"97,000",35.00
"Price list and trading summary for Wednesday, November 29, 2006",280.00,285.00,271.00,277.00,"53,900",34.63
"Price list and trading summary for Friday, December 01, 2006",271.00,266.00,245.00,252.00,"223,500",31.50
"Price list and trading summary for Thursday, November 30, 2006",277.00,285.00,265.00,271.00,"40,000",33.88
"Price list and trading summary for Monday, December 04, 2006",252.00,255.00,247.00,249.00,"32,100",31.13
"Price list and trading summary for Tuesday, December 05, 2006",249.00,258.00,250.00,250.00,"38,600",31.25
"Price list and trading summary for Wednesday, December 06, 2006",250.00,260.00,240.00,257.00,"74,900",32.13
"Price list and trading summary for Thursday, December 07, 2006",257.00,260.00,255.00,259.00,"100,300",32.38
"Price list and trading summary for Friday, December 08, 2006",259.00,270.00,259.00,260.00,"84,500",32.50
"Price list and trading summary for Monday, December 11, 2006",260.00,284.00,270.00,279.00,"13,800",34.88
"Price list and trading summary for Wednesday, December 13, 2006",279.00,305.00,290.00,296.00,"231,700",37.00
"Price list and trading summary for Thursday, December 14, 2006",296.00,294.00,280.00,287.00,"283,800",35.88
"Price list and trading summary for Monday, December 18, 2006",282.00,290.00,280.00,285.00,"60,900",35.63
"Price list and trading summary for Tuesday, December 19, 2006",285.00,285.00,270.00,279.00,"74,100",34.88
"Price list and trading summary for Wednesday, December 20, 2006",279.00,280.00,270.00,274.00,"27,000",34.25
"Price list and trading summary for Thursday, December 21, 2006",274.00,280.00,260.00,265.00,"29,000",33.13
"Price list and trading summary for Friday, December 22, 2006",265.00,270.00,260.00,261.00,"58,000",32.63
"Price list and trading summary for Wednesday, October 11, 2006",275.00,278.00,250.00,271.00,"262,000",33.88
"Price list and trading summary for Monday, October 30, 2006",239.00,262.00,240.00,256.00,"174,200",32.00
"Price list and trading summary for Wednesday, December 27, 2006",261.00,285.00,259.00,269.00,"9,600",33.63
"Price list and trading summary for Monday, October 23, 2006",253.00,254.00,245.00,251.00,"387,400",31.38
"Price list and trading summary for Thursday, December 28, 2006",269.00,275.00,265.00,269.00,"112,200",33.63
"Price list and trading summary for Friday, December 29, 2006",269.00,275.00,270.00,271.00,"52,500",33.88
"Price list and trading summary for Tuesday, January 02, 2007",271.00,280.00,260.00,270.00,"101,000",33.75
"Price list and trading summary for Wednesday, January 03, 2007",270.00,280.00,270.00,275.00,"17,800",34.38
"Price list and trading summary for Thursday, January 04, 2007",275.00,285.00,266.00,279.00,"195,400",34.88
"Price list and trading summary for Friday, January 05, 2007",279.00,300.00,272.00,291.00,"136,300",36.38
"Price list and trading summary for Monday, January 08, 2007",291.00,320.00,298.00,302.00,"238,300",37.75
"Price list and trading summary for Tuesday, January 09, 2007",302.00,339.00,309.00,328.00,"278,400",41.00
"Price list and trading summary for Wednesday, January 10, 2007",328.00,355.00,320.00,341.00,"282,800",42.63
"Price list and trading summary for Thursday, January 11, 2007",341.00,360.00,310.00,328.00,"205,300",41.00
"Price list and trading summary for Friday, January 12, 2007",328.00,330.00,317.00,323.00,"113,200",40.38
"Price list and trading summary for Monday, January 15, 2007",323.00,332.00,310.00,325.00,"160,300",40.63
"Price list and trading summary for Tuesday, January 16, 2007",325.00,325.00,310.00,316.00,"38,300",39.50
"Price list and trading summary for Wednesday, January 17, 2007",316.00,312.00,285.00,302.00,"125,100",37.75
"Price list and trading summary for Thursday, January 18, 2007",302.00,310.00,284.00,300.00,"112,000",37.50
"Price list and trading summary for Thursday, October 19, 2006",252.00,255.00,250.00,253.00,"102,900",31.63
"Price list and trading summary for Monday, January 22, 2007",307.00,320.00,305.00,310.00,"27,300",38.75
"Price list and trading summary for Tuesday, January 23, 2007",310.00,310.00,300.00,308.00,"140,500",38.50
"Price list and trading summary for Wednesday, January 24, 2007",308.00,305.00,300.00,300.00,"54,600",37.50
"Price list and trading summary for Thursday, January 25, 2007",300.00,300.00,290.00,296.00,"85,000",37.00
"Price list and trading summary for Friday, January 26, 2007",296.00,300.00,275.00,287.00,"40,800",35.88
"Price list and trading summary for Monday, January 29, 2007",287.00,298.00,290.00,293.00,"44,900",36.63
"Price list and trading summary for Friday, December 15, 2006",287.00,290.00,280.00,282.00,"157,000",35.25
"Price list and trading summary for Friday, November 10, 2006",275.00,305.00,270.00,290.00,"407,600",36.25
"Price list and trading summary for Tuesday, January 30, 2007",293.00,290.00,270.00,278.00,"28,100",34.75
"Price list and trading summary for Monday, December 11, 2006",260.00,284.00,270.00,279.00,"13,800",34.88
"Price list and trading summary for Thursday, February 01, 2007",283.00,290.00,275.00,284.00,"98,300",35.50
"Price list and trading summary for Wednesday, January 31, 2007",278.00,295.00,275.00,283.00,"84,400",35.38
"Price list and trading summary for Friday, February 02, 2007",284.00,286.00,275.00,283.00,"137,900",35.38
"Price list and trading summary for Monday, February 05, 2007",283.00,286.00,275.00,283.00,"86,700",35.38
"Price list and trading summary for Friday, December 29, 2006",269.00,275.00,270.00,271.00,"52,500",33.88
"Price list and trading summary for Wednesday, February 07, 2007",282.00,280.00,270.00,276.00,"16,500",34.50
"Price list and trading summary for Friday, December 22, 2006",265.00,270.00,260.00,261.00,"58,000",32.63
"Price list and trading summary for Tuesday, February 06, 2007",283.00,285.00,276.00,282.00,"19,000",35.25
"Price list and trading summary for Friday, December 22, 2006",265.00,270.00,260.00,261.00,"58,000",32.63
"Price list and trading summary for Friday, February 09, 2007",274.00,290.00,275.00,280.00,"62,100",35.00
"Price list and trading summary for Tuesday, February 13, 2007",285.00,289.00,284.00,286.00,"47,300",35.75
"Price list and trading summary for Wednesday, February 14, 2007",286.00,290.00,275.00,284.00,"117,100",35.50
"Price list and trading summary for Monday, February 19, 2007",277.00,300.00,280.00,291.00,"104,200",36.38
"Price list and trading summary for Thursday, February 08, 2007",276.00,280.00,269.00,274.00,"56,200",34.25
"Price list and trading summary for Friday, February 16, 2007",273.00,290.00,270.00,277.00,"51,700",34.63
"Price list and trading summary for Thursday, February 22, 2007",285.00,289.00,270.00,285.00,"95,900",35.63
"Price list and trading summary for Wednesday, February 21, 2007",285.00,290.00,280.00,285.00,"31,600",35.63
"Price list and trading summary for Monday, February 26, 2007",276.00,280.00,258.00,275.00,"164,000",34.38
"Price list and trading summary for Friday, February 23, 2007",285.00,280.00,275.00,276.00,"169,600",34.50
"Price list and trading summary for Tuesday, February 27, 2007",275.00,260.00,238.00,241.00,"49,900",30.13
"Price list and trading summary for Wednesday, February 28, 2007",241.00,268.00,150.00,241.00,"159,500",30.13
"Price list and trading summary for Thursday, March 01, 2007",241.00,240.00,224.00,230.00,"16,600",28.75
"Price list and trading summary for Monday, March 05, 2007",217.00,230.00,212.00,220.00,"39,100",27.50
"Price list and trading summary for Friday, March 02, 2007",230.00,224.00,210.00,217.00,"9,900",27.13
"Price list and trading summary for Wednesday, March 07, 2007",215.00,220.00,200.00,210.00,"91,500",26.25
"Price list and trading summary for Tuesday, March 06, 2007",220.00,230.00,210.00,215.00,"246,000",26.88
"Price list and trading summary for Friday, March 09, 2007",214.00,217.00,210.00,213.00,"35,200",26.63
"Price list and trading summary for Monday, March 12, 2007",213.00,215.00,213.00,214.00,"15,600",26.75
"Price list and trading summary for Wednesday, March 14, 2007",211.00,213.00,190.00,202.00,"54,200",25.25
"Price list and trading summary for Tuesday, March 13, 2007",214.00,215.00,207.00,211.00,"376,200",26.38
"Price list and trading summary for Thursday, March 08, 2007",210.00,218.00,212.00,214.00,"64,800",26.75
"Price list and trading summary for Thursday, March 15, 2007",202.00,200.00,190.00,194.00,"400,300",24.25
"Price list and trading summary for Monday, March 19, 2007",196.00,200.00,195.00,196.00,"9,500",24.50
"Price list and trading summary for Wednesday, March 21, 2007",195.00,200.00,183.00,191.00,"164,900",23.88
"Price list and trading summary for Tuesday, March 20, 2007",196.00,197.00,190.00,195.00,"145,300",24.38
"Price list and trading summary for Thursday, March 22, 2007",191.00,190.00,179.00,182.00,"137,800",22.75
"Price list and trading summary for Friday, March 16, 2007",194.00,200.00,195.00,196.00,"37,000",24.50
"Price list and trading summary for Friday, March 23, 2007",182.00,185.00,162.00,166.00,"125,800",20.75
"Price list and trading summary for Tuesday, March 27, 2007",158.00,170.00,155.00,165.00,"56,200",20.63
"Price list and trading summary for Wednesday, March 28, 2007",165.00,185.00,172.00,184.00,"1,500",23.00
"Price list and trading summary for Friday, March 30, 2007",190.00,204.00,190.00,201.00,"61,900",25.13
"Price list and trading summary for Monday, April 02, 2007",201.00,200.00,197.00,198.00,"42,900",24.75
"Price list and trading summary for Wednesday, April 04, 2007",196.00,205.00,198.00,200.00,"13,300",25.00
"Price list and trading summary for Thursday, April 05, 2007",200.00,205.00,197.00,197.00,"315,100",24.63
"Price list and trading summary for Tuesday, February 20, 2007",291.00,300.00,280.00,285.00,"100,900",35.63
"Price list and trading summary for Monday, February 12, 2007",280.00,289.00,283.00,285.00,"58,600",35.63
"Price list and trading summary for Thursday, February 15, 2007",284.00,280.00,270.00,273.00,"82,200",34.13
"Price list and trading summary for Friday, January 19, 2007",300.00,310.00,305.00,307.00,"50,600",38.38
"Price list and trading summary for Thursday, April 12, 2007",200.00,206.00,204.00,205.00,"25,500",25.63
"Price list and trading summary for Tuesday, April 10, 2007",197.00,205.00,196.00,200.00,"4,900",25.00
"Price list and trading summary for Wednesday, April 11, 2007",200.00,205.00,200.00,200.00,"121,400",25.00
"Price list and trading summary for Friday, April 13, 2007",205.00,225.00,208.00,215.00,"43,700",26.88
"Price list and trading summary for Monday, April 16, 2007",215.00,220.00,210.00,213.00,"34,400",26.63
"Price list and trading summary for Wednesday, April 18, 2007",208.00,208.00,205.00,205.00,"73,800",25.63
"Price list and trading summary for Friday, April 20, 2007",205.00,208.00,204.00,206.00,"59,100",25.75
"Price list and trading summary for Thursday, April 19, 2007",205.00,208.00,205.00,205.00,"73,000",25.63
"Price list and trading summary for Monday, April 23, 2007",206.00,210.00,206.00,209.00,"33,600",26.13
"Price list and trading summary for Tuesday, April 24, 2007",209.00,225.00,210.00,222.00,"61,100",27.75
"Price list and trading summary for Wednesday, April 25, 2007",222.00,220.00,210.00,219.00,"34,200",27.38
"Price list and trading summary for Thursday, April 26, 2007",219.00,229.00,218.00,222.00,"39,800",27.75
"Price list and trading summary for Friday, April 27, 2007",222.00,240.00,210.00,214.00,"52,600",26.75
"Price list and trading summary for Monday, April 30, 2007",214.00,216.00,210.00,211.00,"76,900",26.38
"Price list and trading summary for Wednesday, May 02, 2007",211.00,212.00,210.00,210.00,"20,200",26.25
"Price list and trading summary for Thursday, May 03, 2007",210.00,212.00,210.00,211.00,"13,700",26.38
"Price list and trading summary for Friday, May 04, 2007",211.00,215.00,210.00,211.00,"24,300",26.38
"Price list and trading summary for Monday, May 07, 2007",211.00,212.00,205.00,209.00,"55,200",26.13
"Price list and trading summary for Tuesday, May 08, 2007",209.00,212.00,205.00,210.00,"70,500",26.25
"Price list and trading summary for Thursday, March 29, 2007",184.00,203.00,190.00,190.00,"734,900",23.75
"Price list and trading summary for Thursday, May 10, 2007",210.00,215.00,210.00,211.00,"41,400",26.38
"Price list and trading summary for Tuesday, April 03, 2007",198.00,205.00,190.00,196.00,"138,000",24.50
"Price list and trading summary for Thursday, April 05, 2007",200.00,205.00,197.00,197.00,"315,100",24.63
"Price list and trading summary for Monday, March 26, 2007",166.00,162.00,146.00,158.00,"50,100",19.75
"Price list and trading summary for Monday, May 14, 2007",219.00,220.00,215.00,215.00,"43,900",26.88
"Price list and trading summary for Tuesday, May 15, 2007",215.00,216.00,194.00,214.00,"25,600",26.75
"Price list and trading summary for Thursday, May 17, 2007",212.00,215.00,210.00,213.00,"200,600",26.63
"Price list and trading summary for Wednesday, May 16, 2007",214.00,215.00,210.00,212.00,"15,100",26.50
"Price list and trading summary for Friday, May 18, 2007",213.00,215.00,210.00,210.00,"83,300",26.25
"Price list and trading summary for Tuesday, May 22, 2007",214.00,213.00,210.00,210.00,"33,300",26.25
"Price list and trading summary for Monday, May 21, 2007",210.00,215.00,210.00,214.00,"95,100",26.75
"Price list and trading summary for Wednesday, May 23, 2007",210.00,213.00,205.00,210.00,"41,800",26.25
"Price list and trading summary for Thursday, May 24, 2007",210.00,212.00,208.00,208.00,"76,500",26.00
"Price list and trading summary for Monday, May 28, 2007",209.00,210.00,205.00,209.00,"34,300",26.13
"Price list and trading summary for Friday, May 25, 2007",208.00,210.00,205.00,209.00,"69,500",26.13
"Price list and trading summary for Tuesday, May 29, 2007",209.00,215.00,206.00,209.00,"208,600",26.13
"Price list and trading summary for Wednesday, May 30, 2007",209.00,210.00,205.00,206.00,"8,400",25.75
"Price list and trading summary for Thursday, May 31, 2007",206.00,210.00,208.00,209.00,"5,600",26.13
"Price list and trading summary for Thursday, April 05, 2007",200.00,205.00,197.00,197.00,"315,100",24.63
"Price list and trading summary for Monday, June 04, 2007",209.00,211.00,209.00,209.00,"14,100",26.13
"Price list and trading summary for Wednesday, June 06, 2007",210.00,213.00,208.00,209.00,"6,100",26.13
"Price list and trading summary for Thursday, June 07, 2007",209.00,210.00,209.00,209.00,"21,500",26.13
"Price list and trading summary for Monday, June 11, 2007",210.00,211.00,208.00,209.00,"23,100",26.13
"Price list and trading summary for Tuesday, June 12, 2007",209.00,210.00,208.00,209.00,"3,800",26.13
"Price list and trading summary for Wednesday, June 13, 2007",209.00,208.00,205.00,207.00,"85,500",25.88
"Price list and trading summary for Tuesday, April 17, 2007",213.00,216.00,205.00,208.00,"31,500",26.00
"Price list and trading summary for Thursday, June 14, 2007",207.00,207.00,206.00,206.00,"36,800",25.75
"Price list and trading summary for Wednesday, May 09, 2007",210.00,211.00,206.00,210.00,"2,700",26.25
"Price list and trading summary for Monday, April 30, 2007",214.00,216.00,210.00,211.00,"76,900",26.38
"Price list and trading summary for Wednesday, June 20, 2007",208.00,210.00,207.00,207.00,"43,200",25.88
"Price list and trading summary for Friday, May 11, 2007",211.00,222.00,212.00,219.00,"33,200",27.38
"Price list and trading summary for Friday, June 22, 2007",209.00,210.00,205.00,208.00,"14,100",26.00
"Price list and trading summary for Monday, June 25, 2007",208.00,210.00,205.00,207.00,"13,900",25.88
"Price list and trading summary for Thursday, May 31, 2007",206.00,210.00,208.00,209.00,"5,600",26.13
