"Price list and trading summary for Wednesday, April 02, 2014",12.95,13.15,13.00,13.10,"217,300",0
"Price list and trading summary for Monday, September 11, 2006",11.90,120.00,112.00,116.00,"101,500",0
"Price list and trading summary for Tuesday, September 12, 2006",116.00,120.00,112.00,118.00,"790,700",0
"Price list and trading summary for Wednesday, September 13, 2006",118.00,124.00,117.00,119.00,"445,300",0
"Price list and trading summary for Friday, September 22, 2006",139.00,133.00,126.00,129.00,"523,000",0
"Price list and trading summary for Tuesday, September 26, 2006",126.00,129.00,122.00,124.00,"593,100",0
"Price list and trading summary for Wednesday, September 27, 2006",124.00,134.00,123.00,131.00,"224,700",0
"Price list and trading summary for Tuesday, September 19, 2006",128.00,138.00,130.00,132.00,"704,900",0
"Price list and trading summary for Wednesday, September 20, 2006",132.00,147.00,138.00,144.00,1.17,0
"Price list and trading summary for Thursday, September 28, 2006",131.00,136.00,125.00,130.00,"302,800",0
"Price list and trading summary for Friday, September 15, 2006",123.00,127.00,120.00,124.00,"448,700",0
"Price list and trading summary for Thursday, September 14, 2006",119.00,127.00,119.00,123.00,"120,200",0
"Price list and trading summary for Monday, September 18, 2006",124.00,130.00,120.00,128.00,"494,600",0
"Price list and trading summary for Thursday, September 21, 2006",144.00,150.00,132.00,139.00,"884,600",0
"Price list and trading summary for Friday, September 29, 2006",130.00,135.00,125.00,131.00,"159,900",0
"Price list and trading summary for Tuesday, October 03, 2006",131.00,137.00,133.00,134.00,"508,000",0
"Price list and trading summary for Monday, October 02, 2006",131.00,134.00,130.00,131.00,"157,100",0
"Price list and trading summary for Thursday, October 05, 2006",134.00,137.00,130.00,135.00,"398,900",0
"Price list and trading summary for Monday, October 09, 2006",133.00,135.00,126.00,132.00,"59,200",0
"Price list and trading summary for Thursday, October 12, 2006",132.00,143.00,127.00,132.00,"653,100",0
"Price list and trading summary for Friday, October 13, 2006",132.00,132.00,125.00,130.00,"248,700",0
"Price list and trading summary for Wednesday, October 04, 2006",134.00,136.00,125.00,134.00,"233,200",0
"Price list and trading summary for Tuesday, October 17, 2006",126.00,130.00,124.00,127.00,"399,500",0
"Price list and trading summary for Wednesday, October 18, 2006",127.00,130.00,124.00,126.00,"138,000",0
"Price list and trading summary for Thursday, October 19, 2006",126.00,127.00,125.00,126.00,"121,100",0
"Price list and trading summary for Monday, October 23, 2006",126.00,132.00,125.00,128.00,"242,800",0
