"Price list and trading summary for Wednesday, April 02, 2014",117.00,112.00,112.00,112.00,"1,300",0
"Price list and trading summary for Monday, September 11, 2006",11.90,35.50,32.00,33.00,700,0
"Price list and trading summary for Tuesday, September 12, 2006",33.00,33.50,32.00,33.00,"8,400",0
"Price list and trading summary for Wednesday, September 13, 2006",33.00,35.00,35.00,35.00,800,0
"Price list and trading summary for Friday, September 22, 2006",38.50,40.00,38.00,38.00,"2,400",0
"Price list and trading summary for Tuesday, September 26, 2006",37.00,38.50,37.00,38.00,"6,300",0
"Price list and trading summary for Wednesday, September 27, 2006",38.00,39.00,38.00,38.75,"4,500",0
"Price list and trading summary for Tuesday, September 19, 2006",37.50,42.00,37.00,41.25,"42,100",0
"Price list and trading summary for Wednesday, September 20, 2006",41.25,42.00,37.00,39.75,"34,900",0
"Price list and trading summary for Friday, September 15, 2006",35.25,37.00,35.00,35.75,"16,800",0
"Price list and trading summary for Thursday, September 14, 2006",35.00,35.50,35.00,35.25,"13,800",0
"Price list and trading summary for Thursday, September 28, 2006",38.75,42.00,38.75,40.75,"8,500",0
"Price list and trading summary for Monday, September 18, 2006",35.75,39.00,37.00,37.50,"5,500",0
"Price list and trading summary for Thursday, September 21, 2006",39.75,42.00,38.00,38.50,"8,900",0
"Price list and trading summary for Thursday, October 05, 2006",39.75,41.00,40.00,40.00,"2,300",0
"Price list and trading summary for Thursday, October 12, 2006",40.00,40.00,40.00,40.00,100,0
"Price list and trading summary for Tuesday, October 03, 2006",40.25,41.00,38.00,38.25,"1,100",0
"Price list and trading summary for Friday, September 29, 2006",40.75,42.00,40.00,40.00,"4,100",0
"Price list and trading summary for Monday, October 02, 2006",40.00,42.00,40.00,40.25,"3,600",0
"Price list and trading summary for Friday, October 13, 2006",40.00,41.00,37.00,39.50,"2,300",0
"Price list and trading summary for Monday, October 09, 2006",40.00,40.00,40.00,40.00,"4,400",0
"Price list and trading summary for Tuesday, October 17, 2006",42.25,42.00,40.00,41.00,"8,900",0
"Price list and trading summary for Wednesday, October 04, 2006",38.25,40.00,38.00,39.75,"19,600",0
"Price list and trading summary for Wednesday, October 18, 2006",41.00,39.00,39.00,39.00,"2,000",0
"Price list and trading summary for Thursday, October 19, 2006",39.00,40.00,37.00,38.25,"1,100",0
"Price list and trading summary for Monday, October 23, 2006",38.25,40.00,40.00,40.00,"5,000",0
"Price list and trading summary for Monday, September 25, 2006",38.00,40.00,36.50,37.00,"2,300",0
"Price list and trading summary for Monday, October 16, 2006",39.50,43.00,39.00,42.25,"12,300",0
"Price list and trading summary for Wednesday, October 25, 2006",40.00,40.00,40.00,40.00,100,0
"Price list and trading summary for Thursday, October 26, 2006",40.00,40.00,40.00,40.00,"2,900",0
"Price list and trading summary for Friday, October 27, 2006",40.00,42.00,40.00,40.50,300,0
"Price list and trading summary for Tuesday, October 31, 2006",40.75,41.50,41.50,41.50,"9,400",0
"Price list and trading summary for Wednesday, November 01, 2006",41.50,43.00,42.00,42.25,"11,600",0
"Price list and trading summary for Thursday, November 02, 2006",42.25,46.00,41.00,43.25,"4,200",0
"Price list and trading summary for Friday, November 03, 2006",43.25,50.00,42.50,43.00,"706,000",0
"Price list and trading summary for Monday, November 06, 2006",43.00,46.00,43.00,45.00,"1,600",0
"Price list and trading summary for Tuesday, November 07, 2006",45.00,49.00,42.00,43.75,"34,300",0
"Price list and trading summary for Wednesday, November 08, 2006",43.75,43.00,42.50,42.75,"12,600",0
"Price list and trading summary for Thursday, November 09, 2006",42.75,44.00,42.50,42.50,"10,500",0
"Price list and trading summary for Monday, November 13, 2006",42.00,42.00,42.00,42.00,"3,500",0
"Price list and trading summary for Tuesday, November 14, 2006",42.00,45.00,41.00,42.50,"8,500",0
"Price list and trading summary for Wednesday, November 15, 2006",42.50,41.00,40.00,40.25,"4,100",0
"Price list and trading summary for Friday, October 06, 2006",40.00,40.00,40.00,40.00,"6,700",0
"Price list and trading summary for Thursday, November 16, 2006",40.25,42.00,40.00,40.75,"2,000",0
"Price list and trading summary for Friday, November 17, 2006",40.75,44.00,37.00,39.50,"4,900",0
"Price list and trading summary for Monday, October 09, 2006",40.00,40.00,40.00,40.00,"4,400",0
"Price list and trading summary for Tuesday, November 21, 2006",39.50,38.00,38.00,38.00,"8,200",0
"Price list and trading summary for Wednesday, November 22, 2006",38.00,41.00,38.00,40.00,"13,800",0
"Price list and trading summary for Thursday, November 23, 2006",40.00,39.00,39.00,39.00,"1,900",0
"Price list and trading summary for Friday, November 24, 2006",39.00,42.00,42.00,42.00,"1,000",0
