"Price list and trading summary for Wednesday, April 02, 2014",10.00,10.00,10.00,10.00,0,0
"Price list and trading summary for Tuesday, September 12, 2006",33.00,32.50,32.50,32.50,300,0
"Price list and trading summary for Friday, September 22, 2006",40.50,42.25,42.25,42.25,"2,000",0
"Price list and trading summary for Tuesday, September 26, 2006",44.75,45.00,42.00,43.00,"8,000",0
"Price list and trading summary for Wednesday, September 27, 2006",43.00,43.00,43.00,43.00,"1,200",0
"Price list and trading summary for Wednesday, September 20, 2006",36.00,37.00,37.00,37.00,200,0
"Price list and trading summary for Thursday, September 14, 2006",32.50,35.00,33.50,33.75,"4,000",0
"Price list and trading summary for Thursday, September 21, 2006",37.00,40.50,40.50,40.50,"1,000",0
"Price list and trading summary for Monday, September 18, 2006",35.75,36.00,36.00,36.00,"1,000",0
"Price list and trading summary for Friday, September 15, 2006",33.75,36.00,35.75,35.75,800,0
"Price list and trading summary for Tuesday, October 03, 2006",43.00,47.25,47.00,47.00,"4,100",0
"Price list and trading summary for Thursday, October 12, 2006",50.00,50.00,50.00,50.00,"1,300",0
"Price list and trading summary for Friday, October 13, 2006",50.00,47.00,47.00,47.00,"1,000",0
"Price list and trading summary for Wednesday, October 18, 2006",45.00,45.00,45.00,45.00,"1,100",0
"Price list and trading summary for Thursday, October 19, 2006",45.00,42.00,42.00,42.00,"1,000",0
"Price list and trading summary for Monday, September 25, 2006",42.25,45.00,43.00,44.75,"10,100",0
"Price list and trading summary for Monday, October 16, 2006",47.00,47.00,43.00,45.00,200,0
"Price list and trading summary for Friday, October 27, 2006",42.00,38.00,38.00,38.00,100,0
"Price list and trading summary for Friday, November 03, 2006",38.00,38.00,38.00,38.00,100,0
"Price list and trading summary for Monday, November 06, 2006",38.00,41.75,41.75,41.75,200,0
"Price list and trading summary for Wednesday, November 08, 2006",41.75,40.00,38.00,38.00,"8,000",0
"Price list and trading summary for Tuesday, November 14, 2006",38.00,38.00,38.00,38.00,500,0
"Price list and trading summary for Wednesday, November 15, 2006",38.00,40.00,40.00,40.00,100,0
"Price list and trading summary for Friday, October 06, 2006",47.00,50.00,47.00,48.50,"2,000",0
"Price list and trading summary for Monday, November 20, 2006",40.00,43.00,43.00,43.00,"33,700",0
"Price list and trading summary for Tuesday, November 21, 2006",43.00,43.00,43.00,43.00,"1,800",0
"Price list and trading summary for Friday, November 24, 2006",43.00,40.00,40.00,40.00,600,0
"Price list and trading summary for Wednesday, December 13, 2006",40.00,40.00,40.00,40.00,400,0
"Price list and trading summary for Monday, December 18, 2006",40.00,40.00,40.00,40.00,100,0
"Price list and trading summary for Wednesday, December 20, 2006",40.00,38.00,38.00,38.00,200,0
"Price list and trading summary for Wednesday, October 11, 2006",48.50,50.00,50.00,50.00,"6,500",0
"Price list and trading summary for Monday, October 30, 2006",38.00,38.00,38.00,38.00,500,0
"Price list and trading summary for Friday, January 05, 2007",38.00,38.00,37.00,37.75,"20,000",0
"Price list and trading summary for Monday, January 08, 2007",37.75,38.00,38.00,38.00,500,0
"Price list and trading summary for Tuesday, January 09, 2007",38.00,40.00,40.00,40.00,"1,000",0
"Price list and trading summary for Wednesday, January 10, 2007",40.00,38.00,38.00,38.00,"3,500",0
"Price list and trading summary for Thursday, January 11, 2007",38.00,41.00,38.00,39.25,"3,700",0
"Price list and trading summary for Friday, January 12, 2007",39.25,38.00,38.00,38.00,"10,000",0
"Price list and trading summary for Monday, January 15, 2007",38.00,38.00,37.00,37.75,"20,300",0
"Price list and trading summary for Tuesday, January 16, 2007",37.75,39.00,39.00,39.00,"1,200",0
"Price list and trading summary for Wednesday, January 17, 2007",39.00,38.00,38.00,38.00,200,0
"Price list and trading summary for Thursday, January 18, 2007",38.00,38.00,38.00,38.00,"1,000",0
"Price list and trading summary for Thursday, October 19, 2006",45.00,42.00,42.00,42.00,"1,000",0
"Price list and trading summary for Monday, January 22, 2007",38.00,37.00,37.00,37.00,"19,600",0
"Price list and trading summary for Monday, January 29, 2007",37.00,37.00,37.00,37.00,"10,300",0
"Price list and trading summary for Friday, February 02, 2007",37.00,37.00,37.00,37.00,800,0
"Price list and trading summary for Tuesday, February 06, 2007",37.00,37.00,37.00,37.00,"40,000",0
"Price list and trading summary for Friday, February 09, 2007",34.00,32.00,32.00,32.00,500,0
"Price list and trading summary for Tuesday, February 13, 2007",35.00,32.00,32.00,32.00,"1,000",0
"Price list and trading summary for Wednesday, February 14, 2007",32.00,32.00,32.00,32.00,500,0
"Price list and trading summary for Friday, February 16, 2007",29.00,29.00,29.00,29.00,"1,100",0
"Price list and trading summary for Thursday, February 08, 2007",37.00,34.00,34.00,34.00,200,0
"Price list and trading summary for Thursday, March 01, 2007",29.00,27.00,27.00,27.00,200,0
"Price list and trading summary for Monday, March 05, 2007",27.00,27.00,27.00,27.00,400,0
"Price list and trading summary for Tuesday, March 06, 2007",27.00,25.00,25.00,25.00,500,0
"Price list and trading summary for Monday, March 12, 2007",25.00,25.00,25.00,25.00,"1,000",0
"Price list and trading summary for Tuesday, March 13, 2007",25.00,25.00,25.00,25.00,400,0
"Price list and trading summary for Monday, March 19, 2007",24.00,25.00,24.00,24.50,800,0
"Price list and trading summary for Friday, March 16, 2007",25.00,25.00,23.75,24.00,800,0
"Price list and trading summary for Monday, February 12, 2007",32.00,35.00,35.00,35.00,100,0
"Price list and trading summary for Thursday, February 15, 2007",32.00,29.00,29.00,29.00,500,0
"Price list and trading summary for Monday, April 16, 2007",24.50,25.00,24.00,24.25,"9,600",0
"Price list and trading summary for Wednesday, May 02, 2007",24.25,25.00,24.00,24.75,"15,100",0
"Price list and trading summary for Monday, May 07, 2007",24.75,25.00,25.00,25.00,100,0
"Price list and trading summary for Tuesday, May 08, 2007",25.00,25.00,25.00,25.00,"4,000",0
"Price list and trading summary for Thursday, May 10, 2007",25.00,25.00,25.00,25.00,"3,000",0
"Price list and trading summary for Thursday, May 17, 2007",25.00,25.50,25.50,25.50,"1,000",0
"Price list and trading summary for Tuesday, May 29, 2007",25.50,28.00,28.00,28.00,200,0
"Price list and trading summary for Wednesday, May 30, 2007",28.00,30.75,30.00,30.00,"9,300",0
"Price list and trading summary for Monday, June 04, 2007",30.00,33.00,33.00,33.00,500,0
"Price list and trading summary for Wednesday, June 06, 2007",36.00,39.50,39.50,39.50,"1,200",0
"Price list and trading summary for Thursday, June 07, 2007",39.50,43.25,39.50,41.75,"3,100",0
"Price list and trading summary for Monday, June 11, 2007",42.25,45.00,42.00,43.00,"5,300",0
"Price list and trading summary for Wednesday, June 13, 2007",43.00,42.00,42.00,42.00,500,0
"Price list and trading summary for Wednesday, May 09, 2007",25.00,25.00,25.00,25.00,"8,000",0
"Price list and trading summary for Thursday, June 14, 2007",42.00,42.00,42.00,42.00,"1,000",0
"Price list and trading summary for Friday, May 11, 2007",25.00,25.00,25.00,25.00,900,0
"Price list and trading summary for Friday, June 22, 2007",38.00,38.00,38.00,38.00,400,0
"Price list and trading summary for Monday, June 25, 2007",38.00,38.00,38.00,38.00,500,0
"Price list and trading summary for Friday, June 15, 2007",42.00,42.00,42.00,42.00,500,0
"Price list and trading summary for Wednesday, July 04, 2007",38.00,32.00,32.00,32.00,100,0
"Price list and trading summary for Thursday, July 05, 2007",32.00,35.00,35.00,35.00,"4,000",0
"Price list and trading summary for Tuesday, June 19, 2007",42.00,42.00,40.00,40.25,700,0
"Price list and trading summary for Thursday, June 21, 2007",40.25,38.00,38.00,38.00,100,0
"Price list and trading summary for Monday, June 18, 2007",42.00,42.00,42.00,42.00,100,0
"Price list and trading summary for Friday, June 08, 2007",41.75,46.00,42.00,42.25,"5,500",0
"Price list and trading summary for Tuesday, June 05, 2007",33.00,36.00,36.00,36.00,500,0
"Price list and trading summary for Friday, July 13, 2007",35.00,35.00,34.00,34.75,"1,700",0
"Price list and trading summary for Friday, July 06, 2007",35.00,35.50,35.50,35.50,300,0
"Price list and trading summary for Wednesday, July 11, 2007",36.00,36.00,35.00,35.75,"2,200",0
"Price list and trading summary for Monday, July 09, 2007",35.50,37.00,35.50,36.50,"2,500",0
"Price list and trading summary for Wednesday, July 18, 2007",34.75,34.75,34.75,34.75,100,0
"Price list and trading summary for Tuesday, July 17, 2007",35.00,34.75,34.75,34.75,500,0
"Price list and trading summary for Monday, July 16, 2007",34.75,35.00,35.00,35.00,900,0
"Price list and trading summary for Tuesday, July 10, 2007",36.50,36.00,36.00,36.00,500,0
"Price list and trading summary for Wednesday, August 01, 2007",35.00,35.00,35.00,35.00,600,0
"Price list and trading summary for Thursday, July 12, 2007",35.75,35.50,35.00,35.00,"1,500",0
"Price list and trading summary for Friday, August 03, 2007",38.00,36.00,35.00,35.50,"1,500",0
"Price list and trading summary for Friday, July 20, 2007",34.75,35.00,35.00,35.00,100,0
"Price list and trading summary for Friday, July 27, 2007",35.00,35.00,35.00,35.00,100,0
"Price list and trading summary for Thursday, August 02, 2007",35.00,38.00,38.00,38.00,"10,000",0
"Price list and trading summary for Friday, August 10, 2007",35.50,36.00,36.00,36.00,200,0
"Price list and trading summary for Tuesday, August 07, 2007",35.00,35.50,35.50,35.50,"3,200",0
"Price list and trading summary for Monday, August 06, 2007",35.50,35.00,35.00,35.00,500,0
"Price list and trading summary for Thursday, August 09, 2007",35.50,35.50,35.50,35.50,600,0
"Price list and trading summary for Thursday, August 16, 2007",36.00,36.00,36.00,36.00,100,0
"Price list and trading summary for Thursday, August 23, 2007",35.00,35.00,35.00,35.00,100,0
"Price list and trading summary for Tuesday, August 21, 2007",36.00,35.00,35.00,35.00,100,0
"Price list and trading summary for Tuesday, September 04, 2007",35.00,35.00,35.00,35.00,"5,000",0
"Price list and trading summary for Monday, September 03, 2007",35.00,35.00,35.00,35.00,"1,000",0
"Price list and trading summary for Wednesday, September 05, 2007",35.00,35.00,35.00,35.00,"5,000",0
"Price list and trading summary for Friday, August 31, 2007",35.00,35.00,35.00,35.00,900,0
"Price list and trading summary for Monday, September 10, 2007",35.00,35.00,35.00,35.00,"1,400",0
"Price list and trading summary for Tuesday, September 18, 2007",35.00,35.00,35.00,35.00,"1,000",0
"Price list and trading summary for Thursday, September 06, 2007",35.00,35.00,35.00,35.00,"5,000",0
"Price list and trading summary for Monday, September 24, 2007",35.00,35.00,35.00,35.00,"1,000",0
"Price list and trading summary for Tuesday, September 25, 2007",35.00,35.00,34.00,34.75,"24,100",0
"Price list and trading summary for Friday, September 07, 2007",35.00,35.00,35.00,35.00,"1,000",0
"Price list and trading summary for Monday, October 01, 2007",35.00,35.00,35.00,35.00,"6,000",0
"Price list and trading summary for Monday, September 17, 2007",35.00,35.00,35.00,35.00,200,0
"Price list and trading summary for Thursday, October 04, 2007",35.00,35.00,35.00,35.00,"9,500",0
"Price list and trading summary for Wednesday, September 12, 2007",35.00,35.00,35.00,35.00,400,0
"Price list and trading summary for Wednesday, September 19, 2007",35.00,35.00,35.00,35.00,"1,000",0
"Price list and trading summary for Wednesday, September 26, 2007",34.75,35.00,35.00,35.00,"10,500",0
