"Price list and trading summary for Wednesday, April 02, 2014",3.40,3.45,3.20,3.30,"800,300",0
"Price list and trading summary for Monday, September 11, 2006",11.90,60.00,55.50,59.00,"143,900",19.67
"Price list and trading summary for Tuesday, September 12, 2006",59.00,60.00,56.50,58.50,"665,600",19.50
"Price list and trading summary for Wednesday, September 13, 2006",58.50,57.00,53.00,55.50,"423,500",18.50
"Price list and trading summary for Friday, September 22, 2006",55.00,55.00,52.00,54.00,"763,800",18.00
"Price list and trading summary for Tuesday, September 26, 2006",54.00,59.00,50.00,52.00,"721,300",17.33
"Price list and trading summary for Wednesday, September 27, 2006",52.00,53.00,50.00,50.50,2.25,16.83
"Price list and trading summary for Wednesday, September 20, 2006",55.00,60.00,54.00,55.00,"880,800",18.33
"Price list and trading summary for Tuesday, September 19, 2006",56.00,57.00,54.00,55.00,1.61,18.33
"Price list and trading summary for Thursday, September 28, 2006",50.50,54.00,51.00,51.00,1.59,17.00
"Price list and trading summary for Thursday, September 14, 2006",55.50,58.00,51.00,55.50,1.29,18.50
"Price list and trading summary for Monday, September 18, 2006",57.00,57.00,55.00,56.00,"416,500",18.67
"Price list and trading summary for Friday, September 15, 2006",55.50,59.00,54.00,57.00,"521,600",19.00
"Price list and trading summary for Thursday, September 21, 2006",55.00,57.00,54.00,55.00,"852,900",18.33
"Price list and trading summary for Friday, September 29, 2006",51.00,56.50,52.50,54.50,"562,600",18.17
"Price list and trading summary for Tuesday, October 03, 2006",55.00,56.00,52.00,55.00,"211,600",18.33
"Price list and trading summary for Monday, October 02, 2006",54.50,56.00,53.00,55.00,"441,000",18.33
"Price list and trading summary for Thursday, October 05, 2006",54.00,54.00,52.00,53.00,"316,200",17.67
"Price list and trading summary for Monday, October 09, 2006",52.50,53.50,50.00,52.50,"918,400",17.50
"Price list and trading summary for Thursday, October 12, 2006",53.00,54.50,52.00,53.50,"469,100",17.83
"Price list and trading summary for Friday, October 13, 2006",53.50,55.00,52.50,54.00,"785,100",18.00
"Price list and trading summary for Wednesday, October 04, 2006",55.00,56.00,51.50,54.00,"610,000",18.00
"Price list and trading summary for Tuesday, October 17, 2006",52.50,56.00,53.00,54.00,"643,800",18.00
"Price list and trading summary for Wednesday, October 18, 2006",54.00,56.00,53.00,54.00,"553,700",18.00
"Price list and trading summary for Thursday, October 19, 2006",54.00,56.50,53.00,54.50,"468,300",18.17
"Price list and trading summary for Monday, October 23, 2006",54.50,56.50,54.00,55.00,"402,000",18.33
"Price list and trading summary for Monday, September 25, 2006",54.00,55.00,52.00,54.00,1.95,18.00
"Price list and trading summary for Wednesday, October 25, 2006",55.00,56.50,53.50,55.00,"397,600",18.33
"Price list and trading summary for Monday, October 16, 2006",54.00,54.00,51.00,52.50,"706,000",17.50
"Price list and trading summary for Thursday, October 26, 2006",55.00,56.00,51.00,54.50,"361,200",18.17
"Price list and trading summary for Friday, October 27, 2006",54.50,59.00,51.50,55.00,"385,400",18.33
"Price list and trading summary for Tuesday, October 31, 2006",54.00,55.00,52.00,53.50,"520,000",17.83
"Price list and trading summary for Wednesday, November 01, 2006",53.50,53.50,50.00,53.00,"958,800",17.67
"Price list and trading summary for Thursday, November 02, 2006",53.00,54.00,51.00,52.50,"509,800",17.50
"Price list and trading summary for Friday, November 03, 2006",52.50,53.00,50.00,51.50,"935,800",17.17
"Price list and trading summary for Monday, November 06, 2006",51.50,52.50,50.00,51.00,"579,500",17.00
"Price list and trading summary for Tuesday, November 07, 2006",51.00,56.00,50.00,51.00,"265,500",17.00
"Price list and trading summary for Wednesday, November 08, 2006",51.00,52.00,50.00,50.50,"513,100",16.83
"Price list and trading summary for Thursday, November 09, 2006",50.50,51.00,48.25,50.00,"479,100",16.67
"Price list and trading summary for Monday, November 13, 2006",49.75,50.50,48.25,49.25,"802,600",16.42
"Price list and trading summary for Tuesday, November 14, 2006",49.25,52.00,48.00,49.25,3.36,16.42
"Price list and trading summary for Wednesday, November 15, 2006",49.25,52.00,49.25,50.00,1.29,16.67
"Price list and trading summary for Friday, October 06, 2006",53.00,53.00,50.00,52.50,1.08,17.50
"Price list and trading summary for Thursday, November 16, 2006",50.00,55.00,50.00,50.50,2.43,16.83
"Price list and trading summary for Friday, November 17, 2006",50.50,53.50,50.00,51.00,"351,300",17.00
"Price list and trading summary for Monday, November 20, 2006",51.00,54.50,50.00,50.00,1.96,16.67
