Date,Open,High,Low,Close,volume,Adj Close
2015-09-30,146.86,146.92,146.92,146.92,22.48,0.00
2015-09-29,148.10,146.86,146.86,146.86,26.55,0.00
2015-09-28,148.30,148.10,148.10,148.10,20.08,0.00
2015-09-25,148.30,148.30,148.30,148.30,0.00,0.00
2015-09-24,147.29,148.30,148.30,148.30,11.81,0.00
2015-09-23,147.29,147.29,147.29,147.29,14.74,0.00
2015-09-22,147.19,147.29,147.29,147.29,16.13,0.00
2015-09-21,147.19,147.19,147.19,147.19,0.00,0.00
2015-09-18,148.28,147.19,147.19,147.19,15.15,0.00
2015-09-17,148.68,148.28,148.28,148.28,16.94,0.00
2015-09-16,149.14,148.68,148.68,148.68,19.59,0.00
2015-09-15,147.58,149.14,149.14,149.14,24.99,0.00
2015-09-14,146.19,147.58,147.58,147.58,13.51,0.00
2015-09-10,145.64,146.19,146.19,146.19,20.38,0.00
2015-09-09,145.64,145.64,145.64,145.64,66.99,0.00
2015-09-08,145.11,145.64,145.64,145.64,0.00,0.00
2015-09-07,144.04,145.11,145.11,145.11,19.13,0.00
2015-09-04,144.95,144.04,144.04,144.04,17.51,0.00
2015-09-03,143.12,144.95,144.95,144.95,12.36,0.00
2015-09-02,142.80,143.12,143.12,143.12,19.26,0.00
2015-09-01,142.80,142.80,142.80,142.80,10.14,0.00
2015-08-31,162.75,142.80,142.80,142.80,12.91,0.00
2015-08-28,137.51,162.75,162.75,162.75,53.08,0.00
2015-08-27,139.43,137.51,137.51,137.51,29.88,0.00
2015-08-26,142.80,139.43,139.43,139.43,17.94,0.00
2015-08-25,146.40,142.80,142.80,142.80,15.70,0.00
2015-08-24,149.66,146.40,146.40,146.40,14.51,0.00
2015-08-21,151.01,149.66,149.66,149.66,57.31,0.00
2015-08-20,151.01,151.01,151.01,151.01,97.13,0.00
2015-08-19,151.63,151.01,151.01,151.01,22.36,0.00
2015-08-18,152.04,151.63,151.63,151.63,15.89,0.00
2015-08-17,152.09,152.04,152.04,152.04,19.72,0.00
2015-08-14,153.38,152.09,152.09,152.09,29.56,0.00
2015-08-13,154.61,153.38,153.38,153.38,22.35,0.00
2015-08-12,154.91,154.61,154.61,154.61,12.84,0.00
2015-08-11,153.74,154.91,154.91,154.91,28.91,0.00
2015-08-10,150.45,153.74,153.74,153.74,19.15,0.00
2015-08-07,145.82,150.45,150.45,150.45,17.33,0.00
2015-08-06,145.82,145.82,145.82,145.82,0.00,0.00
2015-08-05,146.25,145.82,145.82,145.82,63.97,0.00
2015-08-04,147.04,146.25,146.25,146.25,105.69,0.00
2015-08-03,148.39,147.04,147.04,147.04,28.11,0.00
2015-07-31,156.31,148.39,148.39,148.39,39.53,0.00
2015-07-30,152.22,156.31,156.31,156.31,11.05,0.00
2015-07-29,153.10,152.22,152.22,152.22,35.36,0.00
2015-07-28,153.02,153.10,153.10,153.10,33.64,0.00
2015-07-27,153.18,153.02,153.02,153.02,0.00,0.00
2015-07-24,154.25,153.18,153.18,153.18,21.14,0.00
2015-07-23,155.74,154.25,154.25,154.25,20.82,0.00
2015-07-22,156.31,155.74,155.74,155.74,13.39,0.00
2015-07-21,156.32,156.31,156.31,156.31,41.54,0.00
2015-07-20,155.96,156.32,156.32,156.32,26.97,0.00
2015-07-17,156.59,155.96,155.96,155.96,20.92,0.00
2015-07-16,158.45,156.59,156.59,156.59,27.13,0.00
2015-07-15,158.39,158.45,158.45,158.45,83.07,0.00
2015-07-14,159.44,158.39,158.39,158.39,30.53,0.00
2015-07-13,159.44,159.44,159.44,159.44,23.51,0.00
2015-07-09,160.24,159.59,159.59,159.59,73.59,0.00
2015-07-08,161.61,160.24,160.24,160.24,60.49,0.00
2015-07-07,161.43,161.61,161.61,161.61,20.68,0.00
2015-07-06,161.50,161.43,161.43,161.43,35.16,0.00
2015-07-03,162.35,161.50,161.50,161.50,7.41,0.00
2015-07-02,163.21,162.35,162.35,162.35,13.38,0.00
2015-07-01,164.41,163.21,163.21,163.21,30.28,0.00
2015-06-30,163.08,164.41,164.41,164.41,180.76,0.00
2015-06-29,162.51,163.08,163.08,163.08,18.82,0.00
2015-06-26,162.68,162.51,162.51,162.51,18.12,0.00
2015-06-25,162.27,162.68,162.68,162.68,50.13,0.00
2015-06-24,162.27,162.27,162.27,162.27,45.36,0.00
2015-06-23,163.34,162.27,162.27,162.27,27.41,0.00
2015-06-22,162.40,163.34,163.34,163.34,18.62,0.00
2015-06-19,163.02,162.40,162.40,162.40,23.78,0.00
2015-06-18,163.02,163.02,163.02,163.02,54.56,0.00
2015-06-17,162.88,163.02,163.02,163.02,7.80,0.00
2015-06-16,162.75,162.88,162.88,162.88,18.88,0.00
2015-06-15,162.89,162.75,162.75,162.75,11.56,0.00
2015-06-12,162.70,162.89,162.89,162.89,17.91,0.00
2015-06-11,162.65,162.70,162.70,162.70,26.12,0.00
2015-06-10,162.36,162.65,162.65,162.65,19.97,0.00
2015-06-09,162.53,162.36,162.36,162.36,27.72,0.00
2015-06-08,163.78,162.53,162.53,162.53,27.49,0.00
2015-06-05,164.22,163.78,163.78,163.78,12.00,0.00
2015-06-04,164.23,164.22,164.22,164.22,20.41,0.00
2015-06-03,164.25,164.23,164.23,164.23,34.35,0.00
2015-06-02,162.13,164.25,164.25,164.25,18.86,0.00
2015-05-29,161.31,162.13,162.13,162.13,58.26,0.00
2015-05-28,161.31,161.31,161.31,161.31,24.25,0.00
2015-05-27,162.80,161.31,161.31,161.31,76.03,0.00
2015-05-26,164.14,162.80,162.80,162.80,25.20,0.00
2015-05-25,164.92,164.14,164.14,164.14,19.51,0.00
2015-05-22,166.48,164.92,164.92,164.92,19.51,0.00
2015-05-21,167.38,166.48,166.48,166.48,19.13,0.00
2015-05-20,167.83,167.38,167.38,167.38,37.98,0.00
2015-05-19,167.48,167.83,167.83,167.83,19.46,0.00
2015-05-18,167.73,167.48,167.48,167.48,16.93,0.00
2015-05-15,167.82,167.73,167.73,167.73,37.97,0.00
2015-05-14,167.27,167.82,167.82,167.82,35.68,0.00
2015-05-13,170.65,167.27,167.27,167.27,39.74,0.00
2015-05-12,170.65,170.65,170.65,170.65,40.78,0.00
2015-05-11,171.47,170.65,170.65,170.65,25.99,0.00
2015-05-08,171.52,171.47,171.47,171.47,48.90,0.00
2015-05-07,173.49,171.52,171.52,171.52,38.33,0.00
2015-05-06,173.94,173.49,173.49,173.49,25.73,0.00
2015-05-05,173.14,173.94,173.94,173.94,20.41,0.00
2015-05-04,172.35,173.14,173.14,173.14,53.91,0.00
2015-04-30,172.35,172.35,172.35,172.35,16.63,0.00
2015-04-29,171.70,172.35,172.35,172.35,34.96,0.00
2015-04-28,171.59,171.70,171.70,171.70,12.33,0.00
2015-04-27,172.55,171.59,171.59,171.59,11.00,0.00
2015-04-24,171.58,172.55,172.55,172.55,28.25,0.00
2015-04-23,171.79,171.58,171.58,171.58,24.65,0.00
2015-04-22,172.96,171.79,171.79,171.79,16.62,0.00
2015-04-21,173.68,172.96,172.96,172.96,18.54,0.00
2015-04-20,173.20,173.68,173.68,173.68,11.90,0.00
2015-04-17,171.57,173.20,173.20,173.20,23.09,0.00
2015-04-16,170.78,171.57,171.57,171.57,15.66,0.00
2015-04-15,170.78,170.78,170.78,170.78,11.43,0.00
2015-04-14,170.31,170.78,170.78,170.78,17.03,0.00
2015-04-13,169.61,170.31,170.31,170.31,13.44,0.00
2015-04-10,170.46,169.61,169.61,169.61,37.99,0.00
2015-04-09,170.80,170.46,170.46,170.46,32.05,0.00
2015-04-08,171.15,170.80,170.80,170.80,37.40,0.00
2015-04-07,173.39,171.15,171.15,171.15,36.34,0.00
2015-04-02,175.22,173.39,173.39,173.39,35.56,0.00
2015-04-01,175.11,175.22,175.22,175.22,52.88,0.00
2015-03-31,174.83,175.11,175.11,175.11,25.16,0.00
2015-03-30,174.16,174.83,174.83,174.83,17.19,0.00
2015-03-27,173.73,174.16,174.16,174.16,23.56,0.00
2015-03-26,173.05,173.73,173.73,173.73,42.82,0.00
2015-03-25,172.57,173.05,173.05,173.05,25.65,0.00
2015-03-24,172.02,172.57,172.57,172.57,24.99,0.00
2015-03-23,172.47,172.02,172.02,172.02,17.05,0.00
2015-03-20,173.50,172.47,172.47,172.47,18.10,0.00
2015-03-19,172.63,173.50,173.50,173.50,32.10,0.00
2015-03-18,171.99,172.63,172.63,172.63,22.00,0.00
2015-03-17,171.66,171.99,171.99,171.99,26.82,0.00
2015-03-16,172.01,171.66,171.66,171.66,21.69,0.00
2015-03-13,172.42,172.01,172.01,172.01,22.79,0.00
2015-03-12,172.71,172.42,172.42,172.42,27.32,0.00
2015-03-11,172.52,172.71,172.71,172.71,19.35,0.00
2015-03-10,171.67,172.52,172.52,172.52,36.82,0.00
2015-03-09,172.51,171.67,171.67,171.67,17.30,0.00
2015-03-06,172.28,172.51,172.51,172.51,36.47,0.00
2015-03-05,172.80,172.28,172.28,172.28,28.29,0.00
2015-03-04,173.07,172.80,172.80,172.80,45.39,0.00
2015-03-03,174.70,173.07,173.07,173.07,57.35,0.00
2015-03-02,175.70,174.70,174.70,174.70,25.92,0.00
2015-02-27,177.51,175.70,175.70,175.70,45.50,0.00
2015-02-26,177.51,177.51,177.51,177.51,40.90,0.00
2015-02-25,176.82,177.51,177.51,177.51,55.82,0.00
2015-02-24,175.81,176.82,176.82,176.82,19.53,0.00
2015-02-23,176.00,175.81,175.81,175.81,28.11,0.00
2015-02-20,175.65,176.00,176.00,176.00,23.44,0.00
2015-02-19,174.17,175.65,175.65,175.65,22.05,0.00
2015-02-18,172.90,174.17,174.17,174.17,31.04,0.00
2015-02-17,172.45,172.90,172.90,172.90,18.38,0.00
2015-02-16,171.94,172.45,172.45,172.45,10.95,0.00
2015-02-13,171.67,171.94,171.94,171.94,41.98,0.00
2015-02-12,170.09,171.67,171.67,171.67,22.85,0.00
2015-02-11,169.32,170.09,170.09,170.09,30.34,0.00
2015-02-10,169.03,169.32,169.32,169.32,33.26,0.00
2015-02-09,168.19,169.03,169.03,169.03,26.32,0.00
2015-02-06,168.37,168.19,168.19,168.19,27.79,0.00
2015-02-05,167.94,168.37,168.37,168.37,37.33,0.00
2015-02-04,166.85,167.94,167.94,167.94,21.35,0.00
2015-02-03,166.25,166.85,166.85,166.85,29.89,0.00
2015-02-02,165.80,166.25,166.25,166.25,26.32,0.00
2015-01-30,165.23,165.80,165.80,165.80,35.02,0.00
2015-01-29,165.88,165.23,165.23,165.23,21.41,0.00
