"Price list and trading summary for Wednesday, April 02, 2014",28.25,28.50,26.00,27.25,"32,200",0
"Price list and trading summary for Monday, September 11, 2006",11.90,54.00,48.00,51.50,"132,000",36.79
"Price list and trading summary for Tuesday, September 12, 2006",51.50,55.00,50.00,53.00,"148,200",37.86
"Price list and trading summary for Wednesday, September 13, 2006",53.00,58.00,52.00,55.00,"161,500",39.29
"Price list and trading summary for Friday, September 22, 2006",63.50,60.00,55.00,57.00,"314,100",40.71
"Price list and trading summary for Tuesday, September 26, 2006",56.50,63.00,57.00,60.50,"175,200",43.21
"Price list and trading summary for Wednesday, September 27, 2006",60.50,67.50,63.00,65.00,"380,700",46.43
"Price list and trading summary for Tuesday, September 19, 2006",69.00,76.00,70.00,74.00,"430,300",52.86
"Price list and trading summary for Wednesday, September 20, 2006",74.00,76.00,67.50,72.00,"391,800",51.43
"Price list and trading summary for Thursday, September 28, 2006",65.00,70.00,60.00,68.00,"302,300",48.57
"Price list and trading summary for Thursday, September 14, 2006",55.00,61.00,52.00,59.00,"256,400",42.14
"Price list and trading summary for Monday, September 18, 2006",64.00,73.00,65.00,69.00,"290,700",49.29
"Price list and trading summary for Friday, September 15, 2006",59.00,66.50,61.00,64.00,"199,400",45.71
"Price list and trading summary for Thursday, September 21, 2006",72.00,73.50,61.00,63.50,"286,200",45.36
"Price list and trading summary for Tuesday, October 03, 2006",66.00,71.50,63.00,65.50,"106,500",46.79
"Price list and trading summary for Friday, September 29, 2006",68.00,70.00,65.00,68.50,"205,500",48.93
"Price list and trading summary for Monday, October 02, 2006",68.50,68.00,61.00,66.00,"137,400",47.14
"Price list and trading summary for Thursday, October 05, 2006",63.00,69.50,59.00,64.50,"179,700",46.07
"Price list and trading summary for Monday, October 09, 2006",62.00,69.50,60.00,64.00,"204,200",45.71
"Price list and trading summary for Thursday, October 12, 2006",62.50,62.00,57.00,60.00,"124,800",42.86
"Price list and trading summary for Friday, October 13, 2006",60.00,62.50,55.00,60.00,"116,400",42.86
"Price list and trading summary for Wednesday, October 04, 2006",65.50,66.00,57.50,63.00,"200,900",45.00
"Price list and trading summary for Tuesday, October 17, 2006",59.50,61.00,56.00,58.50,"95,100",41.79
"Price list and trading summary for Wednesday, October 18, 2006",58.50,64.00,56.50,59.00,"108,300",42.14
"Price list and trading summary for Thursday, October 19, 2006",59.00,63.50,56.50,58.50,"144,100",41.79
"Price list and trading summary for Monday, October 23, 2006",58.50,61.00,56.00,59.00,"60,200",42.14
"Price list and trading summary for Monday, September 25, 2006",57.00,60.00,55.00,56.50,"125,400",40.36
"Price list and trading summary for Wednesday, October 25, 2006",59.00,62.00,58.00,59.50,"47,500",42.50
"Price list and trading summary for Monday, October 16, 2006",60.00,63.00,56.00,59.50,"88,400",42.50
"Price list and trading summary for Thursday, October 26, 2006",59.50,64.00,56.00,59.00,"148,200",42.14
"Price list and trading summary for Friday, October 27, 2006",59.00,66.00,57.00,59.50,"88,900",42.50
"Price list and trading summary for Tuesday, October 31, 2006",60.50,62.00,58.50,61.00,"96,200",43.57
"Price list and trading summary for Wednesday, November 01, 2006",61.00,65.00,58.00,61.00,"113,100",43.57
"Price list and trading summary for Thursday, November 02, 2006",61.00,63.00,58.00,62.00,"173,900",44.29
"Price list and trading summary for Friday, November 03, 2006",62.00,65.00,60.00,62.00,"99,100",44.29
"Price list and trading summary for Monday, November 06, 2006",62.00,68.00,62.00,64.50,"311,900",46.07
"Price list and trading summary for Tuesday, November 07, 2006",64.50,74.00,65.00,70.00,"254,200",50.00
"Price list and trading summary for Wednesday, November 08, 2006",70.00,71.00,64.00,69.00,"191,700",49.29
"Price list and trading summary for Thursday, November 09, 2006",69.00,66.50,60.00,63.50,"146,400",45.36
"Price list and trading summary for Monday, November 13, 2006",59.50,60.00,56.00,58.00,"64,100",41.43
"Price list and trading summary for Tuesday, November 14, 2006",58.00,60.00,54.00,56.00,"102,000",40.00
"Price list and trading summary for Wednesday, November 15, 2006",56.00,60.50,53.00,58.50,"125,600",41.79
"Price list and trading summary for Friday, October 06, 2006",64.50,65.00,57.50,62.00,"145,500",44.29
"Price list and trading summary for Thursday, November 16, 2006",58.50,60.00,57.00,57.00,"52,400",40.71
"Price list and trading summary for Friday, November 17, 2006",57.00,60.00,57.00,58.00,"80,900",41.43
"Price list and trading summary for Monday, November 20, 2006",58.00,62.00,56.00,59.00,"120,600",42.14
"Price list and trading summary for Monday, October 09, 2006",62.00,69.50,60.00,64.00,"204,200",45.71
"Price list and trading summary for Tuesday, November 21, 2006",59.00,60.00,58.00,59.00,"35,700",42.14
"Price list and trading summary for Wednesday, November 22, 2006",59.00,59.00,55.50,57.50,"149,100",41.07
"Price list and trading summary for Thursday, November 23, 2006",57.50,59.00,55.00,58.00,"32,400",41.43
"Price list and trading summary for Friday, November 24, 2006",58.00,59.00,55.00,57.50,"21,400",41.07
"Price list and trading summary for Monday, November 27, 2006",57.50,63.00,55.50,59.50,"182,300",42.50
"Price list and trading summary for Tuesday, November 28, 2006",59.50,62.00,57.50,59.00,"30,400",42.14
"Price list and trading summary for Wednesday, November 29, 2006",59.00,61.00,57.00,59.50,"184,700",42.50
"Price list and trading summary for Friday, December 01, 2006",59.00,58.50,54.00,56.50,"53,400",40.36
"Price list and trading summary for Thursday, November 30, 2006",59.50,60.50,58.00,59.00,"82,800",42.14
"Price list and trading summary for Monday, December 04, 2006",56.50,55.00,50.00,53.50,"38,400",38.21
