"Price list and trading summary for Wednesday, April 02, 2014",63.50,66.00,63.00,64.50,"167,000",0
"Price list and trading summary for Monday, September 11, 2006",11.90,99.00,89.00,95.50,"13,100",21.74
"Price list and trading summary for Tuesday, September 12, 2006",95.50,105.00,96.00,98.00,"81,300",22.31
"Price list and trading summary for Wednesday, September 13, 2006",98.00,98.00,95.50,96.00,"59,300",21.86
"Price list and trading summary for Friday, September 22, 2006",97.50,105.00,96.00,100.00,"258,700",22.77
"Price list and trading summary for Tuesday, September 26, 2006",96.50,100.00,90.00,99.00,"89,000",22.54
"Price list and trading summary for Wednesday, September 27, 2006",99.00,100.00,96.00,98.00,"27,100",22.31
"Price list and trading summary for Tuesday, September 19, 2006",101.00,107.00,97.00,99.50,"47,500",22.65
"Price list and trading summary for Wednesday, September 20, 2006",99.50,100.00,97.00,99.00,"98,100",22.54
"Price list and trading summary for Thursday, September 28, 2006",98.00,99.00,92.00,95.50,"25,100",21.74
"Price list and trading summary for Monday, September 18, 2006",100.00,105.00,97.00,101.00,"51,200",22.99
"Price list and trading summary for Friday, September 15, 2006",100.00,105.00,97.00,100.00,"61,700",22.77
"Price list and trading summary for Thursday, September 14, 2006",96.00,105.00,97.00,100.00,"31,600",22.77
"Price list and trading summary for Thursday, September 21, 2006",99.00,100.00,94.00,97.50,"29,300",22.20
"Price list and trading summary for Tuesday, October 03, 2006",99.00,104.00,94.00,100.00,"54,200",22.77
"Price list and trading summary for Friday, September 29, 2006",95.50,100.00,95.00,97.50,"75,300",22.20
"Price list and trading summary for Monday, October 02, 2006",97.50,100.00,91.00,99.00,"36,800",22.54
"Price list and trading summary for Thursday, October 05, 2006",101.00,107.00,96.00,105.00,"220,900",23.91
"Price list and trading summary for Monday, October 09, 2006",104.00,105.00,100.00,103.00,"24,100",23.45
"Price list and trading summary for Thursday, October 12, 2006",100.00,107.00,97.00,103.00,"56,000",23.45
"Price list and trading summary for Friday, October 13, 2006",103.00,104.00,102.00,103.00,"37,300",23.45
"Price list and trading summary for Wednesday, October 04, 2006",100.00,105.00,95.50,101.00,"13,000",22.99
"Price list and trading summary for Tuesday, October 17, 2006",100.00,100.00,94.00,98.50,"18,000",22.43
"Price list and trading summary for Wednesday, October 18, 2006",98.50,103.00,95.50,99.00,"24,800",22.54
"Price list and trading summary for Thursday, October 19, 2006",99.00,101.00,95.50,99.50,"17,400",22.65
"Price list and trading summary for Monday, October 23, 2006",99.50,99.00,94.00,96.00,"13,700",21.86
"Price list and trading summary for Monday, September 25, 2006",100.00,100.00,90.00,96.50,"35,300",21.97
"Price list and trading summary for Wednesday, October 25, 2006",96.00,100.00,92.00,99.00,"6,500",22.54
"Price list and trading summary for Monday, October 16, 2006",103.00,103.00,96.00,100.00,"18,100",22.77
"Price list and trading summary for Thursday, October 26, 2006",99.00,102.00,93.00,100.00,"25,400",22.77
"Price list and trading summary for Friday, October 27, 2006",100.00,100.00,92.00,98.00,"9,600",22.31
"Price list and trading summary for Tuesday, October 31, 2006",97.50,101.00,99.00,100.00,"18,600",22.77
"Price list and trading summary for Wednesday, November 01, 2006",100.00,103.00,96.00,101.00,"66,700",22.99
"Price list and trading summary for Thursday, November 02, 2006",101.00,104.00,98.00,101.00,"4,700",22.99
"Price list and trading summary for Friday, November 03, 2006",101.00,110.00,101.00,104.00,"36,000",23.68
"Price list and trading summary for Monday, November 06, 2006",104.00,110.00,100.00,102.00,"168,600",23.22
"Price list and trading summary for Tuesday, November 07, 2006",102.00,107.00,102.00,105.00,"37,500",23.91
"Price list and trading summary for Wednesday, November 08, 2006",105.00,106.00,102.00,105.00,"83,800",23.91
"Price list and trading summary for Thursday, November 09, 2006",105.00,106.00,101.00,104.00,"165,500",23.68
"Price list and trading summary for Monday, November 13, 2006",104.00,106.00,96.50,103.00,"12,200",23.45
"Price list and trading summary for Tuesday, November 14, 2006",103.00,104.00,100.00,103.00,"31,200",23.45
"Price list and trading summary for Wednesday, November 15, 2006",103.00,103.00,98.50,100.00,"180,700",22.77
"Price list and trading summary for Friday, October 06, 2006",105.00,106.00,99.00,104.00,"94,700",23.68
"Price list and trading summary for Thursday, November 16, 2006",100.00,103.00,100.00,102.00,"226,500",23.22
"Price list and trading summary for Friday, November 17, 2006",102.00,104.00,101.00,102.00,"132,000",23.22
"Price list and trading summary for Monday, November 20, 2006",102.00,102.00,100.00,101.00,"12,500",22.99
"Price list and trading summary for Monday, October 09, 2006",104.00,105.00,100.00,103.00,"24,100",23.45
"Price list and trading summary for Tuesday, November 21, 2006",101.00,102.00,100.00,100.00,"45,300",22.77
"Price list and trading summary for Wednesday, November 22, 2006",100.00,101.00,96.50,99.50,"12,200",22.65
"Price list and trading summary for Thursday, November 23, 2006",99.50,105.00,96.00,104.00,"39,500",23.68
"Price list and trading summary for Friday, November 24, 2006",104.00,107.00,101.00,105.00,"20,400",23.91
"Price list and trading summary for Monday, November 27, 2006",105.00,107.00,102.00,104.00,"159,600",23.68
"Price list and trading summary for Tuesday, November 28, 2006",104.00,104.00,102.00,102.00,"40,100",23.22
"Price list and trading summary for Wednesday, November 29, 2006",102.00,103.00,98.00,102.00,"169,200",23.22
"Price list and trading summary for Friday, December 01, 2006",101.00,104.00,96.00,101.00,"37,500",22.99
"Price list and trading summary for Thursday, November 30, 2006",102.00,103.00,94.00,101.00,"55,800",22.99
"Price list and trading summary for Monday, December 04, 2006",101.00,100.00,99.50,99.50,"25,900",22.65
"Price list and trading summary for Tuesday, December 05, 2006",99.50,99.50,95.00,98.50,"7,500",22.43
"Price list and trading summary for Wednesday, December 06, 2006",98.50,95.00,93.00,94.50,"10,000",21.51
"Price list and trading summary for Thursday, December 07, 2006",94.50,97.00,94.00,95.50,"31,100",21.74
"Price list and trading summary for Friday, December 08, 2006",95.50,97.00,95.00,95.00,"22,800",21.63
"Price list and trading summary for Monday, December 11, 2006",95.00,97.00,96.00,96.00,"3,200",21.86
"Price list and trading summary for Wednesday, December 13, 2006",96.00,100.00,97.00,98.50,"10,500",22.43
"Price list and trading summary for Thursday, December 14, 2006",98.50,99.00,96.00,98.00,"17,300",22.31
"Price list and trading summary for Monday, December 18, 2006",98.00,99.00,95.00,97.00,"1,400",22.08
"Price list and trading summary for Tuesday, December 19, 2006",97.00,100.00,96.00,98.00,"2,700",22.31
"Price list and trading summary for Wednesday, December 20, 2006",98.00,102.00,98.00,98.50,"5,400",22.43
"Price list and trading summary for Thursday, December 21, 2006",98.50,98.50,98.00,98.00,"84,800",22.31
"Price list and trading summary for Friday, December 22, 2006",98.00,99.00,97.00,97.50,"7,600",22.20
"Price list and trading summary for Wednesday, October 11, 2006",103.00,102.00,100.00,100.00,"11,600",22.77
"Price list and trading summary for Monday, October 30, 2006",98.00,99.00,92.50,97.50,"23,700",22.20
"Price list and trading summary for Wednesday, December 27, 2006",97.50,100.00,98.00,99.50,"6,900",22.65
"Price list and trading summary for Monday, October 23, 2006",99.50,99.00,94.00,96.00,"13,700",21.86
"Price list and trading summary for Thursday, December 28, 2006",99.50,102.00,100.00,100.00,"7,200",22.77
"Price list and trading summary for Friday, December 29, 2006",100.00,104.00,100.00,102.00,"17,200",23.22
"Price list and trading summary for Tuesday, January 02, 2007",102.00,105.00,101.00,102.00,"9,800",23.22
"Price list and trading summary for Wednesday, January 03, 2007",102.00,110.00,101.00,102.00,"13,100",23.22
"Price list and trading summary for Thursday, January 04, 2007",102.00,110.00,103.00,105.00,"16,400",23.91
"Price list and trading summary for Friday, January 05, 2007",105.00,115.00,105.00,109.00,"33,600",24.82
"Price list and trading summary for Monday, January 08, 2007",109.00,120.00,109.00,112.00,"19,200",25.50
"Price list and trading summary for Tuesday, January 09, 2007",112.00,120.00,112.00,116.00,"81,400",26.41
"Price list and trading summary for Wednesday, January 10, 2007",116.00,123.00,114.00,117.00,"196,000",26.64
"Price list and trading summary for Thursday, January 11, 2007",117.00,118.00,111.00,115.00,"177,500",26.18
"Price list and trading summary for Friday, January 12, 2007",115.00,121.00,115.00,116.00,"71,400",26.41
"Price list and trading summary for Monday, January 15, 2007",116.00,119.00,116.00,117.00,"22,100",26.64
"Price list and trading summary for Tuesday, January 16, 2007",117.00,123.00,118.00,119.00,"50,500",27.09
"Price list and trading summary for Wednesday, January 17, 2007",119.00,123.00,117.00,119.00,"40,900",27.09
"Price list and trading summary for Thursday, January 18, 2007",119.00,125.00,120.00,120.00,"48,700",27.32
"Price list and trading summary for Thursday, October 19, 2006",99.00,101.00,95.50,99.50,"17,400",22.65
"Price list and trading summary for Monday, January 22, 2007",121.00,123.00,118.00,118.00,"8,900",26.87
"Price list and trading summary for Tuesday, January 23, 2007",118.00,120.00,107.00,117.00,"42,900",26.64
"Price list and trading summary for Wednesday, January 24, 2007",117.00,120.00,107.00,117.00,"134,200",26.64
