"Price list and trading summary for Monday, September 01, 2014",157.94,21.00,19.65,20.50,"116,400",0
"Price list and trading summary for Tuesday, September 02, 2014",20.50,21.00,19.65,20.50,"116,400",0
"Price list and trading summary for Wednesday, September 03, 2014",20.50,21.00,19.65,20.50,"116,400",0
"Price list and trading summary for Tuesday, September 09, 2014",-,18.00,15.00,16.25,3.84,0
"Price list and trading summary for Wednesday, September 10, 2014",16.25,17.90,17.00,17.85,6.82,0
"Price list and trading summary for Friday, September 12, 2014",19.60,21.50,21.50,21.50,6.31,0
"Price list and trading summary for Monday, September 15, 2014",21.50,23.50,21.50,23.25,3.46,0
"Price list and trading summary for Wednesday, September 17, 2014",23.50,23.50,21.25,21.75,2.17,0
"Price list and trading summary for Thursday, September 18, 2014",21.75,23.75,23.25,23.50,1.64,0
"Price list and trading summary for Tuesday, September 16, 2014",23.25,25.50,21.50,23.50,3.31,0
"Price list and trading summary for Friday, September 19, 2014",23.50,25.75,24.00,25.00,1.51,0
"Price list and trading summary for Monday, September 22, 2014",25.00,27.50,25.75,27.00,2.76,0
"Price list and trading summary for Wednesday, September 24, 2014",26.25,26.50,24.25,24.75,1.34,0
"Price list and trading summary for Thursday, September 11, 2014",17.85,19.60,19.60,19.60,1.74,0
"Price list and trading summary for Tuesday, September 23, 2014",27.00,28.00,24.50,26.25,3.14,0
"Price list and trading summary for Monday, September 29, 2014",23.00,24.00,22.75,23.00,"510,300",0
"Price list and trading summary for Thursday, September 25, 2014",24.75,24.50,22.50,22.75,2.57,0
"Price list and trading summary for Friday, September 26, 2014",22.75,24.25,22.75,23.00,"999,100",0
"Price list and trading summary for Tuesday, September 30, 2014",23.00,23.75,23.00,23.50,"538,300",0
"Price list and trading summary for Thursday, October 02, 2014",23.00,23.00,21.75,22.25,"296,200",0
"Price list and trading summary for Friday, October 03, 2014",22.25,23.00,22.00,22.25,"148,600",0
"Price list and trading summary for Monday, October 06, 2014",22.25,23.50,22.25,23.00,"398,400",0
"Price list and trading summary for Tuesday, October 07, 2014",23.00,23.50,22.25,22.75,"521,900",0
"Price list and trading summary for Wednesday, October 08, 2014",22.75,23.25,22.00,22.75,"276,200",0
"Price list and trading summary for Friday, October 10, 2014",22.50,23.00,22.00,22.75,2.65,0
"Price list and trading summary for Tuesday, October 14, 2014",22.75,22.75,22.00,22.50,"143,800",0
"Price list and trading summary for Wednesday, October 15, 2014",22.50,22.75,21.75,22.00,"167,500",0
"Price list and trading summary for Thursday, October 16, 2014",22.00,22.50,21.50,21.75,1.21,0
"Price list and trading summary for Friday, October 17, 2014",21.75,22.75,21.75,21.75,"132,500",0
"Price list and trading summary for Tuesday, October 21, 2014",21.75,22.50,21.75,21.75,"153,700",0
"Price list and trading summary for Thursday, October 23, 2014",21.50,21.75,21.00,21.00,"617,600",0
"Price list and trading summary for Friday, October 24, 2014",21.00,22.00,20.00,21.25,"132,700",0
"Price list and trading summary for Monday, October 27, 2014",21.25,21.00,20.25,20.50,"95,900",0
