"Price list and trading summary for Wednesday, April 02, 2014",4.30,4.65,4.25,4.45,"5,400",0
"Price list and trading summary for Monday, September 11, 2006",11.90,15.50,14.70,15.45,"3,100",0
"Price list and trading summary for Tuesday, September 12, 2006",15.45,15.00,14.00,14.60,"2,900",0
"Price list and trading summary for Wednesday, September 13, 2006",14.60,15.00,14.00,14.05,"1,600",0
"Price list and trading summary for Friday, September 22, 2006",14.00,15.00,14.00,14.80,"5,100",0
"Price list and trading summary for Tuesday, September 26, 2006",15.80,15.00,15.00,15.00,"2,000",0
"Price list and trading summary for Wednesday, September 27, 2006",15.00,16.00,14.00,15.00,"22,400",0
"Price list and trading summary for Wednesday, September 20, 2006",15.00,15.00,15.00,15.00,700,0
"Price list and trading summary for Thursday, September 28, 2006",15.00,16.00,15.00,15.10,"2,300",0
"Price list and trading summary for Monday, September 18, 2006",14.50,15.00,15.00,15.00,"7,700",0
"Price list and trading summary for Friday, September 15, 2006",13.80,14.50,14.50,14.50,700,0
"Price list and trading summary for Thursday, September 14, 2006",14.05,13.80,13.80,13.80,400,0
"Price list and trading summary for Thursday, September 21, 2006",15.00,14.00,14.00,14.00,100,0
"Price list and trading summary for Tuesday, October 03, 2006",14.50,15.00,15.00,15.00,"1,000",0
"Price list and trading summary for Monday, October 02, 2006",14.65,14.50,14.50,14.50,"9,700",0
"Price list and trading summary for Friday, September 29, 2006",15.10,15.50,14.00,14.65,"24,800",0
"Price list and trading summary for Thursday, October 05, 2006",14.95,15.50,15.00,15.00,"11,000",0
"Price list and trading summary for Monday, October 09, 2006",16.00,22.00,15.50,18.20,"12,700",0
"Price list and trading summary for Thursday, October 12, 2006",18.20,22.00,22.00,22.00,"6,600",0
"Price list and trading summary for Friday, October 13, 2006",22.00,24.00,22.00,23.50,"18,200",0
"Price list and trading summary for Tuesday, October 17, 2006",25.25,27.50,25.25,26.25,"31,700",0
"Price list and trading summary for Wednesday, October 04, 2006",15.00,15.00,14.50,14.95,"10,300",0
"Price list and trading summary for Wednesday, October 18, 2006",26.25,29.50,27.50,28.00,"18,700",0
"Price list and trading summary for Thursday, October 19, 2006",28.00,31.50,27.00,29.50,"83,000",0
"Price list and trading summary for Monday, October 23, 2006",29.50,32.00,27.00,30.50,"41,900",0
"Price list and trading summary for Monday, September 25, 2006",14.80,16.00,15.00,15.80,"7,400",0
"Price list and trading summary for Wednesday, October 25, 2006",30.50,33.75,30.00,31.00,"34,800",0
"Price list and trading summary for Monday, October 16, 2006",23.50,26.00,24.00,25.25,"22,500",0
"Price list and trading summary for Thursday, October 26, 2006",31.00,33.50,31.00,31.75,"34,100",0
"Price list and trading summary for Friday, October 27, 2006",31.75,34.00,32.50,33.00,"14,600",0
"Price list and trading summary for Tuesday, October 31, 2006",33.75,36.50,35.00,35.25,"31,500",0
"Price list and trading summary for Wednesday, November 01, 2006",35.25,38.00,35.50,36.75,"15,100",0
"Price list and trading summary for Thursday, November 02, 2006",36.75,40.00,38.00,39.75,"61,000",0
"Price list and trading summary for Friday, November 03, 2006",39.75,40.00,38.00,39.75,"28,600",0
"Price list and trading summary for Monday, November 06, 2006",39.75,40.00,38.00,39.25,"25,000",0
"Price list and trading summary for Tuesday, November 07, 2006",39.25,38.00,35.50,37.00,"25,800",0
"Price list and trading summary for Wednesday, November 08, 2006",37.00,35.00,33.00,34.00,"16,400",0
"Price list and trading summary for Thursday, November 09, 2006",34.00,34.00,30.75,31.75,"12,600",0
"Price list and trading summary for Monday, November 13, 2006",28.75,28.00,27.00,27.75,"5,700",0
"Price list and trading summary for Tuesday, November 14, 2006",27.75,25.50,25.00,25.25,"15,100",0
"Price list and trading summary for Wednesday, November 15, 2006",25.25,23.00,22.50,22.50,"4,400",0
"Price list and trading summary for Friday, October 06, 2006",15.00,16.00,16.00,16.00,300,0
"Price list and trading summary for Thursday, November 16, 2006",22.50,22.50,20.25,20.50,"5,500",0
"Price list and trading summary for Friday, November 17, 2006",20.50,20.25,19.00,19.95,"8,000",0
"Price list and trading summary for Monday, November 20, 2006",19.95,20.00,18.20,18.75,"9,700",0
"Price list and trading summary for Monday, October 09, 2006",16.00,22.00,15.50,18.20,"12,700",0
"Price list and trading summary for Tuesday, November 21, 2006",18.75,20.25,19.00,19.60,"8,000",0
"Price list and trading summary for Wednesday, November 22, 2006",19.60,21.50,19.00,20.50,"10,000",0
"Price list and trading summary for Thursday, November 23, 2006",20.50,21.50,20.50,21.00,"1,800",0
"Price list and trading summary for Friday, November 24, 2006",21.00,23.00,20.75,21.75,"4,800",0
"Price list and trading summary for Monday, November 27, 2006",21.75,22.00,21.00,21.75,"8,700",0
"Price list and trading summary for Tuesday, November 28, 2006",21.75,23.00,23.00,23.00,"3,100",0
"Price list and trading summary for Friday, December 01, 2006",24.50,25.00,23.75,23.75,"26,900",0
"Price list and trading summary for Thursday, November 30, 2006",23.00,25.00,24.00,24.50,900,0
