"Price list and trading summary for Wednesday, April 02, 2014",119.00,121.00,117.00,119.00,"2,800",0
"Price list and trading summary for Monday, September 11, 2006",11.90,81.00,81.00,81.00,"1,000",40.50
"Price list and trading summary for Tuesday, September 12, 2006",81.00,85.00,80.00,82.50,"8,100",41.25
"Price list and trading summary for Wednesday, September 13, 2006",82.50,88.00,85.00,86.00,"3,000",43.00
"Price list and trading summary for Tuesday, September 26, 2006",92.00,95.00,95.00,95.00,"1,000",47.50
"Price list and trading summary for Wednesday, September 27, 2006",95.00,95.00,90.00,93.00,"90,100",46.50
"Price list and trading summary for Wednesday, September 20, 2006",96.00,96.00,92.00,95.00,"16,200",47.50
"Price list and trading summary for Tuesday, September 19, 2006",96.00,100.00,95.00,96.00,"97,500",48.00
"Price list and trading summary for Thursday, September 28, 2006",93.00,94.00,90.00,91.50,"1,300",45.75
"Price list and trading summary for Monday, September 18, 2006",89.50,96.00,96.00,96.00,"3,000",48.00
"Price list and trading summary for Friday, September 15, 2006",85.00,90.00,88.00,89.50,"1,200",44.75
"Price list and trading summary for Thursday, September 14, 2006",86.00,86.00,83.00,85.00,"12,400",42.50
"Price list and trading summary for Thursday, September 21, 2006",95.00,96.00,94.00,94.00,"1,000",47.00
"Price list and trading summary for Tuesday, October 03, 2006",84.00,84.00,83.00,83.50,500,41.75
"Price list and trading summary for Monday, October 02, 2006",91.50,84.00,84.00,84.00,500,42.00
"Price list and trading summary for Thursday, October 05, 2006",83.00,90.00,84.00,85.50,"1,100",42.75
"Price list and trading summary for Monday, October 09, 2006",86.50,85.50,82.00,85.00,"1,100",42.50
"Price list and trading summary for Thursday, October 12, 2006",86.50,87.00,85.50,86.50,"1,500",43.25
"Price list and trading summary for Friday, October 13, 2006",86.50,86.50,83.00,84.50,"4,700",42.25
"Price list and trading summary for Tuesday, October 17, 2006",85.00,85.00,85.00,85.00,800,42.50
"Price list and trading summary for Wednesday, October 04, 2006",83.50,83.00,83.00,83.00,600,41.50
"Price list and trading summary for Wednesday, October 18, 2006",85.00,85.00,80.00,82.00,"5,700",41.00
"Price list and trading summary for Thursday, October 19, 2006",82.00,87.00,86.00,86.00,"16,000",43.00
"Price list and trading summary for Monday, October 23, 2006",86.00,87.00,85.00,86.00,200,43.00
"Price list and trading summary for Monday, September 25, 2006",94.00,97.00,87.00,92.00,200,46.00
"Price list and trading summary for Wednesday, October 25, 2006",86.00,81.00,81.00,81.00,800,40.50
"Price list and trading summary for Monday, October 16, 2006",84.50,85.00,85.00,85.00,"1,600",42.50
"Price list and trading summary for Thursday, October 26, 2006",81.00,81.00,81.00,81.00,"1,100",40.50
"Price list and trading summary for Friday, October 27, 2006",81.00,85.00,80.00,82.00,"2,600",41.00
"Price list and trading summary for Tuesday, October 31, 2006",82.50,85.00,77.00,82.00,"2,200",41.00
"Price list and trading summary for Wednesday, November 01, 2006",82.00,81.00,80.00,80.00,"11,700",40.00
"Price list and trading summary for Thursday, November 02, 2006",80.00,85.00,80.00,80.50,"23,600",40.25
"Price list and trading summary for Friday, November 03, 2006",80.50,87.00,85.00,85.00,"3,100",42.50
"Price list and trading summary for Monday, November 06, 2006",85.00,82.00,82.00,82.00,"1,300",41.00
"Price list and trading summary for Tuesday, November 07, 2006",82.00,82.00,82.00,82.00,"26,100",41.00
"Price list and trading summary for Wednesday, November 08, 2006",82.00,82.00,82.00,82.00,"1,200",41.00
"Price list and trading summary for Thursday, November 09, 2006",82.00,88.00,87.00,87.50,600,43.75
"Price list and trading summary for Monday, November 13, 2006",87.00,86.00,86.00,86.00,500,43.00
"Price list and trading summary for Tuesday, November 14, 2006",86.00,86.00,83.00,84.50,"2,800",42.25
"Price list and trading summary for Wednesday, November 15, 2006",84.50,87.00,87.00,87.00,300,43.50
"Price list and trading summary for Friday, October 06, 2006",85.50,87.00,84.00,86.50,"7,200",43.25
"Price list and trading summary for Thursday, November 16, 2006",87.00,85.00,83.00,83.00,"3,100",41.50
"Price list and trading summary for Friday, November 17, 2006",83.00,87.00,83.00,83.50,"2,100",41.75
"Price list and trading summary for Monday, November 20, 2006",83.50,84.00,80.00,80.00,"1,300",40.00
"Price list and trading summary for Monday, October 09, 2006",86.50,85.50,82.00,85.00,"1,100",42.50
"Price list and trading summary for Tuesday, November 21, 2006",80.00,83.00,83.00,83.00,100,41.50
"Price list and trading summary for Wednesday, November 22, 2006",83.00,86.00,82.00,85.50,"1,200",42.75
"Price list and trading summary for Thursday, November 23, 2006",85.50,90.00,90.00,90.00,100,45.00
"Price list and trading summary for Friday, November 24, 2006",90.00,90.00,90.00,90.00,600,45.00
"Price list and trading summary for Tuesday, November 28, 2006",90.00,90.00,84.00,87.50,"12,800",43.75
"Price list and trading summary for Wednesday, November 29, 2006",87.50,87.00,87.00,87.00,"3,200",43.50
"Price list and trading summary for Friday, December 01, 2006",82.50,86.00,83.00,85.00,"1,500",42.50
"Price list and trading summary for Thursday, November 30, 2006",87.00,90.00,80.00,82.50,"2,000",41.25
"Price list and trading summary for Monday, December 04, 2006",85.00,85.00,85.00,85.00,"12,900",42.50
"Price list and trading summary for Tuesday, December 05, 2006",85.00,87.00,85.00,86.00,"1,900",43.00
"Price list and trading summary for Wednesday, December 06, 2006",86.00,90.00,90.00,90.00,200,45.00
"Price list and trading summary for Thursday, December 07, 2006",90.00,90.00,89.00,89.00,"30,100",44.50
"Price list and trading summary for Friday, December 08, 2006",89.00,90.00,90.00,90.00,400,45.00
"Price list and trading summary for Monday, December 11, 2006",90.00,90.00,89.00,89.50,"5,000",44.75
"Price list and trading summary for Wednesday, December 13, 2006",89.50,90.00,90.00,90.00,"5,000",45.00
"Price list and trading summary for Thursday, December 14, 2006",90.00,90.00,89.00,89.00,"1,400",44.50
"Price list and trading summary for Monday, December 18, 2006",90.00,90.00,89.00,89.00,"1,100",44.50
"Price list and trading summary for Tuesday, December 19, 2006",89.00,90.00,89.00,89.50,"12,400",44.75
"Price list and trading summary for Wednesday, December 20, 2006",89.50,90.00,89.00,89.50,"4,800",44.75
"Price list and trading summary for Thursday, December 21, 2006",89.50,90.00,90.00,90.00,200,45.00
"Price list and trading summary for Friday, December 22, 2006",90.00,90.00,90.00,90.00,"1,100",45.00
"Price list and trading summary for Wednesday, October 11, 2006",85.00,87.00,85.50,86.50,"4,300",43.25
"Price list and trading summary for Monday, October 30, 2006",82.00,83.00,81.00,82.50,"5,700",41.25
"Price list and trading summary for Wednesday, December 27, 2006",90.00,90.00,90.00,90.00,"2,200",45.00
"Price list and trading summary for Monday, October 23, 2006",86.00,87.00,85.00,86.00,200,43.00
"Price list and trading summary for Thursday, December 28, 2006",90.00,95.00,90.00,91.50,"4,600",45.75
"Price list and trading summary for Friday, December 29, 2006",91.50,92.00,90.00,91.50,900,45.75
"Price list and trading summary for Tuesday, January 02, 2007",91.50,90.00,85.00,88.00,"4,300",44.00
"Price list and trading summary for Wednesday, January 03, 2007",88.00,95.00,90.00,90.00,"17,200",45.00
"Price list and trading summary for Thursday, January 04, 2007",90.00,95.00,90.00,92.00,"9,900",46.00
"Price list and trading summary for Friday, January 05, 2007",92.00,95.00,92.00,92.50,"3,200",46.25
"Price list and trading summary for Monday, January 08, 2007",92.50,96.00,90.00,93.00,"33,600",46.50
"Price list and trading summary for Tuesday, January 09, 2007",93.00,95.00,95.00,95.00,"20,100",47.50
"Price list and trading summary for Wednesday, January 10, 2007",95.00,104.00,95.00,100.00,"1,300",50.00
"Price list and trading summary for Thursday, January 11, 2007",100.00,102.00,102.00,102.00,"15,000",51.00
"Price list and trading summary for Friday, January 12, 2007",102.00,103.00,103.00,103.00,800,51.50
"Price list and trading summary for Monday, January 15, 2007",103.00,110.00,109.00,109.00,"31,000",54.50
"Price list and trading summary for Tuesday, January 16, 2007",109.00,110.00,109.00,109.00,"6,600",54.50
"Price list and trading summary for Wednesday, January 17, 2007",109.00,116.00,115.00,115.00,"2,500",57.50
"Price list and trading summary for Thursday, January 18, 2007",115.00,119.00,110.00,116.00,"10,800",58.00
"Price list and trading summary for Thursday, October 19, 2006",82.00,87.00,86.00,86.00,"16,000",43.00
