"Price list and trading summary for Wednesday, April 02, 2014",83.00,84.00,84.00,84.00,"1,300",0
"Price list and trading summary for Monday, September 11, 2006",11.90,139.00,129.00,138.00,"3,600",0
"Price list and trading summary for Tuesday, September 12, 2006",138.00,143.00,130.00,137.00,"2,300",0
"Price list and trading summary for Wednesday, September 13, 2006",137.00,140.00,125.00,131.00,"21,000",0
"Price list and trading summary for Friday, September 22, 2006",137.00,130.00,130.00,130.00,"3,600",0
"Price list and trading summary for Tuesday, September 26, 2006",130.00,130.00,130.00,130.00,700,0
"Price list and trading summary for Wednesday, September 27, 2006",130.00,130.00,130.00,130.00,"6,000",0
"Price list and trading summary for Wednesday, September 20, 2006",145.00,148.00,141.00,143.00,"3,600",0
"Price list and trading summary for Tuesday, September 19, 2006",145.00,145.00,145.00,145.00,"1,200",0
"Price list and trading summary for Thursday, September 28, 2006",130.00,130.00,130.00,130.00,"3,000",0
"Price list and trading summary for Monday, September 18, 2006",141.00,145.00,145.00,145.00,"1,800",0
"Price list and trading summary for Friday, September 15, 2006",138.00,141.00,141.00,141.00,"3,400",0
"Price list and trading summary for Thursday, September 14, 2006",131.00,138.00,138.00,138.00,500,0
"Price list and trading summary for Thursday, September 21, 2006",143.00,141.00,130.00,137.00,"9,300",0
"Price list and trading summary for Tuesday, October 03, 2006",130.00,132.00,130.00,130.00,"3,000",0
"Price list and trading summary for Friday, September 29, 2006",130.00,130.00,130.00,130.00,"9,100",0
"Price list and trading summary for Thursday, October 05, 2006",128.00,130.00,125.00,128.00,"1,500",0
"Price list and trading summary for Monday, October 09, 2006",132.00,131.00,130.00,130.00,"4,400",0
"Price list and trading summary for Thursday, October 12, 2006",130.00,132.00,132.00,132.00,100,0
"Price list and trading summary for Friday, October 13, 2006",132.00,130.00,130.00,130.00,"1,000",0
"Price list and trading summary for Wednesday, October 04, 2006",130.00,130.00,120.00,128.00,"3,600",0
"Price list and trading summary for Tuesday, October 17, 2006",129.00,130.00,125.00,129.00,"3,000",0
"Price list and trading summary for Wednesday, October 18, 2006",129.00,130.00,130.00,130.00,"3,400",0
"Price list and trading summary for Thursday, October 19, 2006",130.00,130.00,125.00,127.00,"1,300",0
"Price list and trading summary for Monday, October 23, 2006",127.00,130.00,130.00,130.00,400,0
"Price list and trading summary for Monday, September 25, 2006",130.00,130.00,130.00,130.00,"1,000",0
"Price list and trading summary for Wednesday, October 25, 2006",130.00,130.00,130.00,130.00,"18,500",0
"Price list and trading summary for Monday, October 16, 2006",130.00,130.00,129.00,129.00,"8,000",0
"Price list and trading summary for Thursday, October 26, 2006",130.00,130.00,130.00,130.00,"3,000",0
"Price list and trading summary for Friday, October 27, 2006",130.00,132.00,132.00,132.00,"2,500",0
"Price list and trading summary for Tuesday, October 31, 2006",131.00,132.00,132.00,132.00,"1,000",0
"Price list and trading summary for Wednesday, November 01, 2006",132.00,132.00,130.00,131.00,"1,500",0
"Price list and trading summary for Monday, November 06, 2006",131.00,131.00,130.00,130.00,"1,100",0
"Price list and trading summary for Tuesday, November 07, 2006",130.00,130.00,130.00,130.00,500,0
"Price list and trading summary for Wednesday, November 08, 2006",130.00,131.00,131.00,131.00,100,0
"Price list and trading summary for Thursday, November 09, 2006",131.00,133.00,130.00,131.00,"1,900",0
"Price list and trading summary for Monday, November 13, 2006",131.00,130.00,130.00,130.00,"1,000",0
"Price list and trading summary for Wednesday, November 15, 2006",130.00,132.00,131.00,131.00,600,0
"Price list and trading summary for Friday, October 06, 2006",128.00,138.00,130.00,132.00,900,0
"Price list and trading summary for Thursday, November 16, 2006",131.00,130.00,130.00,130.00,"4,900",0
"Price list and trading summary for Friday, November 17, 2006",130.00,130.00,130.00,130.00,"1,400",0
"Price list and trading summary for Monday, November 20, 2006",130.00,130.00,130.00,130.00,300,0
"Price list and trading summary for Monday, October 09, 2006",132.00,131.00,130.00,130.00,"4,400",0
"Price list and trading summary for Thursday, November 23, 2006",130.00,132.00,132.00,132.00,"3,100",0
"Price list and trading summary for Friday, November 24, 2006",132.00,132.00,132.00,132.00,700,0
"Price list and trading summary for Monday, November 27, 2006",132.00,135.00,135.00,135.00,500,0
"Price list and trading summary for Tuesday, November 28, 2006",135.00,133.00,133.00,133.00,"1,000",0
"Price list and trading summary for Wednesday, November 29, 2006",133.00,130.00,130.00,130.00,"3,000",0
"Price list and trading summary for Friday, December 01, 2006",130.00,130.00,130.00,130.00,500,0
"Price list and trading summary for Monday, December 04, 2006",130.00,131.00,131.00,131.00,500,0
"Price list and trading summary for Wednesday, December 06, 2006",131.00,130.00,130.00,130.00,400,0
