"Price list and trading summary for Wednesday, April 02, 2014",27.50,27.50,27.50,27.50,0,0
"Price list and trading summary for Monday, September 11, 2006",11.90,25.00,23.50,24.00,"94,000",0
"Price list and trading summary for Tuesday, September 12, 2006",24.00,24.00,22.00,23.25,"84,500",0
"Price list and trading summary for Wednesday, September 13, 2006",23.25,24.50,23.00,23.25,"135,800",0
"Price list and trading summary for Friday, September 22, 2006",27.50,27.00,25.00,25.50,"103,700",0
"Price list and trading summary for Tuesday, September 26, 2006",26.25,28.00,25.00,25.50,"65,600",0
"Price list and trading summary for Wednesday, September 27, 2006",25.50,27.00,26.00,26.25,"75,200",0
"Price list and trading summary for Tuesday, September 19, 2006",23.50,25.00,23.00,24.75,"527,700",0
"Price list and trading summary for Thursday, September 28, 2006",26.25,27.00,24.00,25.75,"34,500",0
"Price list and trading summary for Wednesday, September 20, 2006",24.75,27.50,25.00,26.50,"94,100",0
"Price list and trading summary for Thursday, September 14, 2006",23.25,25.00,22.50,23.25,"43,800",0
"Price list and trading summary for Thursday, September 21, 2006",26.50,28.75,26.00,27.50,"201,000",0
"Price list and trading summary for Monday, September 18, 2006",22.75,25.00,22.00,23.50,"175,300",0
"Price list and trading summary for Friday, September 15, 2006",23.25,23.50,22.00,22.75,"63,800",0
"Price list and trading summary for Tuesday, October 03, 2006",26.50,26.75,25.00,25.75,"13,000",0
"Price list and trading summary for Monday, October 02, 2006",25.50,28.00,24.00,26.50,"182,400",0
"Price list and trading summary for Friday, September 29, 2006",25.75,26.00,24.00,25.50,"77,100",0
"Price list and trading summary for Monday, October 09, 2006",26.50,27.50,25.00,26.25,"137,700",0
"Price list and trading summary for Thursday, October 05, 2006",26.50,27.50,26.00,26.50,"316,900",0
"Price list and trading summary for Thursday, October 12, 2006",26.25,26.00,23.50,24.00,"50,600",0
"Price list and trading summary for Wednesday, October 04, 2006",25.75,27.00,24.00,26.50,"152,400",0
"Price list and trading summary for Friday, October 13, 2006",24.00,26.00,23.00,24.75,"41,600",0
"Price list and trading summary for Tuesday, October 17, 2006",23.50,24.50,22.25,23.75,"38,600",0
"Price list and trading summary for Wednesday, October 18, 2006",23.75,24.25,22.50,23.00,"46,900",0
"Price list and trading summary for Monday, October 23, 2006",23.00,24.50,22.00,23.00,"157,500",0
"Price list and trading summary for Thursday, October 19, 2006",23.00,24.50,22.25,23.00,"132,700",0
"Price list and trading summary for Monday, September 25, 2006",25.50,27.00,25.25,26.25,"72,000",0
"Price list and trading summary for Wednesday, October 25, 2006",23.00,23.75,23.00,23.25,"40,400",0
"Price list and trading summary for Monday, October 16, 2006",24.75,26.00,22.75,23.50,"105,200",0
"Price list and trading summary for Thursday, October 26, 2006",23.25,25.50,23.50,23.75,"179,500",0
"Price list and trading summary for Friday, October 27, 2006",23.75,24.50,21.75,23.00,"311,600",0
"Price list and trading summary for Tuesday, October 31, 2006",23.75,24.75,22.00,23.00,2.44,0
"Price list and trading summary for Wednesday, November 01, 2006",23.00,25.25,23.00,23.50,"439,900",0
"Price list and trading summary for Thursday, November 02, 2006",23.50,27.50,25.00,26.75,"257,600",0
"Price list and trading summary for Friday, November 03, 2006",26.75,30.25,27.00,29.00,"435,300",0
