"Price list and trading summary for Wednesday, April 02, 2014",17.50,17.50,17.00,17.15,"12,500",0
"Price list and trading summary for Monday, September 11, 2006",11.90,42.25,40.00,40.50,"26,400",6.75
"Price list and trading summary for Tuesday, September 12, 2006",40.50,44.75,37.00,41.50,"47,400",6.92
"Price list and trading summary for Wednesday, September 13, 2006",41.50,45.50,42.50,44.75,"61,100",7.46
"Price list and trading summary for Friday, September 22, 2006",48.75,53.00,45.00,46.25,"635,500",7.71
"Price list and trading summary for Tuesday, September 26, 2006",43.00,46.50,40.00,41.75,"60,400",6.96
"Price list and trading summary for Wednesday, September 27, 2006",41.75,48.00,44.50,45.50,"38,600",7.58
"Price list and trading summary for Wednesday, September 20, 2006",52.00,55.00,50.00,52.00,"144,900",8.67
"Price list and trading summary for Tuesday, September 19, 2006",53.50,55.00,50.00,52.00,"49,100",8.67
"Price list and trading summary for Monday, September 18, 2006",50.00,55.00,51.00,53.50,"210,500",8.92
"Price list and trading summary for Friday, September 15, 2006",48.25,51.00,46.00,50.00,"37,900",8.33
"Price list and trading summary for Thursday, September 14, 2006",44.75,49.50,41.00,48.25,"49,000",8.04
"Price list and trading summary for Thursday, September 28, 2006",45.50,50.00,47.00,48.75,"129,500",8.13
"Price list and trading summary for Thursday, September 21, 2006",52.00,50.00,48.00,48.75,"41,400",8.13
"Price list and trading summary for Thursday, October 05, 2006",55.00,60.00,57.00,59.50,"208,400",9.92
"Price list and trading summary for Thursday, October 12, 2006",53.00,56.00,50.00,54.00,"118,300",9.00
"Price list and trading summary for Tuesday, October 03, 2006",52.00,56.00,51.00,54.00,"102,200",9.00
"Price list and trading summary for Friday, September 29, 2006",48.75,54.00,50.00,51.50,"76,700",8.58
"Price list and trading summary for Monday, October 02, 2006",51.50,55.00,49.50,52.00,"94,700",8.67
"Price list and trading summary for Friday, October 13, 2006",54.00,57.00,54.00,56.00,"112,700",9.33
"Price list and trading summary for Monday, October 09, 2006",55.50,55.00,50.00,52.00,"185,500",8.67
"Price list and trading summary for Tuesday, October 17, 2006",55.00,59.50,55.00,56.50,"63,000",9.42
"Price list and trading summary for Wednesday, October 18, 2006",56.50,58.00,57.00,57.50,"115,100",9.58
"Price list and trading summary for Wednesday, October 04, 2006",54.00,58.00,53.00,55.00,"548,900",9.17
"Price list and trading summary for Thursday, October 19, 2006",57.50,59.00,56.00,58.50,"140,100",9.75
"Price list and trading summary for Monday, October 23, 2006",58.50,64.00,57.50,60.50,"90,300",10.08
"Price list and trading summary for Monday, September 25, 2006",46.25,45.00,41.75,43.00,"73,200",7.17
"Price list and trading summary for Monday, October 16, 2006",56.00,58.00,52.50,55.00,"82,100",9.17
"Price list and trading summary for Wednesday, October 25, 2006",60.50,69.50,63.00,65.50,"65,200",10.92
"Price list and trading summary for Thursday, October 26, 2006",65.50,74.00,61.00,72.00,"148,300",12.00
"Price list and trading summary for Friday, October 27, 2006",72.00,80.00,75.00,79.50,"281,800",13.25
"Price list and trading summary for Tuesday, October 31, 2006",86.00,95.00,87.00,94.50,"329,800",15.75
"Price list and trading summary for Wednesday, November 01, 2006",94.50,104.00,95.00,103.00,"329,600",17.17
"Price list and trading summary for Thursday, November 02, 2006",103.00,114.00,100.00,113.00,"608,500",18.83
"Price list and trading summary for Friday, November 03, 2006",113.00,125.00,110.00,124.00,"528,100",20.67
"Price list and trading summary for Monday, November 06, 2006",124.00,137.00,137.00,137.00,"383,500",22.83
"Price list and trading summary for Tuesday, November 07, 2006",137.00,150.00,134.00,148.00,"950,800",24.67
"Price list and trading summary for Wednesday, November 08, 2006",148.00,149.00,132.00,137.00,"275,500",22.83
"Price list and trading summary for Thursday, November 09, 2006",137.00,146.00,120.00,130.00,"132,500",21.67
"Price list and trading summary for Monday, November 13, 2006",114.00,126.00,105.00,117.00,"283,000",19.50
"Price list and trading summary for Tuesday, November 14, 2006",117.00,124.00,106.00,118.00,"177,200",19.67
"Price list and trading summary for Wednesday, November 15, 2006",118.00,120.00,110.00,115.00,"90,600",19.17
"Price list and trading summary for Friday, October 06, 2006",59.50,58.00,52.00,55.50,"36,900",9.25
"Price list and trading summary for Thursday, November 16, 2006",115.00,122.00,114.00,117.00,"72,300",19.50
"Price list and trading summary for Friday, November 17, 2006",117.00,120.00,115.00,117.00,"38,600",19.50
"Price list and trading summary for Monday, November 20, 2006",117.00,125.00,120.00,122.00,"46,200",20.33
"Price list and trading summary for Monday, October 09, 2006",55.50,55.00,50.00,52.00,"185,500",8.67
"Price list and trading summary for Tuesday, November 21, 2006",122.00,130.00,120.00,125.00,"93,000",20.83
"Price list and trading summary for Wednesday, November 22, 2006",125.00,133.00,115.00,123.00,"78,700",20.50
"Price list and trading summary for Thursday, November 23, 2006",123.00,130.00,125.00,128.00,"65,800",21.33
"Price list and trading summary for Friday, November 24, 2006",128.00,130.00,122.00,129.00,"109,500",21.50
"Price list and trading summary for Monday, November 27, 2006",129.00,130.00,125.00,125.00,"8,100",20.83
"Price list and trading summary for Tuesday, November 28, 2006",125.00,132.00,127.00,129.00,"274,600",21.50
"Price list and trading summary for Wednesday, November 29, 2006",129.00,131.00,125.00,128.00,"150,900",21.33
"Price list and trading summary for Thursday, November 30, 2006",128.00,128.00,125.00,125.00,"41,200",20.83
"Price list and trading summary for Friday, December 01, 2006",125.00,130.00,120.00,125.00,"142,500",20.83
"Price list and trading summary for Monday, December 04, 2006",125.00,128.00,121.00,125.00,"132,900",20.83
"Price list and trading summary for Tuesday, December 05, 2006",125.00,127.00,115.00,123.00,"172,700",20.50
"Price list and trading summary for Wednesday, December 06, 2006",123.00,125.00,120.00,121.00,"71,800",20.17
"Price list and trading summary for Thursday, December 07, 2006",121.00,128.00,120.00,124.00,"509,000",20.67
"Price list and trading summary for Friday, December 08, 2006",124.00,125.00,118.00,124.00,"144,000",20.67
"Price list and trading summary for Monday, December 11, 2006",124.00,128.00,120.00,126.00,"73,700",21.00
"Price list and trading summary for Wednesday, December 13, 2006",126.00,127.00,122.00,126.00,"23,700",21.00
"Price list and trading summary for Thursday, December 14, 2006",126.00,138.00,120.00,131.00,"146,400",21.83
"Price list and trading summary for Monday, December 18, 2006",151.00,185.00,152.00,173.00,"624,300",28.83
"Price list and trading summary for Tuesday, December 19, 2006",173.00,190.00,160.00,168.00,"51,000",28.00
"Price list and trading summary for Wednesday, December 20, 2006",168.00,170.00,144.00,157.00,"32,500",26.17
"Price list and trading summary for Thursday, December 21, 2006",157.00,160.00,132.00,140.00,"57,500",23.33
"Price list and trading summary for Friday, December 22, 2006",140.00,140.00,128.00,138.00,"25,400",23.00
"Price list and trading summary for Wednesday, October 11, 2006",52.00,56.50,51.00,53.00,"119,900",8.83
"Price list and trading summary for Monday, October 30, 2006",79.50,87.00,82.00,86.00,"272,400",14.33
"Price list and trading summary for Wednesday, December 27, 2006",138.00,144.00,132.00,138.00,"25,900",23.00
"Price list and trading summary for Monday, October 23, 2006",58.50,64.00,57.50,60.50,"90,300",10.08
"Price list and trading summary for Thursday, December 28, 2006",138.00,154.00,135.00,144.00,"37,300",24.00
"Price list and trading summary for Friday, December 29, 2006",144.00,142.00,140.00,141.00,"29,600",23.50
"Price list and trading summary for Tuesday, January 02, 2007",141.00,145.00,140.00,140.00,"70,900",23.33
"Price list and trading summary for Wednesday, January 03, 2007",140.00,142.00,131.00,137.00,"63,800",22.83
"Price list and trading summary for Thursday, January 04, 2007",137.00,148.00,135.00,143.00,"92,900",23.83
"Price list and trading summary for Friday, January 05, 2007",143.00,148.00,130.00,139.00,"77,800",23.17
"Price list and trading summary for Monday, January 08, 2007",139.00,147.00,130.00,136.00,"108,100",22.67
"Price list and trading summary for Tuesday, January 09, 2007",136.00,147.00,130.00,136.00,"115,200",22.67
"Price list and trading summary for Wednesday, January 10, 2007",136.00,154.00,131.00,143.00,"172,100",23.83
"Price list and trading summary for Thursday, January 11, 2007",143.00,150.00,140.00,146.00,"47,600",24.33
"Price list and trading summary for Friday, January 12, 2007",146.00,151.00,134.00,147.00,"313,200",24.50
"Price list and trading summary for Monday, January 15, 2007",147.00,155.00,148.00,151.00,"114,000",25.17
"Price list and trading summary for Tuesday, January 16, 2007",151.00,155.00,140.00,141.00,"320,500",23.50
"Price list and trading summary for Wednesday, January 17, 2007",141.00,150.00,144.00,145.00,"26,400",24.17
