"Price list and trading summary for Wednesday, April 02, 2014",48.50,49.00,48.00,48.25,"2,300",0
"Price list and trading summary for Monday, September 11, 2006",10.45,26.00,24.50,25.50,"540,500",21.25
"Price list and trading summary for Tuesday, September 12, 2006",25.50,28.50,23.50,28.00,1.42,23.33
"Price list and trading summary for Wednesday, September 13, 2006",28.00,31.25,28.00,30.50,1.70,25.42
"Price list and trading summary for Friday, September 22, 2006",26.25,29.75,26.00,27.75,1.55,23.13
"Price list and trading summary for Tuesday, September 26, 2006",29.00,31.00,27.00,29.50,"619,000",24.58
"Price list and trading summary for Wednesday, September 27, 2006",29.50,31.50,27.00,30.00,1.60,25.00
"Price list and trading summary for Tuesday, September 19, 2006",30.25,32.50,28.00,29.25,1.85,24.38
"Price list and trading summary for Wednesday, September 20, 2006",29.25,27.00,25.50,26.25,"957,300",21.88
"Price list and trading summary for Thursday, September 28, 2006",30.00,32.00,28.00,30.25,"596,200",25.21
"Price list and trading summary for Thursday, September 14, 2006",30.50,34.00,28.00,33.00,1.53,27.50
"Price list and trading summary for Monday, September 18, 2006",33.00,31.50,28.50,30.25,1.56,25.21
"Price list and trading summary for Friday, September 15, 2006",33.00,37.00,31.00,33.00,2.40,27.50
"Price list and trading summary for Thursday, September 21, 2006",26.25,28.50,23.50,26.25,1.51,21.88
"Price list and trading summary for Tuesday, October 03, 2006",28.25,29.75,26.00,27.25,1.39,22.71
"Price list and trading summary for Friday, September 29, 2006",30.25,32.00,27.50,29.25,1.60,24.38
"Price list and trading summary for Monday, October 02, 2006",29.25,30.00,27.00,28.25,"917,100",23.54
"Price list and trading summary for Thursday, October 05, 2006",27.25,28.00,25.00,26.75,"843,000",22.29
"Price list and trading summary for Monday, October 09, 2006",26.25,28.00,26.00,27.00,"265,200",22.50
"Price list and trading summary for Thursday, October 12, 2006",27.00,27.25,25.00,26.25,"809,500",21.88
"Price list and trading summary for Friday, October 13, 2006",26.25,28.00,25.00,26.25,"588,600",21.88
"Price list and trading summary for Wednesday, October 04, 2006",27.25,29.00,25.00,27.25,"880,100",22.71
"Price list and trading summary for Tuesday, October 17, 2006",26.00,28.00,25.00,25.75,"413,500",21.46
"Price list and trading summary for Wednesday, October 18, 2006",25.75,27.75,22.75,25.50,"413,400",21.25
"Price list and trading summary for Thursday, October 19, 2006",25.50,27.00,24.25,25.25,"335,800",21.04
"Price list and trading summary for Monday, October 23, 2006",25.25,27.50,24.00,25.00,"412,500",20.83
"Price list and trading summary for Monday, September 25, 2006",27.75,30.00,26.50,29.00,1.93,24.17
"Price list and trading summary for Wednesday, October 25, 2006",25.00,27.00,24.25,25.25,"365,000",21.04
"Price list and trading summary for Monday, October 16, 2006",26.25,28.00,25.00,26.00,"398,600",21.67
"Price list and trading summary for Thursday, October 26, 2006",25.25,28.00,24.00,25.00,"362,900",20.83
"Price list and trading summary for Friday, October 27, 2006",25.00,26.00,22.50,25.25,"421,500",21.04
