Date,Open,High,Low,Price,volume,Adj Close
2015-09-28,224,229,222,225,1300,0
2015-09-28,224,229,222,225,1300,0
2015-09-25,230,234,221,224,2600,0
2015-09-25,230,234,221,224,2600,0
2015-09-24,229,231,229,230,2200,0
2015-09-24,229,231,229,230,2200,0
2015-09-23,227,230,229,229,30800,0
2015-09-23,227,230,229,229,30800,0
2015-09-22,232,230,221,227,5900,0
2015-09-22,232,230,221,227,5900,0
2015-09-21,233,235,220,232,6900,0
2015-09-21,233,235,220,232,6900,0
2015-09-18,239,235,233,233,2600,0
2015-09-18,239,235,233,233,2600,0
2015-09-17,240,240,235,239,12100,0
2015-09-17,240,240,235,239,12100,0
2015-09-16,244,245,240,240,3000,0
2015-09-16,244,245,240,240,3000,0
2015-09-15,245,245,240,244,202800,0
2015-09-15,245,245,240,244,202800,0
2015-09-14,246,247,245,245,65800,0
2015-09-14,246,247,245,245,65800,0
2015-09-11,246,247,245,246,11800,0
2015-09-11,246,247,245,246,11800,0
2015-09-10,241,248,245,246,35900,0
2015-09-10,241,248,245,246,35900,0
2015-09-09,243,243,240,241,1400,0
2015-09-09,243,243,240,241,1400,0
2015-09-08,243,244,240,243,41400,0
2015-09-08,243,244,240,243,41400,0
2015-09-07,234,244,241,243,1900,0
2015-09-07,234,244,241,243,1900,0
2015-09-04,227,241,230,234,6900,0
2015-09-04,227,241,230,234,6900,0
2015-09-03,227,228,226,227,2000,0
2015-09-03,227,228,226,227,2000,0
2015-09-02,230,230,225,227,1700,0
2015-09-01,233,235,226,230,2500,0
2015-08-31,235,240,230,233,3300,0
2015-08-28,236,240,230,235,8700,0
2015-08-27,241,240,234,236,7100,0
2015-08-26,244,258,240,241,5200,0
2015-08-25,256,259,240,244,3300,0
2015-08-24,257,260,255,256,11000,0
2015-08-21,266,260,245,257,2600,0
2015-08-20,274,274,257,266,2700,0
2015-08-19,279,280,272,274,2100,0
2015-08-18,291,281,275,279,6800,0
2015-08-17,280,305,281,291,3100,0
2015-08-14,280,293,280,280,130800,0
2015-08-13,280,297,280,280,32400,0
2015-08-12,280,289,280,280,1200,0
2015-08-11,283,289,280,280,67800,0
2015-08-10,275,285,280,283,1600,0
2015-08-07,271,298,270,275,6200,0
2015-08-06,265,282,256,271,4000,0
2015-08-05,265,280,260,265,14800,0
2015-08-04,264,266,265,265,3300,0
2015-08-03,270,265,264,264,1800,0
2015-07-31,277,280,261,270,5200,0
2015-07-30,283,283,275,277,2800,0
2015-07-29,284,286,282,283,7500,0
2015-07-28,286,286,284,284,30900,0
2015-07-27,295,290,284,286,3300,0
2015-07-24,298,295,295,295,800,0
