"Price list and trading summary for Wednesday, April 02, 2014",12.35,12.50,12.35,12.40,3.47,0
"Price list and trading summary for Wednesday, April 23, 2008","5,126.26",5.00,5.00,5.00,0,0
"Price list and trading summary for Friday, June 13, 2008",7.35,7.65,7.00,7.45,250.90,0
"Price list and trading summary for Monday, June 16, 2008",7.45,8.15,7.50,7.90,103.79,0
"Price list and trading summary for Tuesday, June 17, 2008",7.90,8.05,7.70,7.80,121.49,0
"Price list and trading summary for Wednesday, June 11, 2008",6.95,7.10,6.90,6.95,183.49,0
"Price list and trading summary for Thursday, June 19, 2008",7.80,7.90,7.80,7.85,58.89,0
"Price list and trading summary for Friday, June 20, 2008",7.85,7.90,7.70,7.80,61.27,0
"Price list and trading summary for Monday, June 23, 2008",7.80,7.90,7.75,7.80,100.39,0
"Price list and trading summary for Wednesday, June 25, 2008",7.70,7.70,7.40,7.55,68.55,0
"Price list and trading summary for Thursday, June 26, 2008",7.55,7.50,7.05,7.25,56.22,0
"Price list and trading summary for Friday, June 27, 2008",7.25,7.40,7.20,7.25,77.78,0
"Price list and trading summary for Monday, June 30, 2008",7.25,7.55,7.30,7.40,36.38,0
"Price list and trading summary for Tuesday, July 01, 2008",7.40,7.50,7.25,7.35,41.09,0
"Price list and trading summary for Thursday, July 03, 2008",7.25,7.40,7.00,7.20,47.49,0
"Price list and trading summary for Monday, June 09, 2008",5.00,8.00,6.95,7.35,416.38,0
"Price list and trading summary for Monday, July 07, 2008",7.10,7.20,6.95,7.05,29.58,0
"Price list and trading summary for Tuesday, July 08, 2008",7.05,7.00,6.85,6.90,21.29,0
"Price list and trading summary for Wednesday, July 09, 2008",6.90,7.00,6.75,6.80,33.55,0
"Price list and trading summary for Friday, July 11, 2008",6.95,7.00,6.85,6.90,21.28,0
"Price list and trading summary for Tuesday, June 10, 2008",7.35,8.00,6.65,6.95,127.31,0
"Price list and trading summary for Wednesday, June 18, 2008",7.80,7.90,7.70,7.80,112.66,0
"Price list and trading summary for Tuesday, June 24, 2008",7.80,7.80,7.55,7.70,56.94,0
