"Price list and trading summary for Wednesday, April 02, 2014",29.75,29.00,29.00,29.00,400,0
"Price list and trading summary for Monday, September 11, 2006",10.45,44.00,43.00,43.50,"3,000",31.25
"Price list and trading summary for Tuesday, September 12, 2006",43.50,46.50,41.00,44.75,"37,700",32.14
"Price list and trading summary for Wednesday, September 13, 2006",44.75,49.50,45.00,48.75,"20,400",35.02
"Price list and trading summary for Friday, September 22, 2006",59.50,58.00,54.00,56.50,"47,700",40.58
"Price list and trading summary for Tuesday, September 26, 2006",56.00,55.00,52.00,52.00,"16,700",37.35
"Price list and trading summary for Wednesday, September 27, 2006",52.00,57.00,52.00,55.50,"3,500",39.87
"Price list and trading summary for Tuesday, September 19, 2006",57.00,63.00,59.00,60.50,"48,900",43.46
"Price list and trading summary for Wednesday, September 20, 2006",60.50,60.00,57.50,59.50,"111,200",42.74
"Price list and trading summary for Thursday, September 28, 2006",55.50,55.00,51.50,53.50,"11,400",38.43
"Price list and trading summary for Thursday, September 14, 2006",48.75,54.00,51.00,52.00,"6,300",37.35
"Price list and trading summary for Monday, September 18, 2006",55.50,61.00,50.00,57.00,"27,900",40.94
"Price list and trading summary for Friday, September 15, 2006",52.00,57.50,55.00,55.50,"4,700",39.87
"Price list and trading summary for Thursday, September 21, 2006",59.50,62.00,57.00,59.50,"30,700",42.74
"Price list and trading summary for Tuesday, October 03, 2006",53.00,56.00,52.00,52.50,"39,300",37.71
"Price list and trading summary for Monday, October 02, 2006",53.00,54.00,52.00,53.00,"15,600",38.07
"Price list and trading summary for Friday, September 29, 2006",53.50,55.00,51.00,53.00,"6,200",38.07
"Price list and trading summary for Thursday, October 05, 2006",53.00,53.00,51.50,52.00,"30,900",37.35
"Price list and trading summary for Monday, October 09, 2006",52.00,53.00,52.00,52.00,"2,100",37.35
"Price list and trading summary for Thursday, October 12, 2006",53.00,55.00,48.00,52.50,"16,800",37.71
"Price list and trading summary for Friday, October 13, 2006",52.50,53.00,50.00,50.50,"20,000",36.27
"Price list and trading summary for Wednesday, October 04, 2006",52.50,56.00,52.00,53.00,"10,100",38.07
"Price list and trading summary for Tuesday, October 17, 2006",52.00,53.00,51.00,51.50,"4,500",36.99
"Price list and trading summary for Wednesday, October 18, 2006",51.50,53.00,52.00,52.50,"5,200",37.71
