"Price list and trading summary for Wednesday, April 02, 2014",28.00,30.00,28.00,28.75,"113,600",0
"Price list and trading summary for Thursday, July 14, 2011",-,60.00,50.00,57.00,1.14,0
"Price list and trading summary for Wednesday, July 20, 2011",49.50,50.00,48.75,49.00,"4,300",0
"Price list and trading summary for Thursday, July 21, 2011",49.00,49.00,47.75,48.00,"4,300",0
"Price list and trading summary for Monday, July 25, 2011",47.50,47.00,44.00,45.25,"20,800",0
"Price list and trading summary for Tuesday, July 26, 2011",45.25,44.00,44.00,44.00,"2,400",0
"Price list and trading summary for Wednesday, July 27, 2011",44.00,45.00,40.00,42.25,400,0
"Price list and trading summary for Thursday, July 28, 2011",42.25,42.50,42.50,42.50,500,0
"Price list and trading summary for Friday, July 29, 2011",42.50,43.00,42.00,42.75,"3,600",0
"Price list and trading summary for Monday, August 01, 2011",42.75,42.50,42.50,42.50,"1,000",0
"Price list and trading summary for Tuesday, July 19, 2011",49.50,50.00,49.00,49.50,"36,000",0
"Price list and trading summary for Friday, August 05, 2011",39.50,39.00,39.00,39.00,"549,500",0
"Price list and trading summary for Monday, July 18, 2011",52.50,50.00,47.50,49.50,"60,900",0
"Price list and trading summary for Wednesday, August 10, 2011",39.00,39.25,39.00,39.00,"12,300",0
"Price list and trading summary for Tuesday, August 02, 2011",42.50,42.00,41.50,41.50,"9,500",0
"Price list and trading summary for Friday, July 15, 2011",57.00,57.00,51.50,52.50,"95,000",0
"Price list and trading summary for Monday, August 15, 2011",39.50,40.00,38.00,38.75,"40,400",0
"Price list and trading summary for Friday, July 22, 2011",48.00,47.75,47.50,47.50,"1,500",0
"Price list and trading summary for Tuesday, August 09, 2011",39.00,39.00,39.00,39.00,"52,600",0
"Price list and trading summary for Thursday, August 18, 2011",38.50,38.50,38.50,38.50,0,0
"Price list and trading summary for Friday, August 19, 2011",38.50,40.00,37.25,39.00,"2,500",0
"Price list and trading summary for Thursday, August 04, 2011",39.00,40.00,39.00,39.50,"15,200",0
"Price list and trading summary for Monday, August 08, 2011",39.00,41.00,39.00,39.00,"38,100",0
"Price list and trading summary for Thursday, August 11, 2011",39.00,39.00,39.00,39.00,0,0
"Price list and trading summary for Wednesday, August 03, 2011",41.50,39.00,39.00,39.00,300,0
"Price list and trading summary for Friday, August 26, 2011",38.00,38.00,38.00,38.00,200,0
"Price list and trading summary for Friday, August 12, 2011",39.00,40.00,39.00,39.50,"99,200",0
"Price list and trading summary for Tuesday, August 30, 2011",38.00,38.00,38.00,38.00,0,0
"Price list and trading summary for Tuesday, August 30, 2011",38.00,38.00,38.00,38.00,0,0
"Price list and trading summary for Thursday, September 01, 2011",38.00,38.00,38.00,38.00,100,0
"Price list and trading summary for Monday, August 22, 2011",39.00,40.00,38.50,39.75,"11,700",0
"Price list and trading summary for Monday, September 05, 2011",35.25,38.00,38.00,38.00,500,0
"Price list and trading summary for Tuesday, September 06, 2011",38.00,38.00,38.00,38.00,200,0
"Price list and trading summary for Tuesday, August 16, 2011",38.75,42.00,40.00,41.00,"82,000",0
"Price list and trading summary for Wednesday, September 07, 2011",38.00,37.75,37.75,37.75,6.91,0
"Price list and trading summary for Friday, September 09, 2011",37.75,37.75,37.75,37.75,0,0
"Price list and trading summary for Thursday, August 25, 2011",39.75,39.00,38.00,38.00,"7,600",0
"Price list and trading summary for Wednesday, August 17, 2011",41.00,40.00,38.00,38.50,"4,000",0
"Price list and trading summary for Wednesday, September 14, 2011",33.00,33.00,33.00,33.00,"1,500",0
