"Price list and trading summary for Wednesday, April 02, 2014",23.75,23.75,23.25,23.25,"8,500",0
"Price list and trading summary for Monday, September 11, 2006",10.45,38.00,36.00,37.25,"26,000",0
"Price list and trading summary for Tuesday, September 12, 2006",37.25,38.00,36.00,37.25,"34,500",0
"Price list and trading summary for Wednesday, September 13, 2006",37.25,37.50,36.00,36.50,"35,100",0
"Price list and trading summary for Friday, September 22, 2006",36.00,37.00,35.00,35.75,"82,800",0
"Price list and trading summary for Tuesday, September 26, 2006",36.00,37.50,35.00,36.25,"100,900",0
"Price list and trading summary for Wednesday, September 27, 2006",36.25,37.00,36.00,36.50,"18,900",0
"Price list and trading summary for Wednesday, September 20, 2006",36.50,37.00,34.25,35.50,"136,200",0
"Price list and trading summary for Tuesday, September 19, 2006",36.75,37.00,36.00,36.50,"33,000",0
"Price list and trading summary for Thursday, September 28, 2006",36.50,37.25,36.00,36.75,"76,900",0
"Price list and trading summary for Monday, September 18, 2006",36.75,37.00,36.00,36.75,"55,400",0
"Price list and trading summary for Friday, September 15, 2006",37.00,37.00,36.00,36.75,"75,100",0
"Price list and trading summary for Thursday, September 14, 2006",36.50,38.00,36.50,37.00,"29,500",0
"Price list and trading summary for Thursday, September 21, 2006",35.50,37.00,35.00,36.00,"199,800",0
"Price list and trading summary for Tuesday, October 03, 2006",36.75,37.00,35.00,36.00,"40,000",0
"Price list and trading summary for Monday, October 02, 2006",37.25,37.00,36.00,36.75,"45,000",0
"Price list and trading summary for Friday, September 29, 2006",36.75,38.75,36.00,37.25,"121,500",0
"Price list and trading summary for Thursday, October 05, 2006",36.75,37.00,35.75,36.25,"25,300",0
"Price list and trading summary for Monday, October 09, 2006",36.75,38.50,36.00,37.25,"331,200",0
"Price list and trading summary for Thursday, October 12, 2006",36.50,37.00,34.00,36.25,"27,800",0
"Price list and trading summary for Friday, October 13, 2006",36.25,37.00,35.00,36.50,"47,800",0
"Price list and trading summary for Wednesday, October 04, 2006",36.00,37.00,36.00,36.75,"35,700",0
"Price list and trading summary for Tuesday, October 17, 2006",37.00,37.00,36.00,36.50,"31,300",0
"Price list and trading summary for Wednesday, October 18, 2006",36.50,37.00,36.00,36.50,"21,400",0
"Price list and trading summary for Thursday, October 19, 2006",36.50,37.00,36.00,36.25,"28,100",0
"Price list and trading summary for Monday, October 23, 2006",36.25,37.00,35.50,36.25,"27,100",0
"Price list and trading summary for Monday, September 25, 2006",35.75,37.00,35.00,36.00,"23,400",0
"Price list and trading summary for Wednesday, October 25, 2006",36.25,37.00,36.00,36.75,"12,900",0
"Price list and trading summary for Monday, October 16, 2006",36.50,37.00,37.00,37.00,"7,700",0
"Price list and trading summary for Thursday, October 26, 2006",36.75,37.00,36.50,36.75,"36,000",0
"Price list and trading summary for Friday, October 27, 2006",36.75,37.00,34.00,35.50,"121,200",0
"Price list and trading summary for Tuesday, October 31, 2006",35.25,36.00,34.50,35.00,"133,500",0
"Price list and trading summary for Wednesday, November 01, 2006",35.00,36.50,35.00,35.75,"91,300",0
"Price list and trading summary for Thursday, November 02, 2006",35.75,37.00,35.00,35.00,"180,100",0
"Price list and trading summary for Friday, November 03, 2006",35.00,35.00,32.00,34.50,"84,800",0
"Price list and trading summary for Monday, November 06, 2006",34.50,35.00,33.00,34.75,"434,500",0
"Price list and trading summary for Tuesday, November 07, 2006",34.75,35.50,34.00,34.00,"127,000",0
"Price list and trading summary for Wednesday, November 08, 2006",34.00,36.00,34.00,34.75,"18,000",0
"Price list and trading summary for Thursday, November 09, 2006",34.75,36.00,35.00,35.50,"51,300",0
"Price list and trading summary for Monday, November 13, 2006",35.25,35.00,34.00,34.25,"12,900",0
"Price list and trading summary for Tuesday, November 14, 2006",34.25,36.00,34.50,35.00,"17,800",0
"Price list and trading summary for Wednesday, November 15, 2006",35.00,35.50,34.50,35.00,"10,500",0
"Price list and trading summary for Friday, October 06, 2006",36.25,37.00,36.00,36.75,"32,500",0
"Price list and trading summary for Thursday, November 16, 2006",35.00,35.50,34.50,35.25,"2,900",0
"Price list and trading summary for Friday, November 17, 2006",35.25,35.00,33.00,34.50,"13,300",0
"Price list and trading summary for Monday, November 20, 2006",34.50,36.00,34.00,34.25,"52,100",0
"Price list and trading summary for Monday, October 09, 2006",36.75,38.50,36.00,37.25,"331,200",0
"Price list and trading summary for Tuesday, November 21, 2006",34.25,35.00,33.00,33.75,"13,800",0
"Price list and trading summary for Wednesday, November 22, 2006",33.75,35.00,34.25,34.75,"7,300",0
"Price list and trading summary for Thursday, November 23, 2006",34.75,34.00,33.00,33.75,"19,200",0
"Price list and trading summary for Friday, November 24, 2006",33.75,35.00,33.00,34.25,"10,000",0
"Price list and trading summary for Monday, November 27, 2006",34.25,35.00,34.00,34.75,"19,300",0
"Price list and trading summary for Tuesday, November 28, 2006",34.75,34.50,33.00,33.75,"81,100",0
"Price list and trading summary for Wednesday, November 29, 2006",33.75,35.00,33.50,34.25,"55,600",0
"Price list and trading summary for Friday, December 01, 2006",33.50,34.00,34.00,34.00,"5,500",0
"Price list and trading summary for Thursday, November 30, 2006",34.25,35.00,33.00,33.50,"60,200",0
"Price list and trading summary for Monday, December 04, 2006",34.00,35.00,32.00,32.50,"67,000",0
"Price list and trading summary for Tuesday, December 05, 2006",32.50,34.00,30.50,32.25,"3,000",0
"Price list and trading summary for Wednesday, December 06, 2006",32.25,34.00,33.00,33.75,"13,200",0
"Price list and trading summary for Thursday, December 07, 2006",33.75,34.00,33.00,33.00,"4,600",0
"Price list and trading summary for Friday, December 08, 2006",33.00,35.00,32.50,33.00,"74,500",0
"Price list and trading summary for Monday, December 11, 2006",33.00,33.50,32.00,32.00,"24,600",0
"Price list and trading summary for Wednesday, December 13, 2006",32.00,33.00,32.75,32.75,"6,400",0
"Price list and trading summary for Thursday, December 14, 2006",32.75,34.00,31.00,32.50,"25,500",0
"Price list and trading summary for Monday, December 18, 2006",32.75,34.00,33.00,33.00,"34,800",0
"Price list and trading summary for Tuesday, December 19, 2006",33.00,35.00,33.00,34.50,"1,800",0
"Price list and trading summary for Wednesday, December 20, 2006",34.50,34.00,34.00,34.00,"1,600",0
"Price list and trading summary for Thursday, December 21, 2006",34.00,35.00,33.50,34.00,"16,500",0
"Price list and trading summary for Friday, December 22, 2006",34.00,35.00,33.00,33.75,"23,000",0
"Price list and trading summary for Wednesday, October 11, 2006",37.25,37.00,36.00,36.50,"21,400",0
"Price list and trading summary for Monday, October 30, 2006",35.50,36.00,34.50,35.25,"35,800",0
"Price list and trading summary for Wednesday, December 27, 2006",33.75,34.00,33.00,33.75,"21,800",0
"Price list and trading summary for Monday, October 23, 2006",36.25,37.00,35.50,36.25,"27,100",0
"Price list and trading summary for Thursday, December 28, 2006",33.75,35.00,33.00,33.25,"80,400",0
"Price list and trading summary for Friday, December 29, 2006",33.25,35.00,33.00,34.25,"42,000",0
"Price list and trading summary for Tuesday, January 02, 2007",34.25,35.00,33.00,34.50,800,0
"Price list and trading summary for Wednesday, January 03, 2007",34.50,36.00,34.50,35.00,"1,400",0
"Price list and trading summary for Thursday, January 04, 2007",35.00,36.00,33.00,35.75,"26,900",0
"Price list and trading summary for Friday, January 05, 2007",35.75,36.50,34.00,35.75,"31,000",0
"Price list and trading summary for Monday, January 08, 2007",35.75,37.00,34.00,35.75,"36,800",0
"Price list and trading summary for Tuesday, January 09, 2007",35.75,37.00,34.00,35.50,"75,700",0
"Price list and trading summary for Wednesday, January 10, 2007",35.50,37.50,36.00,36.75,"74,700",0
"Price list and trading summary for Thursday, January 11, 2007",36.75,39.00,37.00,37.25,"86,700",0
"Price list and trading summary for Friday, January 12, 2007",37.25,38.25,37.00,37.00,"73,200",0
"Price list and trading summary for Monday, January 15, 2007",37.00,37.00,35.50,36.50,"66,000",0
"Price list and trading summary for Tuesday, January 16, 2007",36.50,37.00,33.00,35.25,"74,700",0
"Price list and trading summary for Wednesday, January 17, 2007",35.25,37.00,34.00,35.50,"14,100",0
"Price list and trading summary for Thursday, January 18, 2007",35.50,36.00,35.00,35.50,"27,200",0
"Price list and trading summary for Thursday, October 19, 2006",36.50,37.00,36.00,36.25,"28,100",0
"Price list and trading summary for Monday, January 22, 2007",35.00,36.00,35.00,35.25,"71,700",0
"Price list and trading summary for Tuesday, January 23, 2007",35.25,36.00,34.00,35.75,"8,500",0
"Price list and trading summary for Wednesday, January 24, 2007",35.75,36.00,34.00,35.25,"36,800",0
"Price list and trading summary for Thursday, January 25, 2007",35.25,36.00,35.00,35.00,"54,100",0
"Price list and trading summary for Friday, January 26, 2007",35.00,36.00,32.75,34.25,"52,700",0
"Price list and trading summary for Monday, January 29, 2007",34.25,35.00,34.00,34.75,"21,400",0
"Price list and trading summary for Friday, December 15, 2006",32.50,33.00,32.50,32.75,"28,700",0
"Price list and trading summary for Friday, November 10, 2006",35.50,36.00,34.25,35.25,"35,600",0
"Price list and trading summary for Tuesday, January 30, 2007",34.75,34.50,34.00,34.00,"34,700",0
"Price list and trading summary for Monday, December 11, 2006",33.00,33.50,32.00,32.00,"24,600",0
"Price list and trading summary for Thursday, February 01, 2007",33.00,34.00,33.00,33.75,"8,100",0
"Price list and trading summary for Wednesday, January 31, 2007",34.00,34.00,32.50,33.00,"25,200",0
"Price list and trading summary for Friday, February 02, 2007",33.75,33.75,30.75,32.75,"5,400",0
"Price list and trading summary for Monday, February 05, 2007",32.75,34.00,32.00,33.00,"26,300",0
"Price list and trading summary for Friday, December 29, 2006",33.25,35.00,33.00,34.25,"42,000",0
"Price list and trading summary for Wednesday, February 07, 2007",32.50,34.00,32.00,32.75,"26,700",0
"Price list and trading summary for Friday, December 22, 2006",34.00,35.00,33.00,33.75,"23,000",0
"Price list and trading summary for Tuesday, February 06, 2007",33.00,33.00,31.00,32.50,"20,700",0
"Price list and trading summary for Friday, December 22, 2006",34.00,35.00,33.00,33.75,"23,000",0
"Price list and trading summary for Friday, February 09, 2007",32.75,34.00,33.00,33.50,"29,300",0
"Price list and trading summary for Tuesday, February 13, 2007",33.25,36.50,32.00,33.00,"66,900",0
"Price list and trading summary for Wednesday, February 14, 2007",33.00,33.00,32.75,32.75,"10,400",0
"Price list and trading summary for Monday, February 19, 2007",31.75,32.00,31.50,31.50,"25,600",0
"Price list and trading summary for Friday, February 16, 2007",32.50,32.50,31.50,31.75,"3,900",0
"Price list and trading summary for Thursday, February 22, 2007",30.00,32.00,29.00,30.00,"119,100",0
"Price list and trading summary for Wednesday, February 21, 2007",31.00,30.50,30.00,30.00,"50,700",0
"Price list and trading summary for Thursday, February 08, 2007",32.75,33.50,30.00,32.75,"23,000",0
"Price list and trading summary for Monday, February 26, 2007",29.75,30.00,29.00,29.50,"8,600",0
"Price list and trading summary for Friday, February 23, 2007",30.00,30.00,29.00,29.75,"16,800",0
"Price list and trading summary for Tuesday, February 27, 2007",29.50,30.00,29.00,29.75,"56,300",0
"Price list and trading summary for Wednesday, February 28, 2007",29.75,30.00,29.00,29.00,"60,900",0
"Price list and trading summary for Thursday, March 01, 2007",29.00,30.00,28.00,28.75,"17,300",0
"Price list and trading summary for Monday, March 05, 2007",29.00,30.00,29.50,29.50,"128,200",0
"Price list and trading summary for Friday, March 02, 2007",28.75,29.50,29.00,29.00,"10,200",0
"Price list and trading summary for Wednesday, March 07, 2007",31.75,30.00,29.00,29.25,"218,800",0
"Price list and trading summary for Tuesday, March 06, 2007",29.50,33.00,30.00,31.75,"4,400",0
"Price list and trading summary for Friday, March 09, 2007",29.25,29.50,29.50,29.50,"87,600",0
"Price list and trading summary for Monday, March 12, 2007",29.50,30.00,29.00,29.25,"4,400",0
"Price list and trading summary for Tuesday, March 13, 2007",29.25,30.00,29.50,29.75,"18,200",0
"Price list and trading summary for Wednesday, March 14, 2007",29.75,30.00,27.00,28.25,"21,900",0
"Price list and trading summary for Thursday, March 08, 2007",29.25,30.00,29.00,29.25,"16,700",0
"Price list and trading summary for Thursday, March 15, 2007",28.25,32.00,28.00,29.25,"268,400",0
"Price list and trading summary for Monday, March 19, 2007",28.00,30.00,28.00,29.25,"3,900",0
"Price list and trading summary for Wednesday, March 21, 2007",29.75,29.50,29.00,29.00,"13,500",0
