"Price list and trading summary for Wednesday, April 02, 2014",43.75,43.75,43.00,43.50,"16,700",0
"Price list and trading summary for Monday, September 11, 2006",10.45,102.00,95.00,99.50,"7,800",71.07
"Price list and trading summary for Tuesday, September 12, 2006",99.50,101.00,97.00,98.00,"8,500",70.00
"Price list and trading summary for Wednesday, September 13, 2006",98.00,100.00,90.00,96.00,"24,700",68.57
"Price list and trading summary for Friday, September 22, 2006",85.00,92.00,85.00,85.50,"173,300",61.07
"Price list and trading summary for Tuesday, September 26, 2006",85.00,92.00,85.00,86.00,"27,700",61.43
"Price list and trading summary for Wednesday, September 27, 2006",86.00,92.00,87.00,90.00,"44,500",64.29
"Price list and trading summary for Wednesday, September 20, 2006",87.00,95.00,85.00,86.50,"177,100",61.79
"Price list and trading summary for Tuesday, September 19, 2006",85.00,92.00,85.00,87.00,"74,700",62.14
"Price list and trading summary for Thursday, September 28, 2006",90.00,96.00,85.00,86.00,"347,800",61.43
"Price list and trading summary for Thursday, September 14, 2006",96.00,98.00,84.00,89.50,"15,700",63.93
"Price list and trading summary for Monday, September 18, 2006",86.50,92.50,85.00,85.00,"275,000",60.71
"Price list and trading summary for Friday, September 15, 2006",89.50,95.00,85.00,86.50,"350,700",61.79
"Price list and trading summary for Thursday, September 21, 2006",86.50,92.00,84.00,85.00,1.38,60.71
"Price list and trading summary for Tuesday, October 03, 2006",90.00,95.00,85.00,90.00,"56,500",64.29
"Price list and trading summary for Friday, September 29, 2006",86.00,92.00,85.00,85.50,"120,700",61.07
"Price list and trading summary for Monday, October 02, 2006",85.50,92.00,85.00,90.00,"8,100",64.29
"Price list and trading summary for Thursday, October 05, 2006",91.00,95.00,85.00,85.00,1.64,60.71
"Price list and trading summary for Monday, October 09, 2006",85.00,93.50,85.00,85.00,7.45,60.71
"Price list and trading summary for Thursday, October 12, 2006",91.50,100.00,86.00,98.50,"516,400",70.36
"Price list and trading summary for Friday, October 13, 2006",98.50,102.00,91.50,97.00,"159,300",69.29
"Price list and trading summary for Wednesday, October 04, 2006",90.00,94.00,85.00,91.00,"83,600",65.00
"Price list and trading summary for Tuesday, October 17, 2006",96.00,98.00,85.00,91.00,"201,100",65.00
"Price list and trading summary for Wednesday, October 18, 2006",91.00,99.00,87.00,92.50,"329,600",66.07
"Price list and trading summary for Thursday, October 19, 2006",92.50,94.00,85.00,90.00,"196,300",64.29
"Price list and trading summary for Monday, October 23, 2006",90.00,90.00,83.00,85.50,"158,700",61.07
"Price list and trading summary for Monday, September 25, 2006",85.50,86.00,84.00,85.00,"97,000",60.71
"Price list and trading summary for Wednesday, October 25, 2006",85.50,92.00,85.00,89.50,"104,200",63.93
"Price list and trading summary for Monday, October 16, 2006",97.00,98.00,88.00,96.00,"73,300",68.57
"Price list and trading summary for Thursday, October 26, 2006",89.50,93.00,87.00,91.00,"68,000",65.00
"Price list and trading summary for Friday, October 27, 2006",91.00,96.00,90.00,92.50,"76,100",66.07
"Price list and trading summary for Tuesday, October 31, 2006",87.50,90.00,83.00,85.50,"128,100",61.07
"Price list and trading summary for Wednesday, November 01, 2006",85.50,90.00,84.00,87.50,"23,100",62.50
