"Price list and trading summary for Wednesday, April 02, 2014",22.50,23.50,23.50,23.50,100,0
"Price list and trading summary for Monday, September 11, 2006",10.45,18.00,17.00,17.85,"15,800",14.88
"Price list and trading summary for Tuesday, September 12, 2006",17.85,18.50,18.00,18.15,"53,700",15.13
"Price list and trading summary for Wednesday, September 13, 2006",18.15,18.00,17.90,17.95,"75,000",14.96
"Price list and trading summary for Friday, September 22, 2006",16.25,17.00,15.70,16.80,"90,600",14.00
"Price list and trading summary for Tuesday, September 26, 2006",17.85,19.00,17.00,18.05,"21,300",15.04
"Price list and trading summary for Wednesday, September 27, 2006",18.05,18.00,17.50,17.80,"7,700",14.83
"Price list and trading summary for Tuesday, September 19, 2006",18.25,18.00,16.00,16.80,"38,800",14.00
"Price list and trading summary for Wednesday, September 20, 2006",16.80,17.00,17.00,17.00,"26,500",14.17
"Price list and trading summary for Thursday, September 28, 2006",17.80,18.00,17.00,17.70,"14,800",14.75
"Price list and trading summary for Monday, September 18, 2006",18.30,19.00,17.00,18.25,"47,800",15.21
"Price list and trading summary for Friday, September 15, 2006",17.70,18.75,17.20,18.30,"51,900",15.25
"Price list and trading summary for Thursday, September 14, 2006",17.95,19.00,17.50,17.70,"66,600",14.75
"Price list and trading summary for Thursday, September 21, 2006",17.00,18.00,15.30,16.25,"27,100",13.54
"Price list and trading summary for Tuesday, October 03, 2006",17.00,18.00,17.00,17.45,"14,200",14.54
"Price list and trading summary for Friday, September 29, 2006",17.70,18.25,17.00,17.15,"135,600",14.29
"Price list and trading summary for Monday, October 02, 2006",17.15,17.50,17.00,17.00,"28,700",14.17
"Price list and trading summary for Thursday, October 05, 2006",17.50,17.60,16.00,17.40,"14,300",14.50
"Price list and trading summary for Monday, October 09, 2006",17.60,17.50,17.00,17.00,"19,700",14.17
"Price list and trading summary for Thursday, October 12, 2006",17.00,17.00,16.00,16.15,"4,000",13.46
"Price list and trading summary for Friday, October 13, 2006",16.15,16.50,15.00,15.45,"16,900",12.88
"Price list and trading summary for Wednesday, October 04, 2006",17.45,18.00,16.00,17.50,"23,000",14.58
"Price list and trading summary for Tuesday, October 17, 2006",15.85,16.50,15.40,15.70,"32,900",13.08
"Price list and trading summary for Wednesday, October 18, 2006",15.70,16.50,15.50,16.45,"22,300",13.71
"Price list and trading summary for Thursday, October 19, 2006",16.45,16.50,16.00,16.25,"9,800",13.54
"Price list and trading summary for Monday, October 23, 2006",16.25,16.50,16.10,16.20,"17,700",13.50
"Price list and trading summary for Monday, September 25, 2006",16.80,18.25,17.50,17.85,"43,300",14.88
"Price list and trading summary for Wednesday, October 25, 2006",16.20,16.50,16.20,16.25,"34,400",13.54
"Price list and trading summary for Monday, October 16, 2006",15.45,16.50,15.05,15.85,"16,500",13.21
"Price list and trading summary for Thursday, October 26, 2006",16.25,17.00,16.00,16.15,"19,100",13.46
