"Price list and trading summary for Wednesday, April 02, 2014",290.00,290.00,290.00,290.00,0,0
"Price list and trading summary for Monday, September 11, 2006",10.45,81.00,81.00,81.00,"3,000",0
"Price list and trading summary for Tuesday, September 12, 2006",81.00,83.00,80.00,81.50,400,0
"Price list and trading summary for Tuesday, September 26, 2006",78.50,80.00,80.00,80.00,500,0
"Price list and trading summary for Thursday, September 28, 2006",80.00,80.00,80.00,80.00,"2,200",0
"Price list and trading summary for Wednesday, September 20, 2006",78.50,83.00,78.00,78.50,"2,700",0
"Price list and trading summary for Monday, September 18, 2006",81.50,80.00,76.00,78.50,"9,800",0
"Price list and trading summary for Tuesday, October 03, 2006",81.00,80.00,80.00,80.00,"2,000",0
"Price list and trading summary for Monday, October 02, 2006",80.00,81.00,81.00,81.00,"1,600",0
"Price list and trading summary for Friday, September 29, 2006",80.00,80.00,80.00,80.00,"19,000",0
"Price list and trading summary for Monday, October 09, 2006",80.00,80.00,80.00,80.00,"4,500",0
"Price list and trading summary for Thursday, October 12, 2006",80.00,80.00,78.00,78.50,"9,400",0
"Price list and trading summary for Wednesday, October 04, 2006",80.00,80.00,80.00,80.00,"1,000",0
"Price list and trading summary for Friday, October 13, 2006",78.50,80.00,78.00,79.50,600,0
"Price list and trading summary for Tuesday, October 17, 2006",75.50,78.00,75.00,75.00,"1,600",0
"Price list and trading summary for Wednesday, October 18, 2006",75.00,78.00,75.00,76.50,"6,300",0
"Price list and trading summary for Monday, October 23, 2006",75.00,75.00,74.00,74.50,"1,900",0
"Price list and trading summary for Thursday, October 19, 2006",76.50,75.00,75.00,75.00,"1,000",0
"Price list and trading summary for Monday, October 16, 2006",79.50,78.00,75.00,75.50,"9,600",0
"Price list and trading summary for Thursday, October 26, 2006",74.50,76.00,70.00,73.50,"4,700",0
"Price list and trading summary for Friday, October 27, 2006",73.50,74.00,74.00,74.00,300,0
"Price list and trading summary for Wednesday, November 01, 2006",74.00,81.00,81.00,81.00,500,0
"Price list and trading summary for Thursday, November 02, 2006",81.00,80.00,78.00,78.50,"2,600",0
"Price list and trading summary for Friday, November 03, 2006",78.50,81.00,81.00,81.00,"2,800",0
"Price list and trading summary for Monday, November 06, 2006",81.00,87.00,85.00,86.00,300,0
"Price list and trading summary for Tuesday, November 07, 2006",86.00,94.00,82.00,85.00,"12,100",0
"Price list and trading summary for Wednesday, November 08, 2006",85.00,93.50,93.00,93.00,"4,000",0
"Price list and trading summary for Thursday, November 09, 2006",93.00,95.00,93.00,93.50,"29,300",0
"Price list and trading summary for Monday, November 13, 2006",97.00,104.00,104.00,104.00,"2,400",0
"Price list and trading summary for Tuesday, November 14, 2006",104.00,104.00,104.00,104.00,"1,500",0
"Price list and trading summary for Wednesday, November 15, 2006",104.00,110.00,110.00,110.00,"1,000",0
"Price list and trading summary for Friday, October 06, 2006",80.00,80.00,80.00,80.00,"2,000",0
"Price list and trading summary for Thursday, November 16, 2006",110.00,115.00,110.00,113.00,"3,300",0
"Price list and trading summary for Friday, November 17, 2006",113.00,118.00,111.00,116.00,"2,500",0
"Price list and trading summary for Monday, November 20, 2006",116.00,120.00,115.00,115.00,"5,500",0
"Price list and trading summary for Monday, October 09, 2006",80.00,80.00,80.00,80.00,"4,500",0
"Price list and trading summary for Tuesday, November 21, 2006",115.00,120.00,118.00,118.00,"4,600",0
"Price list and trading summary for Wednesday, November 22, 2006",118.00,120.00,115.00,115.00,"19,500",0
"Price list and trading summary for Thursday, November 23, 2006",115.00,118.00,115.00,115.00,"1,000",0
"Price list and trading summary for Friday, November 24, 2006",115.00,115.00,115.00,115.00,"2,000",0
"Price list and trading summary for Tuesday, November 28, 2006",115.00,114.00,114.00,114.00,"1,000",0
"Price list and trading summary for Wednesday, November 29, 2006",114.00,110.00,95.00,109.00,"5,300",0
"Price list and trading summary for Friday, December 01, 2006",110.00,115.00,110.00,113.00,"3,000",0
"Price list and trading summary for Monday, December 04, 2006",113.00,118.00,115.00,116.00,"4,300",0
"Price list and trading summary for Thursday, November 30, 2006",109.00,110.00,110.00,110.00,"65,900",0
"Price list and trading summary for Tuesday, December 05, 2006",116.00,115.00,110.00,112.00,"12,100",0
"Price list and trading summary for Thursday, December 07, 2006",114.00,118.00,111.00,113.00,"14,700",0
"Price list and trading summary for Friday, December 08, 2006",113.00,115.00,115.00,115.00,"2,100",0
"Price list and trading summary for Wednesday, December 06, 2006",112.00,115.00,110.00,114.00,"1,900",0
"Price list and trading summary for Monday, December 11, 2006",115.00,115.00,114.00,114.00,"1,500",0
"Price list and trading summary for Wednesday, December 13, 2006",114.00,116.00,115.00,115.00,500,0
"Price list and trading summary for Thursday, December 14, 2006",115.00,115.00,115.00,115.00,300,0
"Price list and trading summary for Monday, December 18, 2006",115.00,120.00,120.00,120.00,"4,000",0
"Price list and trading summary for Tuesday, December 19, 2006",120.00,120.00,120.00,120.00,"3,500",0
"Price list and trading summary for Wednesday, December 20, 2006",120.00,120.00,120.00,120.00,"5,000",0
"Price list and trading summary for Wednesday, October 11, 2006",80.00,80.00,80.00,80.00,"2,000",0
"Price list and trading summary for Wednesday, December 27, 2006",120.00,120.00,120.00,120.00,500,0
"Price list and trading summary for Monday, October 23, 2006",75.00,75.00,74.00,74.50,"1,900",0
"Price list and trading summary for Friday, December 29, 2006",120.00,118.00,118.00,118.00,"4,000",0
"Price list and trading summary for Tuesday, January 02, 2007",118.00,120.00,120.00,120.00,"10,000",0
"Price list and trading summary for Wednesday, January 03, 2007",120.00,120.00,120.00,120.00,"2,000",0
"Price list and trading summary for Thursday, January 04, 2007",120.00,112.00,112.00,112.00,"2,700",0
"Price list and trading summary for Friday, January 05, 2007",112.00,113.00,112.00,112.00,900,0
"Price list and trading summary for Monday, January 08, 2007",112.00,113.00,113.00,113.00,200,0
"Price list and trading summary for Tuesday, January 09, 2007",113.00,120.00,120.00,120.00,"1,100",0
"Price list and trading summary for Wednesday, January 10, 2007",120.00,112.00,112.00,112.00,500,0
"Price list and trading summary for Thursday, January 11, 2007",112.00,115.00,115.00,115.00,500,0
"Price list and trading summary for Friday, January 12, 2007",115.00,125.00,120.00,120.00,"3,000",0
"Price list and trading summary for Monday, January 15, 2007",120.00,130.00,125.00,126.00,"1,300",0
"Price list and trading summary for Tuesday, January 16, 2007",126.00,125.00,122.00,122.00,"1,700",0
"Price list and trading summary for Wednesday, January 17, 2007",122.00,130.00,122.00,126.00,"2,000",0
"Price list and trading summary for Thursday, January 18, 2007",126.00,130.00,130.00,130.00,100,0
"Price list and trading summary for Thursday, October 19, 2006",76.50,75.00,75.00,75.00,"1,000",0
"Price list and trading summary for Monday, January 22, 2007",129.00,140.00,140.00,140.00,100,0
"Price list and trading summary for Tuesday, January 23, 2007",140.00,150.00,141.00,147.00,"1,100",0
"Price list and trading summary for Wednesday, January 24, 2007",147.00,160.00,157.00,159.00,"21,500",0
"Price list and trading summary for Thursday, January 25, 2007",159.00,165.00,159.00,160.00,"9,600",0
"Price list and trading summary for Friday, January 26, 2007",160.00,160.00,160.00,160.00,500,0
"Price list and trading summary for Friday, December 15, 2006",115.00,115.00,115.00,115.00,100,0
"Price list and trading summary for Monday, January 29, 2007",160.00,159.00,158.00,158.00,"2,000",0
"Price list and trading summary for Friday, November 10, 2006",93.50,104.00,95.00,97.00,400,0
"Price list and trading summary for Tuesday, January 30, 2007",158.00,143.00,143.00,143.00,100,0
"Price list and trading summary for Monday, December 11, 2006",115.00,115.00,114.00,114.00,"1,500",0
"Price list and trading summary for Friday, February 02, 2007",130.00,135.00,122.00,128.00,900,0
"Price list and trading summary for Monday, February 05, 2007",128.00,130.00,128.00,128.00,"10,600",0
"Price list and trading summary for Thursday, February 01, 2007",136.00,138.00,130.00,130.00,"2,700",0
"Price list and trading summary for Wednesday, February 07, 2007",129.00,130.00,130.00,130.00,"6,000",0
"Price list and trading summary for Wednesday, January 31, 2007",143.00,140.00,129.00,136.00,700,0
