Date,Open,High,Low,Price,volume,Adj Close
4/2/2014,4.55,4.6,4.2,4.5,"31,100",0
9/11/2006,10.45,25,21,24.25,"22,400",0
9/12/2006,24.25,23.5,22.25,22.75,"137,200",0
9/13/2006,22.75,24,23,23.75,"24,800",0
9/22/2006,24.5,25,23.5,24,"77,300",0
9/26/2006,24.5,24.5,23,23.25,"35,800",0
9/27/2006,23.25,24,23,23.5,"31,100",0
9/20/2006,24,25,24.5,24.5,"65,900",0
9/19/2006,23.75,25,23.75,24,"71,000",0
9/28/2006,23.5,25,24,24.5,"16,300",0
9/14/2006,23.75,24,22,23.5,"67,100",0
9/18/2006,23.75,24,23,23.75,"191,500",0
9/15/2006,23.5,24,23,23.75,"54,900",0
9/21/2006,24.5,25,23,24.5,"110,700",0
10/3/2006,23,22,21,21.75,"17,200",0
9/29/2006,24.5,24,23,23.5,"37,100",0
10/2/2006,23.5,24,20.75,23,"38,600",0
10/5/2006,21.25,22,20,21.75,"49,900",0
10/9/2006,21.5,23,22,22.25,"76,600",0
10/12/2006,23.5,25,23,24.25,"197,200",0
10/13/2006,24.25,24.75,23,23,"404,000",0
10/4/2006,21.75,22,20.5,21.25,"39,500",0
10/17/2006,24.25,24.75,23,23.75,"96,900",0
10/18/2006,23.75,25,24,24.25,"77,500",0
10/19/2006,24.25,24.5,24,24,"108,800",0
10/23/2006,24,26,24,25.25,"392,700",0
9/25/2006,24,25,24,24.5,"34,300",0
10/25/2006,25.25,25,24,24.75,"99,900",0
10/16/2006,23,24.5,23.5,24.25,"187,200",0
10/26/2006,24.75,25,24,24.5,"89,500",0
10/27/2006,24.5,26,24,25.25,"255,200",0
10/31/2006,25.75,28,25.25,26,"156,000",0
11/1/2006,26,29.5,25,27.75,"401,100",0
11/2/2006,27.75,29,25.5,27.25,"150,900",0
11/3/2006,27.25,29.5,27,28,"133,200",0
11/6/2006,28,29,26.5,27.75,"324,200",0
11/7/2006,27.75,28.5,27,27.75,"237,200",0
11/8/2006,27.75,30,27,28.75,"205,900",0
11/9/2006,28.75,32,28,29.75,"116,700",0
11/13/2006,30.75,31,29,29.75,"194,900",0
11/14/2006,29.75,31,27.25,29.75,"178,300",0
11/15/2006,29.75,30,27.5,29,"74,000",0
10/6/2006,21.75,22.5,20.5,21.5,"140,300",0
11/16/2006,29,29,27,28.5,"116,500",0
11/17/2006,28.5,30,26,28.5,"71,300",0
11/20/2006,28.5,31,27,29.75,"237,000",0
