"Price list and trading summary for Wednesday, April 02, 2014","4,945.78","4,933.56","4,933.56","4,933.56",12.47,0
"Price list and trading summary for Monday, September 11, 2006","4,523.80","4,585.94","4,585.94","4,585.94",3.82,0
"Price list and trading summary for Tuesday, September 12, 2006","4,585.94","4,601.22","4,601.22","4,601.22",6.55,0
"Price list and trading summary for Wednesday, September 13, 2006","4,601.22","4,645.56","4,645.56","4,645.56",6.76,0
"Price list and trading summary for Friday, September 22, 2006","4,769.13","4,778.35","4,778.35","4,778.35",8.47,0
"Price list and trading summary for Tuesday, September 26, 2006","4,728.12","4,781.37","4,781.37","4,781.37",6.48,0
"Price list and trading summary for Wednesday, September 27, 2006","4,781.37","4,829.04","4,829.04","4,829.04",10.16,0
"Price list and trading summary for Wednesday, September 20, 2006","4,871.76","4,876.13","4,876.13","4,876.13",9.79,0
"Price list and trading summary for Tuesday, September 19, 2006","4,839.24","4,871.76","4,871.76","4,871.76",10.79,0
"Price list and trading summary for Thursday, September 28, 2006","4,829.04","4,881.10","4,881.10","4,881.10",10.42,0
"Price list and trading summary for Thursday, September 14, 2006","4,645.56","4,684.57","4,684.57","4,684.57",6.52,0
"Price list and trading summary for Monday, September 18, 2006","4,750.80","4,839.24","4,839.24","4,839.24",9.15,0
"Price list and trading summary for Friday, September 15, 2006","4,684.57","4,750.80","4,750.80","4,750.80",8.35,0
"Price list and trading summary for Thursday, September 21, 2006","4,876.13","4,769.13","4,769.13","4,769.13",11.19,0
"Price list and trading summary for Tuesday, October 03, 2006","4,843.23","4,910.61","4,910.61","4,910.61",9.64,0
"Price list and trading summary for Friday, September 29, 2006","4,881.10","4,879.86","4,879.86","4,879.86",8.64,0
"Price list and trading summary for Monday, October 02, 2006","4,879.86","4,843.23","4,843.23","4,843.23",7.12,0
"Price list and trading summary for Thursday, October 05, 2006","4,937.20","4,946.12","4,946.12","4,946.12",10.04,0
"Price list and trading summary for Monday, October 09, 2006","4,903.90","4,889.68","4,889.68","4,889.68",12.60,0
"Price list and trading summary for Thursday, October 12, 2006","4,893.03","4,882.14","4,882.14","4,882.14",6.41,0
"Price list and trading summary for Friday, October 13, 2006","4,882.14","4,906.49","4,906.49","4,906.49",7.52,0
