"Price list and trading summary for Wednesday, April 02, 2014",311.00,320.00,310.00,311.00,"22,400",0
"Price list and trading summary for Monday, September 11, 2006",10.45,160.00,158.00,159.00,"78,500",0
"Price list and trading summary for Tuesday, September 12, 2006",159.00,161.00,155.00,158.00,"25,200",0
"Price list and trading summary for Wednesday, September 13, 2006",158.00,162.00,160.00,160.00,"12,000",0
"Price list and trading summary for Friday, September 22, 2006",171.00,171.00,168.00,168.00,"15,700",0
"Price list and trading summary for Tuesday, September 26, 2006",170.00,171.00,166.00,167.00,"11,400",0
"Price list and trading summary for Wednesday, September 27, 2006",167.00,174.00,161.00,168.00,"17,100",0
"Price list and trading summary for Tuesday, September 19, 2006",166.00,182.00,180.00,180.00,"10,300",0
"Price list and trading summary for Wednesday, September 20, 2006",180.00,194.00,167.00,174.00,"106,300",0
"Price list and trading summary for Thursday, September 28, 2006",168.00,178.00,160.00,168.00,"17,600",0
"Price list and trading summary for Thursday, September 14, 2006",160.00,163.00,156.00,161.00,"18,900",0
"Price list and trading summary for Monday, September 18, 2006",162.00,170.00,164.00,166.00,"30,300",0
"Price list and trading summary for Friday, September 15, 2006",161.00,165.00,160.00,162.00,"14,400",0
"Price list and trading summary for Thursday, September 21, 2006",174.00,177.00,170.00,171.00,"33,400",0
"Price list and trading summary for Tuesday, October 03, 2006",170.00,172.00,165.00,168.00,"25,200",0
"Price list and trading summary for Friday, September 29, 2006",168.00,170.00,165.00,168.00,"32,600",0
"Price list and trading summary for Monday, October 02, 2006",168.00,182.00,167.00,170.00,"25,400",0
"Price list and trading summary for Thursday, October 05, 2006",170.00,180.00,168.00,170.00,"14,200",0
"Price list and trading summary for Monday, October 09, 2006",178.00,180.00,169.00,172.00,"18,500",0
"Price list and trading summary for Thursday, October 12, 2006",175.00,179.00,172.00,174.00,"5,300",0
"Price list and trading summary for Friday, October 13, 2006",174.00,182.00,175.00,179.00,"29,100",0
"Price list and trading summary for Tuesday, October 17, 2006",175.00,180.00,177.00,179.00,"41,700",0
"Price list and trading summary for Wednesday, October 04, 2006",168.00,178.00,169.00,170.00,"21,400",0
"Price list and trading summary for Wednesday, October 18, 2006",179.00,185.00,175.00,180.00,"15,000",0
"Price list and trading summary for Thursday, October 19, 2006",180.00,184.00,178.00,179.00,"9,800",0
"Price list and trading summary for Monday, October 23, 2006",179.00,185.00,178.00,182.00,"39,100",0
"Price list and trading summary for Monday, September 25, 2006",168.00,176.00,170.00,170.00,"18,700",0
"Price list and trading summary for Wednesday, October 25, 2006",182.00,185.00,180.00,182.00,"6,100",0
"Price list and trading summary for Monday, October 16, 2006",179.00,180.00,173.00,175.00,"42,500",0
"Price list and trading summary for Thursday, October 26, 2006",182.00,200.00,181.00,190.00,"54,700",0
"Price list and trading summary for Friday, October 27, 2006",190.00,200.00,190.00,193.00,"179,500",0
